n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 ^ (p2 ^ (p3 / x + abs(x) ^ x));1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];424;0;0.09617724;4.966003134978773e305
2;x / (x * abs(x) ^ (-2.0 * x) - x);1.7976931348623157e308;[0.0];424;0;0.09617724;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;x * x - x / (p1 + abs(1.0 / x) ^ -x);905.0506239801521;[2.168440073585626, -2.948219126168396];4983;77;2.264979173;8.691995948373034
16;1.0 / (p1 + p2 * (x / (1.0 + x)));-6.562283714951885;[0.6435384661466317, -0.15008711034039893, -0.23762382983684707];22810;260;9.621257434;0.05646508449639494
22;abs(p1 / (x - abs(x) ^ -0.0)) ^ p2;-39.418844083330804;[609.3579126418581, 0.0828372793630051, -0.21700597028507465];40395;437;18.492650829000002;0.04709159409511035
39;abs(1.0 / (p1 - p2 ^ (p3 ^ (x * x)))) ^ x;-377.310452081364;[0.16649023530486437, -0.46545631272264976, 0.5672562238314394, -0.08532971279248591];90188;967;59.468562149;0.00728115899173764
305;abs(abs(abs(1.0 / (p1 + p2 ^ x)) ^ p3) ^ x) ^ x;-426.2558177260902;[1.0081838997010444, -0.11396327426445063, -6.521691620507486, -0.07453840012080727];992216;8250;485.5904819370003;0.005555973564778531
386;p1 / (p2 ^ (p3 ^ x) - p4 ^ x);-491.27228819610275;[1.5820479000021315, -4.418761640608262, -0.07967836601225625, 0.35774665350296514, -0.06228439196663165];1204927;10085;627.1540389200003;0.0038793462522479652
7054;abs(p1 / abs(p2 + p3 ^ x) ^ x) ^ p4;-568.855189110029;[-1.124629766380788, 1.0652796847801937, 0.2348616627924283, -5.099453248134261, -0.05026916650806414];77570373;169357;40324.749980557084;0.0025269974923567817
7165;1.0 / (p1 - abs(p2 * p3 ^ x) ^ (p4 ^ x));-607.2398861354517;[1.5945121102418214, -0.2394909670708674, 15.654352802251385, -0.08633318013998328, 0.045211822175527196];77882342;172376;40472.21457090306;0.002044108364342493
14353;1.0 / (p1 - p2 ^ (x * p3 ^ (p4 ^ x)));-625.7107558187995;[2.512585944665888, -1.1436544718761887, 21.57979930618972, -0.5433499919885498, 0.04296276972523583];105306357;343293;57943.25643409922;0.0018457998064394313
99471;p1 / (abs(1.0 / x) ^ x - p2 ^ (p3 ^ x));-661.187970874199;[-1.9275804350248278, -4.0425341484973325, -0.4626950281228838, -0.038952020829361673];691207169;2423421;465880.5416966106;0.0015172598382402539
412634;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];3750976835;9972747;2734175.409753733;0.0015172598382402283
487333;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];4642213757;11767384;3405829.5500969426;0.00145594173469909
