n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 ^ -(x * abs(x) ^ (p2 * x)) - x;1.7976931348623157e308;[0.0, 0.0, 0.0];423;0;0.07470787;4.966003134978773e305
2;p1 * (abs(p2 + p3 ^ -x) ^ x - x);19.159626078791753;[1.871806193920415, 1.383026686485714, -1.721385427836157, -0.25512250947643045];15230;69;2.6209443560000003;0.06508749700495776
13;p1 - x / (x + p2 ^ x);0.4019780861375235;[1.807160772214063, -115.97533979941511, 0.24223956355958226];25819;175;7.727955559000001;0.058680006154038934
24;abs(p1 ^ -(abs(x) ^ -x)) ^ (p2 ^ x);-105.44849453494805;[-0.8360396166476959, -3.7171171454583485, -0.1808237045341303];45171;317;23.97900043;0.032697212092184035
36;p1 + -1.0 / (p2 * p3 ^ (-2.0 * x) - x);-298.40160930497973;[1.2566644143379722, -81.40777875627961, 28.596533966900967, -0.10611282153122914];74189;562;32.216223596999995;0.011259931160123996
173;p1 + (x * abs(1.0 / x) ^ x - p2 ^ x);-331.1523537644028;[1.718720919425816, 0.6454867585269664, 0.09693408593678783];455215;3615;207.05223885200004;0.00939621707524788
415;abs(abs(1.0 / (p1 - p2 ^ (p3 - x))) ^ x) ^ p4;-354.30564338839764;[-1.9002680937130378, 14.522557318793053, 1.9060114352449202, -0.28139267242655136, -0.09092835396353138];1134169;8697;594.785361408;0.008267965278180273
498;p1 - x / (p2 - abs(1.0 / (p3 + x)) ^ p4);-473.7910549048044;[0.8057636657077648, -0.5458862493975501, -0.657421778609529, -1.303220987605763, -0.06536596183806101];1329447;10660;677.188239991;0.0042727089779650155
744;p1 + p2 / (x + abs(1.0 / (p3 + x)) ^ p4);-533.449970567441;[2.2164851258861034, -1.5443920395329604, -1.0765309309361502, 1.4329022134810403, -0.055434278187695946];1866665;15876;963.2902266640007;0.003072958499866752
3121;1.0 / (p1 - abs(p2 ^ (p3 + x)) ^ (p4 ^ x));-607.2398861354316;[1.594512136940427, -15.654338977385478, -0.5195819144414491, 0.08633322125957772, 0.04521181794613114];51199623;77502;34798.347830386985;0.0020441083643427784
18622;1.0 / (p1 - abs(p2 ^ x) ^ (p3 ^ (p4 ^ x)));-625.7107557944737;[2.512588176345795, -1.1436547366263006, -21.579792162423633, -0.5433499961907414, 0.04296285005019182];195007523;444844;152464.4921513107;0.0018457998066754343
54411;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];536057668;1318101;398715.17136390856;0.00145594173469909
