n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(abs(abs(1.0 / x) ^ p1) ^ x) ^ (abs(x) ^ (abs(x) ^ x));1.7976931348623157e308;[0.0, 0.0];231;0;0.077720041;4.966003134978773e305
2;p1 / (p2 + x / (p3 * x - x));1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];231;0;0.077720041;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7;p1 + 1.0 / (p2 - (x + p3 ^ (x + x)));-131.49651204384017;[1.8537175093650156, 0.35514242982031724, 6.016976106755247, 0.16826947105222873];12501;125;10.667529251;0.02831461544637283
52;p1 + p2 * abs(x) ^ (1.0 / x - x);-159.3334526018652;[1.5069859794069995, 0.609930089292388, 0.1558149480324805];124877;1055;58.368916449;0.024278298039220058
54;p1 / (p2 + p3 ^ (-0.0 + x));-180.37359222737268;[0.547277567534272, 0.2941843952183466, -0.0008844458423246822, 0.14701684510046886];143240;1193;67.364414005;0.021613951331543757
72;p1 - p2 ^ (abs(p3 ^ (p4 - x)) ^ p5);-192.37557492800573;[1.8567398405096034, -0.34067065224509496, 4.879503370223751, 0.43562378168107596, -4.888105893170551, -0.14222246592528412];172544;1415;85.59702793900001;0.020227229757958716
90;p1 + p2 ^ (1.0 / (p3 - abs(p4 ^ x) ^ x));-195.45719307432586;[-0.9639364016924876, -0.32668732239767073, -1.0777408610760484, 1.9192849631682045e-5, -0.14101701508766695];229724;1873;127.017249851;0.019885765809927607
439;p1 / (p2 + (p3 * x - x / (p4 - x)));-301.5824699833102;[-0.3529263524628192, -1.0767353595452014, -0.04296767677134589, -0.06053581390912204, -0.10518449480353685];1088593;10338;601.9353152070001;0.011063779814896927
455;p1 / (-1.0 / (p2 + -1.0 / x) + p3 ^ -x);-426.99162555020064;[0.5975905267416105, -2.5332477941574294, 64.12650500378969, 0.0743870559542519];1130062;10646;626.6569434680001;0.00553343306498395
854;1.0 / (p1 - abs(p2 ^ x + p3 ^ x) ^ p4);-447.3786450885002;[1.4040782756796621, 0.0019875746811398175, -1.0205232106226272, -3.9320639045427357, -0.0703135214936796];2395036;21321;1329.5080495930008;0.004943991313925876
1632;p1 + abs(p2 ^ (p3 - p4 ^ -x)) ^ x;-521.985516531157;[-0.5909138251228738, -0.06277520564961404, -0.08053250590678439, 3.6640977505813814, -0.057217953146058036];47040973;39920;32562.632370809013;0.0032738946588087812
5826;p1 * (x + -1.0 / (p2 + x * p3 ^ x));-638.8278984860593;[0.3193956427793211, -0.5022263539251534, -0.32617673117090656, -0.04143387786227064];160976106;143113;128990.56933846585;0.001716765988147802
81309;p1 - abs(p2 + -1.0 / (p3 + p4 ^ x)) ^ p5;-642.5677311772024;[2.1599182843320297, 2.101401610410995, 0.37246072182292794, -0.09547600553918237, 1.4308148833108627, 0.041007930298929365];788731113;1961301;558547.9747207593;0.0016816580183689638
98129;p1 - abs(p2 + -1.0 / (p3 - p4 ^ x)) ^ p5;-642.5677312213526;[2.1599179109043236, -2.101400095710107, -0.3724608457307987, -0.0954766211313884, 1.4308150149465624, 0.041008068043925906];917901562;2366459;648721.8079747952;0.0016816580179723531
117169;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];1083499580;2837916;769893.7888128918;0.0015172598382402283
526699;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];5375535068;12744739;3974701.9684007354;0.00145594173469909
