n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(x) ^ (x + -1.0 / (p1 * x + p2 ^ x));1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;4.966003134978773e305
2;abs(p1 + abs(x) ^ (x * abs(1.0 / x) ^ x)) ^ x;319.1114020858745;[0.04048214415810399, -0.5842564062184464];3822;86;3.440459551;0.3413555508210833
7;p1 * abs(abs(abs(abs(x) ^ x) ^ x) ^ (1.0 / x)) ^ p2;11.423760783993355;[1.821147317543719, -0.012851422722155632, -0.2497284386781406];9192;141;9.378411534;0.062364293073758625
25;p1 ^ (p2 * x - x / (x - p3 ^ x));-347.206240162718;[3.2652516598801813, 0.10447113062484652, -3.0081626043082847, -0.09272920313367809];32931;459;28.234671505999998;0.008598705464189478
279;p1 / (p2 - p3 ^ x) - abs(x) ^ (1.0 / x);-447.4321895489442;[-0.4774065037401068, -0.14904159779400689, 0.008252275851868022, 0.07030312409062553];729850;6904;395.77445270100026;0.004942528970305899
2116;p1 ^ (abs(x + x / abs(x) ^ x) ^ (1.0 / x));-473.54201624623477;[1.4405858724805423, -0.06541094604602965];5834270;53042;3111.1843242939967;0.004278591862369263
2958;p1 + p2 * abs(p3 + p4 ^ -x) ^ x;-478.087391673602;[-5.3499591279046435, 5.674803191960283, 1.061357818692748, -4.113586596086034, -0.06459474058338902];10062387;71541;5973.750905699995;0.004172483324072313
4075;1.0 / (p1 + (p2 * p3 ^ x - p4 ^ x));-566.6358898013658;[0.607660337519848, 2.175314508755115, -0.045188513755596973, 0.22659454030410267, 0.0505783835864152];13024889;98572;7501.553089631996;0.0025581725558676827
5021;p1 * (x + 1.0 / (p2 - x * p3 ^ x));-638.8278984860274;[0.31939564381642055, 0.5022263563437547, 0.3261767340833659, 0.041433883133394814];15808193;122732;9007.427383417009;0.0017167659881479865
50808;p1 / (abs(x) ^ -x - p2 ^ (p3 ^ x));-661.1879708742023;[-1.927580429721346, -4.042534139013752, 0.4626950261513254, -0.03895201922036024];587731232;1228378;439460.139633513;0.0015172598382402283
685823;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];7218415586;16552998;5359058.493405464;0.0015172598382402268
822598;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];8389341659;19848455;6212919.662162138;0.00145594173469909
