n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(abs(abs(Inf * x) ^ x) ^ x) ^ (1.0 / x);1.7976931348623157e308;Float64[];0;0;0;4.966003134978773e305
2;-1.0 + abs(1.0 / x) ^ (abs(x + x) ^ x) / x;1.7976931348623157e308;[0.0];0;0;0;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;x - x * (x / (p1 * x + -1.0 / x));435.00931549227045;[21.993045228902336, -0.8047239544228334];8973;152;0.80510092;0.6475814445028689
17;x + p1 * (x + (p2 + x));12.258336978911982;[-0.487730852890982, -3.6046266798070286, 0.2503048415435806];24801;371;11.943747609999999;0.06265251369818783
19;p1 + -1.0 / (p2 ^ x + abs(1.0 / x) ^ x);-66.18308825566024;[1.8266784657842194, 64.14017745468762, 0.20154053429902216];31661;464;13.490709235999999;0.04061858674474719
54;p1 ^ (p2 ^ (p3 ^ (1.0 / (x + 1.0 / x))));-259.1995152053613;[-2.5435621618054456, 0.016725155829081694, -0.004368208489996187, 0.11824939268754305];167184;1554;75.631656435;0.013982921111141772
127;p1 * p2 ^ (x + 1.0 / (p3 - p4 ^ x));-420.48406937479695;[0.6857847141132691, -0.8896039064166362, -0.09660861502682694, 0.0006314928698574269, 0.0757363008492567];386475;3261;176.426792209;0.00573599814188345
477;p1 / (p2 - abs(p3 + 1.0 / (p4 + x)) ^ p5);-561.280534833733;[-3.7540440375505875, -1.7200754793671924, -0.8817052554677653, 0.17628292791233138, 1.1125994427508252, -0.051332188704292965];1310382;11384;723.8877987689996;0.0026349936041547566
2050;abs(p1 + x * (p2 + p3 ^ x)) ^ p4;-576.1742541406031;[-1.169112175886018, 0.08355405902704575, 0.26888036331864734, -3.65420130211056, 0.049263008762387546];5790387;49727;3257.885210760006;0.002426852166097559
4602;p1 ^ (p2 - abs(p3 + p4 ^ -x) ^ p5);-613.1687848427484;[-6.0062938894067415, 0.4320280443547127, -0.21774831082127977, 4.949204197064699, 1.2667491590489761, 0.044477357355858914];13449794;112383;7562.651909868002;0.0019782356078938993
6178;p1 / (p2 + abs(1.0 / (p3 + p4 ^ x)) ^ p5);-620.4787457221028;[0.6473896917674855, 0.3013547776650376, -0.20928989334170825, 0.18917716431970505, -1.5765443260827474, 0.04358821136676764];59972591;150306;39994.250224427036;0.0018999333680586952
19561;1.0 / (p1 - p2 ^ (x / p3 ^ (p4 ^ x)));-625.7107556600271;[2.5125857381098635, -1.143654413666704, -0.04633965143849244, 0.5433500311475514, -0.04296289402366192];145536698;473855;101966.06741567026;0.0018457998080289627
47749;1.0 / (p1 - p2 ^ (x * p3 ^ (p4 ^ x)));-625.7107558187995;[2.512585944665888, -1.1436544718761887, 21.57979930618972, -0.5433499919885498, 0.04296276972523583];353566751;1137917;241241.49531863214;0.0018457998064394313
48139;p1 - abs(p2 + 1.0 / (p3 + p4 ^ x)) ^ p5;-642.567731220151;[2.1599181981960074, -2.1014004496689256, 0.37246077202715977, -0.09547662249230722, 1.4308143835346732, -0.04100795950421729];355115093;1148881;242184.4042752602;0.0016816580179791546
179062;p1 / (p2 ^ (p3 ^ x) - abs(1.0 / x) ^ x);-661.1879708742022;[1.927580431816604, 4.042534136469229, 0.4626950274627606, -0.0389520185097851];1622861656;4321084;1164957.870716085;0.0015172598382402268
348451;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];3128401137;8425071;2263194.4833524474;0.0014559417346996454
997972;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];9846159564;24120262;7291137.994766703;0.00145594173469909
