n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;abs(x - p1 ^ (-Inf + x)) ^ p2;1.7976931348623157e308;Float64[];0;0;0;4.966003134978773e305
2;1.0 / x - abs(1.0 / (p1 + x)) ^ (abs(1.0 / x) ^ x);1.7976931348623157e308;[0.0, 0.0];0;0;0;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;x * abs(x) ^ (0.5 / x) + p1 ^ x;490.20138934508157;[0.31091719796774014, 0.9372632739819674];1361;35;0.170345169;0.8784624413044938
13;abs(p1 ^ -x) ^ (abs(x) ^ (1.0 / x));279.52263860741687;[0.8339492699665721, 0.5237312781057122];8596;131;5.3472310799999985;0.2742944474036109
14;abs(p1 ^ (p2 ^ (x * x))) ^ x - x;224.34009378779373;[-2.567641450100999, -0.9288795920441703, 0.44968202916633143];16159;181;11.849535668999998;0.2022139341095229
22;p1 - abs(1.0 / (p2 + p3 / (p4 - x))) ^ p5;-498.11381327521644;[2.2611096812670612, 0.787888773982027, 1.02902618962099, -0.3121546930724717, -0.6864319162404395, 0.061118325209186794];56533;511;31.323915772;0.0037354495270734223
2698;p1 + abs(1.0 / (p2 - x) + p3 ^ x) ^ p4;-530.9182309576763;[-1.1136011029725328, -0.6771566539851379, 0.45037204935794134, -0.6013833637480603, 0.055822080210970154];10999912;64280;7622.742281259007;0.0031162435590361367
4089;p1 / (abs(1.0 / x) ^ x - p2 ^ (p3 ^ x));-661.187970874199;[-1.9275804350248278, -4.0425341484973325, -0.4626950281228838, -0.038952020829361673];15068985;97502;9880.657881528008;0.0015172598382402539
234706;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];2375204601;5625274;1730771.9909146626;0.0014559417346996454
359734;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];3260778919;8652081;2348226.260905859;0.00145594173469909
