n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 - abs(p1 / x) ^ (p2 ^ (1.0 / x)) / x;1933.466719122963;[-0.008463230731571406, -1.0323856615010167, 0.37983670267088543, -0.5040315556484805, -0.7414593617447925];5674;46;16.5507847;1933.466719122963
2;p1 ^ (x - p2 ^ (1.0 / (p3 - abs(x) ^ p4)));154.27978663984305;[-1.459190962781556, 0.9873244547269708, -0.008179918952059075, 2.223800017390826, 0.15475308496833534, -0.49899857501980943, -0.7365295586379139];37262;189;370.646913765;154.27978663984305
7;(p1 - abs(1.0 / (p2 - x)) ^ p3) / x;-701.4148306197876;[0.044575787137931644, -0.2107187095089704, -2.0990698036271587, -0.093878655334865, -0.49773965610045295, -0.7394178932528349];131828;981;729.048289781;-701.4148306197876
14;p1 - abs(x) ^ (p2 / (p3 + -1.0 / (p4 - x)));-723.7898498445632;[-0.008279345584733885, -1.7558865172481597, -1.8207145026449905, 0.5387644898825654, -0.09043325447444804, -0.5001830076480311, 0.7405886339219676];268361;1872;1516.9570879249998;-723.7898498445632
22;x + p1 ^ (abs(x) ^ (p2 + p3 ^ -x));-976.7442068014893;[-0.7778442265084952, -1.4915112306446874, -9.942547724008985, 0.08185118247924743, -0.5031169279462053, 0.7383473073795069];424365;2892;2429.489809514;-976.7442068014893
61;1.0 / (p1 + abs(p2 * x) ^ (p3 - abs(x) ^ p4));-1001.2303504906008;[-0.01229807509400171, -2.1800924113024953, 0.32788816302135043, 0.020045609102693714, 0.08070625867663311, -0.5025062526208763, -0.7399981742869923];914862;6665;5377.924488895002;-1001.2303504906008
161;abs(p1 ^ (p2 + abs(x) ^ p3)) ^ (abs(x) ^ p4);-1001.4164981058744;[17.04367681015719, -0.8101640186409199, 0.2657955780096645, -0.0949259021500848, 0.08062245061338488, -0.5024934213688591, 0.7399688510965311];1841927;14822;10503.358652106004;-1001.4164981058744
612;x + p1 / (p2 - abs(x) ^ -(abs(x) ^ p3));-1002.0768642110656;[-2.8457046298746147, -3.0217425232449555, 0.07680702765102626, -0.08071171066998728, -0.5028077115239671, 0.7394749994057215];7920543;64398;39061.13732003103;-1002.0768642110656
1921;p1 + 1.0 / (p2 + p3 ^ (p4 + abs(x) ^ p5));-1003.1674052939825;[-5.207291414528156, 0.013013139034081802, 0.7377001735529084, 5.669242767310126, 0.62102030902076, -0.08062368819260242, -0.5026365285526051, -0.7399462528269208];23344766;196303;110577.2871637012;-1003.1674052939825
1992;p1 / (p2 + -1.0 / (p3 + p4 ^ (abs(x) ^ p5)));-1003.1920242045397;[5.20302792818853, -0.06882044731371591, -0.9954544896439641, -1.3328519621981, 0.6260947579720532, 0.08064923413292496, -0.5025597576892408, 0.7399005286557148];24479087;205129;115997.58099764421;-1003.1920242045397
