n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 + abs(p1 ^ (0.5 / x)) ^ p2 / x;2520.3328078180907;[-5.77133012960279, -1.2298205096776433, 0.4862888322377312, -0.5033454210804684, -0.7401979869141603];8411;117;23.013674897;2520.3328078180907
2;x * ((p1 - x) / p2 ^ (abs(x) ^ p3));-836.8498082178111;[-42.92472787135047, 23.426567582321432, 0.11932446190478113, -0.09112503940033263, -0.5038545966024156, -0.7406977911308127];18529;187;111.911846759;-836.8498082178111
28;x + p1 * abs(x / (x + 1.0 / x)) ^ p2;-1002.3499124880732;[0.8461235096708477, 0.23497570484600686, -0.0806523302264279, -0.5027452716300436, -0.7395920902807728];489043;4216;1633.716920281;-1002.3499124880732
2109;x + p1 * abs(p2 ^ -x / x) ^ p3;-1002.4878294959598;[0.8944159593040101, 0.6480425670885104, -0.48443242543108495, 0.08065543796262216, -0.5023860415407485, 0.7403440120217964];27841280;231350;132730.42353287782;-1002.4878294959598
2354;p1 + p2 * abs(1.0 / (p3 - p4 ^ x)) ^ p5;-1003.6428313184796;[-0.09370514414519253, -11.630453567341029, 1.0006644852588011, -1.0612477877110087, -0.7030311266358807, 0.08056753692634291, -0.5010468049560483, -0.7391166454844775];31181673;258442;148424.8869192746;-1003.6428313184796
24191;p1 + abs(p2 / (p3 + p4 ^ x)) ^ p5;-1005.4585943141001;[0.09764810100837706, 0.023616231641398196, -1.000516664223091, -1.047578721656429, -0.7153486428511855, 0.08003971679600302, -0.5024665736668837, 0.7399038197205053];311781112;2623252;1497461.213205787;-1005.4585943141001
30267;p1 * x - x / (p2 + abs(p3 + x) ^ p4);-1008.3842082654035;[-0.7933804163711397, 0.08702643363330614, -0.011283321811093927, 0.5958095360566126, -0.08009412904728656, -0.5025925573808715, -0.7402707540749247];390269732;3285351;1881258.0607185904;-1008.3842082654035
65454;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];841241597;7101806;4073235.120970205;-1010.8428845212311
166399;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];2126352040;17958302;10269915.615318924;-1013.2384637845921
995829;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];12715454702;107246787;61447852.444602996;-1013.2384638792784
