evals;expr;nll;coeff;best_nll
1;abs(abs(abs(x) ^ (x + x)) ^ p1) ^ p2 - x;2394.285263247081;[-0.10239046380645711, 2.4405202564869626, 0.4214804328355937, -0.5020112593672263, 0.7433219345675693];2394.285263247081
2;p1 ^ (1.0 / (p2 - x / p3 ^ x) - x);1056.4937625047974;[-0.09961082265242345, 2.0556748087416823, -1.2260048500406986, 0.16339679624477652, -0.5124745618357649, -0.7108109156228891];1056.4937625047974
4;x * (p1 + abs(p2 * p3 ^ x) ^ p4);-749.6259059703619;[1.4362977663532426, -0.6163977278697759, -4.172716696715346, -3.1299092939456767, -0.09681707570265176, -0.5038512704366241, -0.7348194706290929];-749.6259059703619
52;-(x * p1 ^ (1.0 / (p2 - x)));-891.8341541381166;[0.5683822170746384, -0.29067529866806635, 0.08836676050696936, -0.5002940122019693, -0.742830604849036];-891.8341541381166
81;abs(abs(-1.0 / x + abs(p1 * x) ^ p2) ^ p3) ^ p4;-988.0395489117643;[-1.705304800387839, -0.8824904477663259, 1.410817907766866, -0.40104310061196397, -0.08104726736717892, -0.5026079706778364, -0.7411869991952915];-988.0395489117643
98;p1 - (x + p2 ^ (1.0 / (p3 + abs(x) ^ p4)));-1001.5106434423135;[0.9395658142514446, -6.61482552005159, 2.8097695924847357, -0.8068015758177334, 0.08085094563328402, -0.5028205963712268, 0.739478102687504];-1001.5106434423135
680;abs(1.0 / (p1 + abs(abs(p2 / x) ^ p3) ^ p4)) ^ p5;-1001.7333630753241;[-0.6592602838747927, -47.5743844614569, -0.09830827704960934, -1.1060809096199378, 3.6556625744379505, 0.08064044925952715, -0.5025003753876135, -0.7399674019207907];-1001.7333630753241
1892;abs(p1 / (p2 - x * abs(x) ^ p3)) ^ p4;-1001.748840656343;[-0.7036824789988431, 0.40020543398757663, -1.1242685403189825, 3.379330722080427, 0.0806277490884282, -0.5025083019959882, 0.7399784874603013];-1001.748840656343
2963;x * abs(p1 + p2 ^ (abs(1.0 / x) ^ p3)) ^ p4;-1002.3526892673959;[-0.9948828207103597, -0.6356849706415872, -0.7275829276786524, -0.5267307648219152, 0.08071374066322698, -0.5025157360814297, -0.7401165773750029];-1002.3526892673959
6236;abs(x * (p1 + (x + p2 ^ (1.0 / x)))) ^ p3;-1002.4335939587692;[1.1364713136253557, -0.8509787414091028, 0.4920196272545873, -0.08078867981440173, -0.5026927215876988, -0.7400065953114918];-1002.4335939587692
10281;x + p1 / abs(1.0 / x) ^ (p2 ^ (p3 + x));-1002.5557262246241;[0.7284711924529065, -0.5318089255420854, 1.3187980143178697, 0.08074523470540854, -0.5026556706125173, 0.7398162045034967];-1002.5557262246241
10949;p1 * (x + abs(p2 + p3 ^ -x) ^ p4);-1002.5846583784045;[0.960084705829899, -1.0022586260836306, 2.744561009285051, 0.5149846813417953, -0.08070323355111376, -0.5025632370823669, -0.7400709097816054];-1002.5846583784045
10979;p1 + (1.0 / (p2 + abs(p3 + x) ^ p4) - x);-1005.6919431057524;[-1.2507061791396044, 0.8583384161119593, -0.011113351220749077, 0.7072829281203821, 0.0799406633687064, -0.5029124045796033, -0.7388588086357267];-1005.6919431057524
25548;p1 * abs(abs(x) ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1006.2388356692207;[1.7479837185316711, 0.017612022291485556, -0.03041153834347018, 0.7143608874839987, -0.0793675721166624, -0.5024444730360611, 0.7398621566868852];-1006.2388356692207
64105;p1 * x + x / (p2 - abs(p3 + x) ^ p4);-1008.3842083000757;[-0.7933796617075138, -0.0870276710237603, -0.011283309411211419, 0.5958126991364262, 0.08009435730131546, -0.5025949953227142, -0.7402724571023466];-1008.3842083000757
196471;p1 + (x - abs(p2 + 1.0 / (p3 + x)) ^ x);-1010.725636418667;[1.0261882534490983, -0.7753443638093179, 1.2728211211908962, 0.07912180784214233, -0.5024686847563573, 0.7391069358313677];-1010.725636418667
263039;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];-1010.8428845212311
699918;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
