n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;p1 / (p2 + (p3 * x + abs(x) ^ x));2039.578074411505;[10443.947682911115, -20187.485435105635, 6880.633072424757, -0.2797353017038636, -0.5133002314711443, -0.7142856404844996];47049;400;97.485230697;2039.578074411505
2;p1 * x + -1.0 / (p2 + p3 * x);-648.6231167154955;[-1.5382256126793645, 5.315919076867366, -0.0841284962357988, 0.10641080272790507, -0.5030119145855895, -0.7303562495169431];87041;794;298.45961904;-648.6231167154955
35;abs(1.0 / (p1 + (x + -1.0 / (p2 + -1.0 / x)))) ^ p3;-960.046457519439;[0.05200540144913257, 0.01800772219228841, -0.7342611631574776, -0.08476801432337305, -0.49932628855009503, -0.7409068929868974];488625;4306;1819.715691065;-960.046457519439
71;p1 * p2 ^ (abs(1.0 / (p3 - x)) ^ p4) - x;-1000.4893923260463;[-1.2068380447198184, 0.5727127681072399, -0.03402380432059982, 0.46870362166569884, 0.08102038247884498, -0.5028352990183405, -0.7394354565601361];941257;7879;3989.918682723;-1000.4893923260463
96;x + p1 * abs(1.0 / (p2 / x - x)) ^ p3;-1002.3276663499295;[1.4903727651328977, -3.558933175845418, 0.46286933341746667, 0.0807404547088281, -0.5024921691502156, -0.7401331135587704];1243348;10449;5503.009358330999;-1002.3276663499295
393;x / (p1 - p2 ^ (abs(1.0 / (p3 - x)) ^ p4));-1008.2731801542031;[1.0699884744735273, 0.4854917287584802, 0.011350634590730083, -0.5147999823342245, 0.08026934453843168, -0.502388212088324, 0.7407301183906521];4954395;42461;24299.981044518;-1008.2731801542031
87981;abs(p1 / abs(x) ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1008.469020521996;[-0.4581228620992007, 0.017909754957810217, -0.030629059532403843, -0.715099533499078, 0.07933689283943673, -0.5024661583746886, 0.7398680813589613];1130447247;9544370;5454994.244361091;-1008.469020521996
93116;1.0 / (p1 + (abs(p2 + x) ^ p3 - abs(x) ^ p4));-1010.6836529352239;[-0.5957078086023595, -0.01746922723487599, -0.08848773483476888, -0.5093988359825178, 0.07949811207211603, -0.5020103840485436, 0.739397005439799];1195692535;10091439;5776457.820801893;-1010.6836529352239
127773;p1 + (abs(p2 + -1.0 / (p3 - x)) ^ x - x);-1010.8428845579119;[-1.0252474430328333, -0.775258498296267, -1.2719727716586922, -0.07914707905946171, -0.502644943118263, 0.7394415194348706];1637733659;13817611;7934869.279041345;-1010.8428845579119
234820;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];3006756307;25353646;14547499.127395403;-1011.7646849614036
261358;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];3341760250;28161081;16166866.010964017;-1013.2384638792784
