n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;1.0 / (p1 + x * (abs(x + x) ^ p2 - x));2972.7708921483377;[-2.3213176879539903, 0.7651436286828405, 0.5017600735327877, -0.5080969361136519, 0.7257577638991456];31489;288;206.371513608;2972.7708921483377
2;abs(x) ^ (x * abs(1.0 / (x - p1 ^ x)) ^ p2);1887.2520755061169;[6.723893840247619, 0.1266528765004683, 0.3757794822961309, -0.5026806534235835, 0.7368737156719496];41262;372;237.49069178399998;1887.2520755061169
7;(p1 - x) * (1.0 / x - abs(x) ^ p2);1550.9521760634718;[0.029779518291589993, 0.34225941924013603, 0.2530046091523028, -0.5079954773499327, -0.7389151106034056];77463;718;318.59577901;1550.9521760634718
12;x + abs(x) ^ (p1 ^ (abs(p2 + -1.0 / x) ^ x));-908.4352643989565;[0.5743232581974476, 2.6788904688216837, 0.08571629843258961, -0.5083317463834864, -0.7364437327553265];124625;1121;503.492249787;-908.4352643989565
21;abs(abs(x * (p1 - abs(x) ^ p2)) ^ (1.0 / x)) ^ x;-999.1763480289998;[-0.7239411878429581, -0.4974444885844281, 0.08077936715054237, -0.5024823126271776, -0.7400995160614569];258229;1750;1034.486209221;-999.1763480289998
137;p1 / p2 ^ (abs(p3 ^ -x / x) ^ p4);-1000.9423865559259;[0.00010845693469417513, -6.323013900578048e-5, 1.0056134251001738, -0.07283513736536897, 0.08088386145353856, -0.5027879585305914, 0.7403601118511851];1576132;13433;7346.439520354002;-1000.9423865559259
1022;x + abs(x * p1 ^ (p2 + x)) ^ p3;-1002.4878294959141;[0.6480423970450165, 0.5309829290637315, 0.48443247985473825, 0.08065543000815399, -0.5023861481761995, 0.7403440595092038];13574771;111025;65442.96922533899;-1002.4878294959141
3281;p1 * abs(abs(x) ^ (abs(p2 + x) ^ p3)) ^ p4;-1008.4690202122714;[1.747564319446964, -0.017909737352990746, 0.03062826211182477, 0.7151003834507682, -0.07933671148462144, -0.5024704977497053, -0.7398659654513742];43107823;359331;200702.34193818725;-1008.4690202122714
12501;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];162539817;1356215;783194.8448140039;-1013.2384637845921
96047;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];1230520908;10357189;5918808.722616772;-1013.2384638792784
