n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(abs(x) ^ (x / (x + 0.5 / x))) ^ x;3200.5461857731866;[-0.41329243913109126, -0.5256070184429077, 0.6975100843210339];3630;68;9.969462067;3200.5461857731866
3;x * x + p1 ^ (abs(x) ^ (x + 1.0 / x));2364.8450146870146;[0.627460792289126, 0.44626535585850924, -0.5103350791514641, -0.7270258987259816];13323;208;55.100103986;2364.8450146870146
4;x + abs(p1 / p2 ^ x) ^ (abs(x) ^ (1.0 / x));1978.2444738870643;[-0.6170732247630688, -0.9533613563020688, -0.3943209030750086, -0.5034451310181115, 0.7412664934343621];22687;313;154.486428483;1978.2444738870643
5;p1 + abs(p2 * abs(abs(1.0 / x) ^ p3) ^ x) ^ x;854.63472640424;[-0.6469725172885115, 1.579361540277549, 0.004281423862776152, -0.23493925103949365, -0.4977397115452618, -0.741259048566348];28238;338;169.50974208099998;854.63472640424
6;1.0 / (p1 - abs(x) ^ (2.0 / x)) - x;-201.94481942574293;[-3.909690493596351, 0.1450365499020486, -0.49085488948941974, 0.7469210506979895];37807;491;235.430122741;-201.94481942574293
11;abs(1.0 / (p1 + p2 ^ (p3 + 1.0 / x))) ^ x;-372.24309067159743;[0.6989538814678512, -5.451630340293312, -3.6464479152174785, -0.11021337398999473, -0.5059053001923006, 0.7284115133185278];102974;916;431.913596466;-372.24309067159743
16;p1 - abs(p2 ^ (p3 ^ (p4 * x))) ^ p5;-754.521635316443;[21.04615719806374, -3.6930280953345145, -1.0708599108245722, -0.4098750931988957, 2.325939165548134, -0.09973198722089102, -0.5029609218809701, -0.7346405283496493];177172;1714;895.682880634;-754.521635316443
25;p1 * abs(1.0 / (x + p2 / p3 ^ x)) ^ p4;-972.9243422960614;[1.7673699096932374, 0.015946542557041636, -0.8178665536755626, -0.7189628044015156, -0.08263153292758639, -0.5026252802033425, 0.7404760394724061];309590;2607;1389.55785425;-972.9243422960614
41;abs(p1 * x) ^ (p2 ^ (p3 ^ x));-983.9702864595424;[2.3123617568311827, 0.6322761016495019, 0.95975056456411, -0.08144490015185822, -0.5028808871859859, -0.7402093112683692];446415;3992;1917.668303135;-983.9702864595424
93;p1 + (1.0 / (p2 ^ (abs(x) ^ p3) - x) - x);-999.6350567525346;[-1.0000964354660908, 4.737317220920838, 0.5813775956964482, 0.08061851980707806, -0.5032423421970144, -0.7388041081603093];1256378;10151;5541.449464418998;-999.6350567525346
370;p1 + (p2 / p3 ^ (abs(1.0 / x) ^ p4) - x);-1002.3236990354678;[-0.8478624329871288, 0.8018270163370632, -5.794054591115571, -0.6914765514211916, -0.08077386435300438, -0.5027386056405458, -0.7396665891925519];4626711;38539;21456.681885573995;-1002.3236990354678
1728;x + abs(x / (p1 + p2 ^ -x)) ^ p3;-1002.429777033605;[0.2902793280596248, -0.6095825004263821, 0.48124088545577537, -0.08067629836602375, -0.5023647833843564, 0.7404012147966013];22155370;182081;107910.1160348778;-1002.429777033605
2686;1.0 / (p1 + abs(p2 / (p3 + p4 ^ x)) ^ p5);-1003.6989277258612;[0.02161967501830345, -0.06893749030943566, -0.9989526755810488, 1.1658056760885702, 0.6599527237961511, 0.08084066183829415, -0.5026955774824632, 0.7398194760263932];34006565;279763;165512.445084676;-1003.6989277258612
4382;p1 + abs(1.0 / (p2 + abs(p3 + x) ^ p4)) ^ p5;-1006.3160163028375;[0.08468871922016936, -0.1832574864139084, -0.011090248839243602, -0.24459970151333293, 2.464625711366905, -0.07990274180651608, -0.5024045547801909, 0.73980941936069];55524359;463564;264582.00474723754;-1006.3160163028375
12168;p1 + (x - abs(p2 + -1.0 / (p3 + x)) ^ x);-1006.7049673448552;[1.0314621165103826, 0.7777361650543936, 1.273810880176904, 0.08030334985914808, -0.5028137011210203, 0.7394264916980733];154956923;1313173;745030.1801200036;-1006.7049673448552
89579;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];1135409218;9610697;5512622.63766029;-1010.8428845212311
175842;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];2236989565;18906130;10824735.14057085;-1013.2384638792784
