n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(x - x * abs(x) ^ (p1 + x)) ^ (1.0 / x);4394.009715022641;[-1.0281084186238385, 0.9018479322237409, -0.5048649349760709, -0.7394072207653267];2142;8;4.426134489;4394.009715022641
2;x - abs(x * abs(x) ^ p1) ^ (abs(1.0 / x) ^ x);1995.5921644439413;[-0.8016131952064488, -0.32401229139628956, -0.5029445898705799, -0.748107420042886];16848;243;46.430944806999996;1995.5921644439413
5;abs(x) ^ (x - abs(x * p1 ^ (-1.0 / x)) ^ p2);1624.2710595919793;[3.353679758232662, 1.0016684563180185, -0.34132876564996734, -0.49965649717951305, 0.7418571807669185];27701;338;113.587931308;1624.2710595919793
13;p1 - abs(p2 + x / (1.0 / x - x)) ^ p3;-29.23923029208737;[2.251693836793109, 0.7137710286054357, -2.0496160011424394, 0.1360713900048405, -0.503843535813313, 0.7362893720357998];173549;1370;727.689657311;-29.23923029208737
19;x + -1.0 / (abs(x) ^ p1 - abs(abs(x) ^ p2) ^ p3);-571.9870705707574;[39.133368590703924, -0.07502975163237315, 7.07499403137172, 0.09461997110924115, -0.4975492972605579, 0.7482203017098757];304481;2127;1428.799997768;-571.9870705707574
24;p1 * abs(x) ^ (p2 * p3 ^ (1.0 / x - x));-969.2252325813027;[-1.8016823975521556, 0.6963664271829222, 0.9976021635101212, 0.08350494547063556, -0.5027486676969173, 0.7406969761238033];349719;2573;1540.6304253059998;-969.2252325813027
72;p1 * abs(p2 ^ -(p3 ^ x)) ^ p4 - x;-974.5806834307994;[-0.635317980991527, -3.0830784316532944, -0.0008584634747350456, 1.4923987885101413, 0.08400206542283693, -0.5017086370181034, 0.7411633395806151];879833;6817;4256.606641686;-974.5806834307994
76;x + abs(abs(p1 ^ (1.0 / (p2 + x))) ^ p3) ^ p4;-987.3553650768238;[2.3526174736454513, 0.13699590856681335, -2.1615781047179783, 0.16421531699609487, 0.08258899842111277, -0.5042519518779984, -0.7382072086495771];908272;7043;4343.075744447;-987.3553650768238
170;p1 * x + x / (p2 + (abs(x) ^ p3 - x));-998.8485846582784;[-0.9767623517464413, -1.3848759960033368, -0.05799399890184561, -0.08122912502898466, -0.5027230360122413, 0.7401056320850674];2018076;16569;9793.071242765995;-998.8485846582784
199;1.0 / (p1 + (abs(x + x) ^ p2 - p3 ^ x));-999.9343025123422;[0.9206742200993224, -0.5984555539920796, -0.9992195644081528, 0.08065950595731515, -0.5030405015709316, 0.7400287016793335];2399527;19741;12069.164802589996;-999.9343025123422
673;x / (p1 + abs(p2 ^ x) ^ -(abs(x) ^ p3));-1000.9227934900656;[-1.0043336513820527, -2.3869190982103143, -0.5246377815686039, -0.08061455249316761, -0.5025906572494602, 0.7397267793506342];8534073;71069;39423.898332213015;-1000.9227934900656
726;p1 + p2 / (p3 - abs(p4 + x) ^ p5);-1005.7316891716662;[-0.09580799740232335, 1.583536923648046, 0.04043936330133841, -0.011111255748146009, -0.7043170764863493, 0.07999405985416264, -0.5024402746851317, 0.7399478292978956];9363063;77199;43257.26518563;-1005.7316891716662
19221;p1 + (x - abs(p2 + -1.0 / (p3 + x)) ^ x);-1006.7049673448552;[1.0314621165103826, 0.7777361650543936, 1.273810880176904, 0.08030334985914808, -0.5028137011210203, 0.7394264916980733];246691417;2080499;1188655.684216587;-1006.7049673448552
41368;x / (p1 + -1.0 / (p2 - abs(p3 + x) ^ p4));-1006.9330804201996;[0.08798563226428317, -0.9852849031913158, -0.01121349426144309, -0.658492480291467, -0.08014764193485156, -0.5023592612832386, 0.7396666076449337];530005657;4490017;2548300.875279929;-1006.9330804201996
74003;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];948995598;8009815;4574409.5025044;-1013.2384638792784
