n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;x + abs(x) ^ (1.0 / x + p1 ^ (p2 ^ x));2489.0488292117684;[-3.500247350825779e-6, -15.512749893890527, 0.47669484942252777, -0.49441622892962145, 0.7352161608191747];11818;89;42.400748664;2489.0488292117684
2;1.0 / (x - p1 ^ (abs(p2 / (p3 + x)) ^ x));2150.24265002208;[-1.7203955842309484, -428.05790920600145, 341.8094729133868, 0.27703159393816507, -0.5105556694225691, -0.7228759382567526];42940;326;132.324002915;2150.24265002208
4;p1 + abs(1.0 / (x + abs(x) ^ -x)) ^ (1.0 / x);1846.5601955482562;[0.44910527958449603, -0.3701829107941667, -0.5010905220286597, 0.7423702268670018];51390;470;156.89352842999998;1846.5601955482562
5;p1 + (x * x + x / (1.0 - x));1584.590855382325;[0.2021382074983563, 0.21123530344759972, -0.5230517958876835, -0.7053726917233192];68381;744;182.59831769999997;1584.590855382325
9;1.0 + (x + -1.0 / (-1.0 + p1 * x));1456.543070443487;[57.80885239003943, -0.2784268125683087, -0.507272149676032, -0.7416313707165164];149013;1748;715.0895334689999;1456.543070443487
18;x * x + p1 ^ (1.0 / x);1334.9160382293235;[-0.9482788857540752, -0.2526898493468917, -0.5221186177855539, -0.7087484134837742];267568;3102;1176.4725781949999;1334.9160382293235
21;p1 / abs(p2 ^ (p3 ^ (x + x))) ^ x;669.6133599076941;[-0.38678234995777383, -0.3339861853162814, 0.9500523681655347, 0.21489483247766414, -0.5010025167487231, 0.734385964336998];306720;3246;1295.7539802439999;669.6133599076941
24;p1 / (p2 - p3 ^ -(p4 ^ (p5 / x)));-714.5123853091685;[-0.9465659048891892, 5.770821048618068, -0.17470923662817323, 2.04760219689652, -0.06603767977890945, -0.1025703848870866, -0.5033549992288423, -0.7347954585024407];408073;3535;2268.710316134;-714.5123853091685
25;abs(x) ^ (p1 + -1.0 / (p2 + 2.0 / x));-903.4421643810845;[0.4752548491019801, -2.0185183750307103, 0.08201378079606648, -0.4995757198890077, 0.7412156767082744];425978;3712;2392.684037327;-903.4421643810845
43;abs(0.5 * (p1 ^ (-2.0 * x) / x)) ^ p2;-949.4762555523012;[-1.0486669452294468, -0.5963214083998897, 0.08295719798730053, -0.49913631123394736, -0.7404089034626637];637361;5430;3571.879413751;-949.4762555523012
82;abs((p1 + p2 / (p3 + x)) / x) ^ p4;-999.5780888099333;[0.030843796739257148, 2.2947718181799077, 5.009159647316188, -0.5958881631878615, 0.08063109604821854, -0.5025597897844273, -0.7400409034830714];1182732;9487;7527.429865271999;-999.5780888099333
196;abs(p1 + abs(1.0 / (p2 + x)) ^ p3) ^ p4 - x;-1001.3332268383613;[-9.045445958892962, 4.063194370326058, -1.5731509446019099, 0.7537945962638839, -0.08101306837693813, -0.5026858405881415, 0.7398762736819857];2591917;20981;14326.350646956997;-1001.3332268383613
479;p1 + -1.0 / (p2 - p3 ^ (p4 - abs(x) ^ p5));-1003.1779982497657;[-5.2877381945239925, -0.012853059477836529, -1.3501080766898763, -5.797289932734799, 0.6221324859608987, -0.0806459125199927, -0.5025537588915657, 0.7399030713543983];6303902;52196;32531.032508307;-1003.1779982497657
2111;x * p1 ^ (p2 ^ (abs(p3 + x) ^ p4));-1008.2332589957397;[15.981343344793455, -0.19066894295695533, -0.011361224014400312, 0.3497076632044852, 0.08014179227393912, -0.5026403014386852, 0.7400667632321672];27621555;223975;136820.53915970298;-1008.2332589957397
3596;p1 * x - x / (p2 + abs(p3 + x) ^ p4);-1008.3842082654035;[-0.7933804163711397, 0.08702643363330614, -0.011283321811093927, 0.5958095360566126, -0.08009412904728656, -0.5025925573808715, -0.7402707540749247];47005833;388703;230755.0822346851;-1008.3842082654035
20803;abs(x / p1 ^ (abs(1.0 / (p2 + x)) ^ p3)) ^ p4;-1008.9487656953575;[-0.3382637654569636, -0.03133255723940851, -0.3431968129506786, 0.5014900263492236, -0.08006207604937632, -0.5025009702939139, 0.7398527585967312];263445199;2224411;1284743.4008664824;-1008.9487656953575
64260;p1 + (x - abs(p2 + 1.0 / (p3 + x)) ^ x);-1010.725636418667;[1.0261882534490983, -0.7753443638093179, 1.2728211211908962, 0.07912180784214233, -0.5024686847563573, 0.7391069358313677];817704125;6875895;3965655.311626088;-1010.725636418667
98012;p1 + (x - abs(p2 + -1.0 / (p3 - x)) ^ x);-1010.8428845100457;[1.0252485659325519, -0.7752665110398083, -1.2719594470701499, -0.07914714262095839, -0.5026445396287529, -0.7394414127947107];1244756161;10479128;6021119.471965319;-1010.8428845100457
292298;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];3731771420;31479903;18048235.763519973;-1013.2384638792784
