n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;p1 * (x / abs(abs(x) ^ -(abs(x) ^ x)) ^ x);1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];0;0;0;1.7976931348623157e308
2;abs(x) ^ -((p1 + x));2807.956388654331;[-0.5137230391864782, 0.16420327982350047, -0.5557811053573781, 0.6591621915865871];4652;77;27.578491071;2807.956388654331
4;p1 + abs(x) ^ (abs(x) ^ (p2 - x) / x);1506.3316044914611;[0.3877273745210306, 0.933342249671462, -0.31989807324021957, -0.5009420720366764, 0.7410362867324197];23707;253;79.2280303;1506.3316044914611
5;abs(p1 + abs(x) ^ p2) ^ (p3 ^ (1.0 / x));-651.375616265238;[0.37994072099861675, 1.026556221844057, 1.0163984471418743, 0.1017457516101183, -0.4945300351459673, 0.743960259220312];32011;320;107.084925137;-651.375616265238
8;p1 ^ (p2 + abs(p3 + -1.0 / x) ^ x);-717.3362235372338;[-9.255343124375642, -1.7425232093282863, -1.0069301509797919, -0.10490245060214885, -0.5001055162238587, 0.7384168489721197];41793;387;192.667783528;-717.3362235372338
11;p1 - abs(p2 ^ x) ^ (p3 - abs(x) ^ p4);-995.8776403571811;[1.038791373664906, 0.3495748210526427, 0.04959001786016774, -0.5403823928162582, -0.08083091939328042, -0.502432796077445, 0.7397336254439838];157841;1391;967.4673845560001;-995.8776403571811
199;p1 * abs(x * x + abs(1.0 / x) ^ p2) ^ p3;-997.8735418783125;[-1.2616439007264373, -1.216006347031035, 0.4461023483712218, 0.08081279690503627, -0.5024752424284963, 0.7399374259239101];2707974;21860;14012.474083088991;-997.8735418783125
234;x * (p1 + abs(x) ^ (p2 * abs(x) ^ p3));-999.2281537350855;[0.72463831181934, -0.5009967189027335, 0.0024551010953779238, 0.0807472427324996, -0.5025131367516501, 0.7401831109782747];3038925;25002;15752.194299594998;-999.2281537350855
414;abs(p1 + abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4) ^ p5;-1002.5465988563283;[0.0007754432311879391, 0.24785137515604133, -0.27828744834808666, -3.331046484725915, -0.5647090727924484, 0.08056846364358064, -0.502548623399351, -0.739897730648906];5410522;43624;28065.79626608798;-1002.5465988563283
4033;p1 / (p2 + (p3 + -1.0 / x) ^ -1.0) - x;-1006.4120373170081;[-0.004012746520108523, 0.04080644085851328, -27.437608772471044, 0.09051749180416162, -0.5031588106798126, -0.740511278965945];51138454;431721;248836.8935023747;-1006.4120373170081
4192;x / (p1 + -1.0 / (p2 + abs(p3 + x) ^ p4));-1006.9330804139553;[-0.08798496601542598, 0.985283261838275, -0.011213504438173975, -0.6584906011880228, -0.08014782604448199, -0.5023588207389285, 0.7396666210140699];53481689;450063;260745.58467806366;-1006.9330804139553
7096;abs(p1 ^ (abs(p2 + x) ^ p3) / x) ^ p4;-1008.7432024540316;[-0.3384831441307094, -0.03145740268889988, 0.34459948656862, -0.5011658987300118, -0.0800591593628918, -0.5024468074554761, 0.7397994842115981];89494225;762123;432859.75018955325;-1008.7432024540316
19311;p1 + (x - abs(p2 + 1.0 / (p3 + x)) ^ x);-1010.725636418667;[1.0261882534490983, -0.7753443638093179, 1.2728211211908962, 0.07912180784214233, -0.5024686847563573, 0.7391069358313677];247091776;2079693;1187451.2496624393;-1010.725636418667
260647;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];3321894286;28009738;16016206.607650716;-1011.7646849614036
281171;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];3582299804;30214067;17283235.32909849;-1013.2384637845921
822266;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];10500682710;88561238;50709849.78112443;-1013.2384638792784
