n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;p1 + -1.0 / (p2 + (1.0 / x - x));2499.2010383446145;[-0.6829276686837618, 7.899727879482702, 0.46251094112508695, -0.4993466492098357, 0.7473905526298902];26078;337;43.392998819;2499.2010383446145
6;p1 ^ ((p2 + abs(p3 ^ x) ^ x) / x);1959.2016295969152;[0.997940804892183, 23.014124413307698, 0.9940870894959855, -0.38462309955857493, -0.5029697091759957, -0.7410271212751698];50541;604;142.766977108;1959.2016295969152
7;p1 + abs(1.0 / (p2 + -2.0 * x)) ^ (abs(x) ^ p3);563.3426311327524;[-2.3970921094194084, 0.011841710925338174, 0.3836569842478023, 0.20621502159063507, -0.5055622060719059, 0.7404558598099814];86742;842;231.80317062799998;563.3426311327524
9;p1 - x * p2 ^ (-2.0 / x);-244.02216183518343;[-0.25814421295579926, 0.9999999999950088, 0.14184507683245998, -0.4913771283726848, 0.7463075184527252];108525;1036;281.55772677299996;-244.02216183518343
19;abs(3.0 * x) ^ (p1 ^ (p2 ^ (1.0 / x)));-706.679368253567;[0.674497338612611, -0.9993949675298609, -0.10222018908613613, -0.5145856780771407, 0.738564892827542];244640;2559;937.1858148530001;-706.679368253567
44;x / p1 ^ (abs((p2 - x) / x) ^ p3);-933.1388787914113;[-0.6736408153267732, 4.652613476585666, 0.31134695785842886, -0.08477678277797197, -0.5045316908338549, -0.7336794678866078];623259;5944;3086.5373825549996;-933.1388787914113
53;abs(x + (x + abs(p1 + -1.0 / x) ^ p2)) ^ p3;-985.4561381198031;[-20.4543163050765, -0.7152566681164689, 0.7665907324115565, -0.08142431925932588, -0.5030696605019696, -0.7399988055362046];720636;6880;3368.11403671;-985.4561381198031
76;x * p1 ^ (1.0 / (x + abs(p2 * x) ^ p3));-1000.6427739690935;[-3.2486300355324422, -2.6197890590020227, 0.19749757442366433, -0.08066768529999821, -0.5028800320827732, 0.7392186080382742];969558;8982;4084.9750357909998;-1000.6427739690935
107;x + abs(1.0 / x + p1 ^ (x * x)) ^ p2;-1001.0484139115404;[-1.0160238935806494, -0.5156741396744196, -0.08066471445827897, -0.5021947472675555, 0.7405168166034205];1208400;11546;5462.808611393998;-1001.0484139115404
159;1.0 / (p1 + abs(1.0 / (p2 - abs(1.0 / x) ^ p3)) ^ p4);-1002.3409364615922;[0.018006559158939048, 0.27601575007257045, 0.29718327111361087, -1.7515972542733405, 0.08058580252337083, -0.5025183759211819, -0.7399036642951382];2087420;18215;9845.404684018;-1002.3409364615922
470;p1 * x - p2 ^ (p3 ^ -(abs(x) ^ p4));-1002.5656668669844;[-0.9667790170649498, -0.027750893178442492, -12.181677407979516, 0.37125220785933655, -0.08077603952456608, -0.5025944162608299, 0.7399911134600304];6000390;51246;27784.43495835301;-1002.5656668669844
480;p1 + (abs(p2 + abs(1.0 / x) ^ p3) ^ p4 - x);-1002.7449373975794;[-3.0972292750096657, 2.0735769236535995, -0.7358705810647069, 1.56790185098575, 0.08073881637478915, -0.50258139798788, -0.7399565626792537];6161194;52545;28362.098845136003;-1002.7449373975794
1093;p1 + (x + abs(p2 + 1.0 / (p3 - x)) ^ p4);-1007.5428619588039;[0.08213225549162657, -1.0815894160938737, 0.011104729526544396, -0.6310470533342355, 0.07988235254185146, -0.5027379468230752, 0.7391643787318142];14312319;118451;66423.15116518793;-1007.5428619588039
60759;p1 + (abs(p2 + 1.0 / (p3 + x)) ^ x - x);-1007.7477177151749;[-1.032479605821786, -0.7798545530304057, 1.270932836530095, 0.08015588510414527, -0.5028803595282715, -0.7395777836666173];774414968;6529035;3734300.7665775055;-1007.7477177151749
154020;x / (p1 - p2 ^ (abs(1.0 / (p3 - x)) ^ p4));-1008.2731801542031;[1.0699884744735273, 0.4854917287584802, 0.011350634590730083, -0.5147999823342245, 0.08026934453843168, -0.502388212088324, 0.7407301183906521];1962238467;16546242;9475746.474573046;-1008.2731801542031
256249;p1 + (x - abs(p2 + 1.0 / (p3 + x)) ^ x);-1010.725636418667;[1.0261882534490983, -0.7753443638093179, 1.2728211211908962, 0.07912180784214233, -0.5024686847563573, 0.7391069358313677];3269476391;27589063;15790939.130094728;-1010.725636418667
270706;p1 + (abs(p2 + -1.0 / (p3 - x)) ^ x - x);-1010.8428845579119;[-1.0252474430328333, -0.775258498296267, -1.2719727716586922, -0.07914707905946171, -0.502644943118263, 0.7394415194348706];3452139615;29130980;16669751.600362126;-1010.8428845579119
404249;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];5162813502;43550122;24929454.44064264;-1013.2384638792784
