evals;expr;nll;coeff;best_nll
1;x - abs(1.0 / (x + -1.0 / (x + 1.0 / x))) ^ p1;1873.4307264254599;[-0.0889410635954967, 0.2982835603591818, -0.5017307615978217, 0.7505229101703803];1873.4307264254599
2;(x + p1 ^ -x) / (x - abs(x) ^ p2);435.0954776442091;[0.6216017486678402, -0.5051259098779948, 0.11330013586322399, -0.5101537212841576, 0.7384000205490531];435.0954776442091
8;abs(abs(x) ^ p1) ^ (abs(abs(1.0 / x) ^ p2) ^ p3);169.92324560989542;[0.6769956191388179, -0.3936838347118099, 0.3913844028139632, -0.1746664402941347, -0.4889748453488913, -0.7490880605337098];169.92324560989542
13;p1 - x * abs(x) ^ (p2 ^ (p3 - x));-244.022161835182;[-0.25814421212785343, -48.481870786299545, -753.0874334462094, 0.14184507347181874, -0.49137713088782703, 0.746307529952137];-244.022161835182
19;x + p1 ^ (1.0 + x * abs(x) ^ p2);-927.7986786612065;[-0.7362916979303423, -1.4537553781776427, 0.08568909163287985, -0.4988161975382168, -0.7432343703397222];-927.7986786612065
38;p1 * (x + -1.0 / (p2 - abs(abs(x) ^ p3) ^ p4));-995.7068677416752;[0.9208581263637329, -0.1603067090818988, 0.35536151983858233, -1.3411653238286774, -0.08108202316384319, -0.5026031933245642, -0.7387879838401354];-995.7068677416752
72;p1 - x / (p2 + abs(p3 + -1.0 / x) ^ p4);-998.2732568423239;[-0.08919482199211064, 0.287525634588653, -1.3528679475600385, -1.2567734203833336, 0.08139385207885858, -0.5026827724819047, 0.7396826876593164];-998.2732568423239
523;p1 * x + x / (p2 + abs(abs(x) ^ p3) ^ p4);-999.2471607073013;[0.7285537117035453, 0.005510397385565062, 0.7656157700446838, 0.6603700151486147, 0.08072959595395206, -0.5025054373411976, -0.7401670487423837];-999.2471607073013
538;p1 * abs(1.0 / (x * (p2 + abs(x) ^ p3))) ^ p4;-1001.299526254402;[-1.2945049429682391, 0.23880224748287712, -0.5703580265271848, -1.2946608528899186, -0.08059288494515902, -0.5025118509203318, -0.7399968975603219];-1001.299526254402
873;1.0 / (p1 - abs(p2 + p3 * p4 ^ x) ^ p5);-1003.6989277275565;[-0.021619709955056233, -14.490628847667617, 14.50582119694484, 1.1658065827430486, -0.6599524571010196, -0.08084063359627701, -0.5026956696213838, 0.7398194722623657];-1003.6989277275565
1108;abs(x * p1 ^ (abs(p2 + x) ^ p3)) ^ p4;-1005.6484726312393;[-2.9780783920225877, -0.04229622798387004, 0.34545285889404787, 0.4991624619145941, -0.08068644600514714, -0.502402995786613, -0.7399278843141845];-1005.6484726312393
4282;p1 - abs(p2 + abs(p3 + x) ^ p4) ^ p5;-1006.3160165924127;[-0.08468769208650372, -0.1832616729350247, -0.01109023742837019, -0.24460304650920503, -2.464569696740626, -0.07990382907859646, -0.5024034858670586, -0.7398122396435793];-1006.3160165924127
30679;x * p1 ^ (p2 ^ -(abs(p3 + x) ^ p4));-1008.2332590197512;[15.98138978080755, -5.244701312238416, -0.011361237963410015, 0.3497065932989275, 0.08014178393013331, -0.5026412997569321, 0.740067441808107];-1008.2332590197512
75524;abs(x / p1 ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1008.9487656626258;[-0.33826595525274566, 0.03133255381791816, -0.343201492794439, 0.501489199676716, -0.08006275294369603, -0.5025022074631658, -0.7398529700335786];-1008.9487656626258
162090;p1 + (abs(p2 + 1.0 / (p3 - x)) ^ x - x);-1010.8428845212311;[-1.0252477394066963, 0.7752600870955322, -1.2719701383668482, -0.07914728444549352, -0.5026456107308842, -0.7394437592254887];-1010.8428845212311
295319;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
