evals;expr;nll;coeff;best_nll
1;abs(x / (p1 + (-1.0 / x + p2 / x))) ^ p3;-954.7339442699881;[0.004924656546364312, 0.8244463714769199, 0.32531200457389786, 0.08289662746630612, -0.5029754922830056, -0.7417459976902704];-954.7339442699881
41;x + abs(p1 * p2 ^ (p3 ^ x)) ^ p4;-974.5806834303212;[1.3787997267319638, 3.286549279056158, -0.0008584583817659131, -1.4122384177727183, -0.0840020402610472, -0.501708701205231, 0.7411633161261362];-974.5806834303212
42;abs(1.0 / (p1 + p2 ^ (x / (p3 + x)))) ^ p4;-988.9712949692854;[-28.99918173673292, 29.007031391715635, 0.004665164950430315, 0.69558326858465, 0.08188193657410385, -0.502350345594592, 0.7403140698433237];-988.9712949692854
158;abs(p1 * ((p2 + x) * p3 ^ x)) ^ p4;-998.4797926726724;[2.1959232061859, 0.008139563394868874, 1.0374080954041816, 0.6669373875684154, -0.08109766249936952, -0.5026516559755507, -0.7400327245308936];-998.4797926726724
251;x + abs(abs(p1 + -1.0 / x) ^ (p2 ^ x)) ^ p3;-1000.6343078327799;[-0.9754647578889702, 1.0069983064662593, -0.5158827534906163, 0.08058976074668552, -0.5028177808699725, 0.7394891671586225];-1000.6343078327799
255;abs(x + abs(1.0 / (p1 + p2 / x)) ^ p3) ^ p4;-1001.6189597365754;[0.7294160801765963, 1.1435573310570584, 0.5064258763751849, 0.982877392834678, 0.08061368075089778, -0.5025526829556229, -0.739973793312658];-1001.6189597365754
380;abs(abs(x) ^ p1 + abs(p2 + -1.0 / x) ^ p3) ^ p4;-1001.6667864048366;[1.0675966920704028, -0.5335807802829088, -0.5506653016208194, 0.9229121789780986, -0.08060779454001282, -0.5025469775436461, -0.7399735302084185];-1001.6667864048366
526;p1 + abs(p2 + x) ^ (abs(p3 + -1.0 / x) ^ p4);-1002.6228612888547;[-0.9788584520666817, 3.426239235912651, -1.0045486411332067, -0.5826300781346524, -0.08068164004856436, -0.5025806595279457, -0.7399587533992683];-1002.6228612888547
623;x / p1 ^ (p2 ^ -(abs(p3 + x) ^ p4));-1008.2332585120066;[-0.06257132473665485, 5.244729029204345, -0.01136116765870644, 0.34970037346444616, -0.08014162658763577, -0.5026414981700904, -0.740068977128432];-1008.2332585120066
46267;p1 + (abs(p2 + -1.0 / (p3 - x)) ^ x - x);-1010.8428845579119;[-1.0252474430328333, -0.775258498296267, -1.2719727716586922, -0.07914707905946171, -0.502644943118263, 0.7394415194348706];-1010.8428845579119
372594;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];-1011.7646849614036
594611;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
1046731;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
