evals;expr;nll;coeff;best_nll
1;p1 - abs(1.0 / x) ^ (p2 * abs(x) ^ p3);-256.0955577285037;[-0.23338672128425558, -0.9378847044684404, 0.021889342223310026, 0.14056863570680597, -0.4909081365318199, 0.747382194088559];-256.0955577285037
2;p1 * (1.0 - p2 ^ x) - x;-841.6469634461564;[-0.5054998712713984, 1.928051878098956e-5, 0.09218794472032613, -0.49980573776789156, 0.7435742666139263];-841.6469634461564
38;(p1 + -1.0 / x) * (p2 + abs(p3 / x) ^ p4);-999.7504644574485;[-0.04929972938633515, 0.00026827529708715983, -0.738972636185193, -1.6297898764553185, -0.08104095620982157, -0.5026896193905251, 0.7400285877361417];-999.7504644574485
172;abs(abs(p1 / x) ^ p2) ^ (p3 ^ (abs(1.0 / x) ^ p4));-1001.6932941618186;[0.45181631256962224, -0.5269429778362865, 1.2867735012957329, -0.16222229720040587, -0.08061599469737327, -0.5025068029656053, 0.7399784835198302];-1001.6932941618186
225;p1 * abs(x * x) ^ (1.0 / (p2 - abs(x) ^ p3));-1001.7213541452753;[1.7142107055419629, 3.8600797871137926, 0.12079998615965308, 0.0806125900174823, -0.5025116612676596, 0.739986700727519];-1001.7213541452753
442;x + abs(p1 + 1.0 / (p2 - abs(x) ^ p3)) ^ p4;-1001.9310311111889;[-1.2455669779113077, -0.0016984050255498748, 1.2409024008651826, -0.42985718577578275, -0.08077745745284966, -0.5027831702237354, -0.7395997683570039];-1001.9310311111889
512;x + p1 * abs(x * p2 ^ x) ^ p3;-1002.487829495958;[0.8944160336230321, 0.6480425134362399, 0.48443245338758684, 0.08065543082985246, -0.5023860424950424, 0.7403440173769211];-1002.487829495958
538;x / (p1 + abs(1.0 / (p2 - p3 ^ x)) ^ p4);-1005.7946001268717;[0.05342658179812259, 0.9964644147365875, 0.8080752617145087, -0.38872238247179947, 0.07952380018732665, -0.5018328240290659, 0.7402201140872245];-1005.7946001268717
7214;p1 + (x + abs(p2 + 1.0 / (p3 + x)) ^ p4);-1007.5428619569396;[0.08213240583218163, 1.0815850681888504, -0.011104729969153316, -0.6310475438478022, 0.07988234294826393, -0.5027378028104514, 0.7391643646986545];-1007.5428619569396
27724;p1 + (x + abs(p2 + 1.0 / (p3 - x)) ^ p4);-1007.5428619588039;[0.08213225549162657, -1.0815894160938737, 0.011104729526544396, -0.6310470533342355, 0.07988235254185146, -0.5027379468230752, 0.7391643787318142];-1007.5428619588039
46367;abs(p1 ^ (abs(p2 + x) ^ p3) / x) ^ p4;-1008.7432024540316;[-0.3384831441307094, -0.03145740268889988, 0.34459948656862, -0.5011658987300118, -0.0800591593628918, -0.5024468074554761, 0.7397994842115981];-1008.7432024540316
127313;p1 + (abs(p2 + -1.0 / (p3 - x)) ^ x - x);-1010.8428845579119;[-1.0252474430328333, -0.775258498296267, -1.2719727716586922, -0.07914707905946171, -0.502644943118263, 0.7394415194348706];-1010.8428845579119
776265;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
