evals;expr;nll;coeff;best_nll
1;x + abs(p1 * x) ^ (abs(x) ^ p2);-79.45401244629784;[0.6123386620714191, 0.2441664145482593, -0.1278367679828034, -0.5064193009310367, -0.7145488947373848];-79.45401244629784
6;x + p1 ^ (p2 ^ (abs(1.0 / x) ^ (abs(x) ^ p3)));-992.5675025651972;[0.739023215606821, -1.4073695142402398, 0.2118927842025759, -0.08210785185754699, -0.5018904410439661, -0.7408943588641236];-992.5675025651972
129;p1 * abs(x) ^ (p2 * p3 ^ (-1.0 / (p4 - x)));-996.2894207324218;[-1.6839785703125787, 0.8642803976904986, 0.44275561814960585, -2.4732365632819446, -0.08077847539742844, -0.502571611019795, 0.740170504771397];-996.2894207324218
358;x * p1 ^ (-1.0 / (p2 - p3 ^ (abs(x) ^ p4)));-998.4156106610543;[9.021167691100878, 0.46028183556492563, 4.59407822507948, 0.31985685229943495, 0.08065074403601852, -0.5027041384897638, -0.7393409409123316];-998.4156106610543
374;p1 + x * p2 ^ (-1.0 / (p3 + p4 * x));-999.1738136955445;[0.0889704515532041, -4.666118394716257, -1.2076867132646192, -2.0585071658875616, -0.08139307533874368, -0.5026067144633026, -0.7399802635884591];-999.1738136955445
418;p1 + abs(x + p2 ^ -(abs(x) ^ p3)) ^ p4;-1000.803810040086;[-1.022147337583855, -0.37136591442106176, 0.41774749540895345, 0.772193819058384, 0.08065035679964865, -0.5024703471958536, 0.7399683134278792];-1000.803810040086
1221;p1 / (p2 - p3 ^ (abs(abs(x) ^ p4) ^ p5));-1000.8911033546015;[8.573157728315719e-5, 5.940208895015407e-7, 5.049815238087581e-5, 1.4781224786016098, 0.04783064350599288, 0.08074894911881901, -0.5007172315843021, -0.7400980049240121];-1000.8911033546015
1386;x + p1 ^ (abs(p2 ^ -(abs(x) ^ p3)) ^ x);-1001.5264412087192;[-0.019427623037066636, 11.768597583145151, -0.6689410411830674, 0.0806945386320388, -0.5030237545376101, 0.7391586830854774];-1001.5264412087192
1835;x + abs(1.0 / (p1 - abs(x) ^ (p2 - x))) ^ p3;-1001.9807433601134;[-2.216329496665348, -1.8369577466960025, 0.27762080862571814, 0.08060569589061752, -0.502679038424263, 0.7397653997758833];-1001.9807433601134
1993;x + abs(x / p1 ^ (abs(1.0 / x) ^ p2)) ^ p3;-1002.1073620562312;[-1.928082764815787, -0.7394162605964522, 0.5123510206173426, 0.0805909565800888, -0.5025045934244251, -0.740184407935765];-1002.1073620562312
2007;p1 + -1.0 / (p2 - abs(x) ^ (p3 * abs(x) ^ p4));-1002.9692701421671;[0.6096699187725236, 1.4299015672714888, 0.21701014104802016, -0.23151601056547583, -0.08094194524604888, -0.5026434087823152, 0.7399535164015442];-1002.9692701421671
4016;p1 - abs(1.0 / (p2 + abs(p3 + x) ^ p4)) ^ p5;-1003.3856625110856;[0.7362432781940993, 0.8749206638074409, -0.01109941412520121, 0.6484588199247308, -1.4439690770662355, -0.08005933461854559, -0.5024667933125508, 0.739821772584544];-1003.3856625110856
12836;abs(p1 + abs(p2 + p3 ^ x) ^ p4) ^ p5;-1003.489285161319;[-10.499272613042548, -2.3612891088023993, -0.9641106367330998, 7.627242729842265, 0.6451103446106925, -0.08074690564996206, -0.502660237899416, -0.7399842128672248];-1003.489285161319
17634;abs(x * p1 ^ (abs(1.0 / (p2 - x)) ^ p3)) ^ p4;-1008.9487652038757;[2.956261510141971, 0.03133253764037944, -0.34320031167673465, 0.5014901501141821, -0.08006448289205635, -0.5025001534134365, -0.7398543580653336];-1008.9487652038757
86153;p1 + (abs(p2 + -1.0 / (p3 - x)) ^ x - x);-1010.8428845579119;[-1.0252474430328333, -0.775258498296267, -1.2719727716586922, -0.07914707905946171, -0.502644943118263, 0.7394415194348706];-1010.8428845579119
182423;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
