evals;expr;nll;coeff;best_nll
1;(p1 * p2 ^ (p3 ^ x) - x) / x;1967.3751980381887;[0.10922486580664756, 0.12514234240553176, 6.276167872062859e-5, -0.3807407633602451, -0.5195402874060358, -0.724795644067736];1967.3751980381887
2;abs(x) ^ (p1 - p2 ^ (p3 + abs(x) ^ (1.0 / x)));-217.84137589697252;[5.837484847050573, -0.9055092287162192, -17.01564232448602, -0.1414730118374754, -0.4921949989822584, -0.7466426403331171];-217.84137589697252
6;p1 * x + abs(abs(x) ^ p2) ^ p3;-999.1763480290003;[0.7239411984126312, 0.4521677107608453, 1.1114360871451858, -0.08077936931842009, -0.5024823047627079, -0.7400995187615462];-999.1763480290003
18;abs(p1 + abs(p2 / x) ^ p3) ^ p4;-1001.7382176863736;[-0.5096767044754187, 9.122808156930828, 0.1369792573590633, -3.1827162331782346, -0.08061945972414883, -0.5025739234430076, 0.7399887078697134];-1001.7382176863736
108;x / (p1 + p2 ^ (abs(p3 + 1.0 / x) ^ p4));-1002.6759735500045;[-0.9754656067805504, -0.4135007720802381, -0.10619900669096821, -0.4256744467389562, -0.08073554740821376, -0.5024763461043633, 0.7400102531223397];-1002.6759735500045
2216;abs(p1 + -1.0 / (p2 + p3 / p4 ^ x)) ^ p5;-1003.8208753264471;[-0.0029065798282500565, -18.60672687359113, 18.620724270220045, 0.8897213461298322, -0.6526119614710636, -0.0808230120706711, -0.5026887732453912, 0.7398198717914436];-1003.8208753264471
3726;p1 + abs(p2 + abs(1.0 / (p3 + x)) ^ p4) ^ p5;-1005.1720897229808;[0.08565950359713799, -1.87991085060027, 1.5182204849798389, -1.4858519731795974, 0.66178891326056, 0.07996291365286658, -0.5018724067905911, -0.7398422515486006];-1005.1720897229808
13388;x / (p1 - p2 ^ (abs(1.0 / (p3 - x)) ^ p4));-1008.2731801542031;[1.0699884744735273, 0.4854917287584802, 0.011350634590730083, -0.5147999823342245, 0.08026934453843168, -0.502388212088324, 0.7407301183906521];-1008.2731801542031
158816;x + abs(1.0 / x + abs(p1 + x) ^ p2) ^ p3;-1008.5099542260908;[-4.620208536791759, -0.04144036738777553, -0.5167546451638099, -0.07990646152284724, -0.5028724970672296, -0.7395658201965183];-1008.5099542260908
215056;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
277222;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
