evals;expr;nll;coeff;best_nll
1;p1 + abs(x) ^ (abs((p2 - x) / x) ^ x);-283.4913750285218;[0.23428862253073474, 0.11177963410556332, -0.13508237418810454, -0.4897495817993321, 0.7507469236845514];-283.4913750285218
24;abs(x) ^ (abs(p1 + x) ^ (abs(x ^ -2.0) ^ x));-382.6104095852585;[-0.6178410223255111, -0.12703963141851687, -0.49772436064120695, 0.748234372408172];-382.6104095852585
29;abs(x) ^ (p1 ^ (p2 ^ (abs(p3 * x) ^ x)));-391.90481971140355;[6.445160086191221e-5, -0.05574160991189882, 0.9260422854483097, 0.1271014234365001, -0.49340083328084766, 0.749732558459884];-391.90481971140355
33;p1 * (x + p2 ^ (p3 + 1.0 / (p4 + x)));-997.82955346322;[1.023332039479185, -0.8233563841676528, 1.3489155586488268, 0.09139962673468027, 0.08151565355030069, -0.5026901464681195, 0.7397015784884162];-997.82955346322
148;p1 + (p2 ^ (p3 * abs(x) ^ p4) - x);-1000.7434398557626;[-1.0195459140374403, -2.2996825249364363, -1.4463674954669485, 0.5866216623841549, -0.08065077445566993, -0.5031063561906447, -0.7389823436926859];-1000.7434398557626
320;x - abs(p1 / (x + abs(x) ^ p2)) ^ p3;-1001.0323899246453;[0.7892167186530875, 0.5155274553811053, -1.0719054093710394, 0.08061718479377006, -0.5024929992794686, -0.7399946456828776];-1001.0323899246453
369;p1 / abs(p2 + abs(x) ^ p3) ^ (abs(x) ^ p4);-1001.5419594736296;[-1.6735587531835685, -0.02791142943439675, -0.6809949274741393, 0.028161288073094735, 0.08067987105641251, -0.5025078596450198, 0.7399852002640034];-1001.5419594736296
548;abs(1.0 / (p1 + p2 / p3 ^ (abs(x) ^ p4))) ^ p5;-1001.9324330565182;[2.418413184047797, -2.452900878999938, -0.6457390753748586, 0.34639378208249505, -1.6775564518840593, -0.08064475222191937, -0.5025103176391397, 0.7399676246454368];-1001.9324330565182
612;p1 - x * abs(1.0 / (p2 + p3 ^ x)) ^ p4;-1002.7105191821378;[-0.037723748187095583, -1.0002840352726472, -0.7917871807530892, 0.33263573434110394, -0.08074284282110811, -0.5024370750604754, -0.740303853017781];-1002.7105191821378
3115;p1 + (abs(1.0 / (p2 - abs(x) ^ p3)) ^ p4 - x);-1002.7449373589959;[-3.0972601635201897, -2.073591854215988, 0.7358714861415103, -1.5678998856677964, 0.08073877229402224, -0.5025834491560407, 0.7399562857323178];-1002.7449373589959
7392;p1 / (p2 + abs(p3 + p4 ^ x) ^ p5);-1003.6989277271683;[5.842007108706843, 0.12630272732784525, -0.9989526735443204, -1.1658069093427847, -0.6599524030015039, -0.08084063357396647, -0.5026955876913293, -0.7398194406651931];-1003.6989277271683
17402;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];-1013.2384637845921
239295;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];-1013.2384638792784
