n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;abs(abs(p1 / (p2 + -1.0 / x)) ^ x) ^ (abs(x) ^ p3);-890.5809336900184;[2.5540561764639924, -0.39413021452734415, -0.8584567114043904, -0.08916547405941659, -0.5026413265160595, -0.7384432772847914];6283;51;19.168902161;-890.5809336900184
17;p1 * abs(1.0 / (p2 + x / (p3 + x))) ^ p4;-990.7149002130261;[0.07782542837754049, -0.9998036498914532, 0.011101677772796926, 0.6889372904985738, -0.08154832649275622, -0.5025255645752656, 0.7406096070593549];216146;1567;665.5678856730001;-990.7149002130261
82;x + p1 ^ (p2 ^ (abs(1.0 / (p3 + x)) ^ p4));-998.9685381538656;[0.9839786322385597, 24.881878503012015, 0.08080891947746942, 0.17598296823172127, 0.08137906770050979, -0.5024695848843328, 0.7400362016955527];1132902;9101;5744.733472668999;-998.9685381538656
101;p1 / (p2 + p3 ^ -(abs(x) ^ p4)) - x;-1002.3164241375049;[-0.015931120493162705, 0.01821213132836705, -232.10407994329614, 0.21952521033738828, -0.08077958978864921, -0.5027475158464151, -0.739634101999218];1363571;10995;6582.205175051998;-1002.3164241375049
972;p1 + x * abs(p2 + x) ^ (abs(x) ^ p3);-1003.5893690550312;[-0.2844626168669266, 0.9990369921970583, -1.3039168985134921, -0.08045271889001915, -0.5028649595599034, 0.739054352654627];12703391;104052;63016.07703790797;-1003.5893690550312
1283;p1 + 1.0 / (p2 - abs(p3 + p4 * x) ^ p5);-1005.7316891924413;[-0.09580803823683355, 0.02553708997027753, 0.02134019679550819, -1.9205929016871246, -0.7043171647839829, -0.07999370870515476, -0.5024419641625896, 0.7399479955452479];16478767;136920;80877.90587287702;-1005.7316891924413
5265;x / (p1 + -1.0 / (p2 + abs(p3 + x) ^ p4));-1006.9330804139553;[-0.08798496601542598, 0.985283261838275, -0.011213504438173975, -0.6584906011880228, -0.08014782604448199, -0.5023588207389285, 0.7396666210140699];67706026;568672;330003.6034527438;-1006.9330804139553
86064;1.0 / (p1 ^ (abs(p2 + x) ^ p3) - abs(x) ^ p4);-1011.7646849614036;[0.4071110905561187, -0.017525486114932452, 0.22156731497379784, -0.5016951493294719, 0.07955245685092333, -0.5020357283705413, 0.7395350424413347];1099267864;9227721;5327836.11044;-1011.7646849614036
607178;p1 * abs(x) ^ (1.0 / (p2 - abs(p3 + x) ^ p4));-1013.2384637845921;[-1.7302169269405268, 2.4058631050573074, -0.017892185557353994, 0.051285015586606246, -0.07915923994288941, -0.502424380432485, 0.7397716453383808];7760068814;65399856;37497595.53182509;-1013.2384637845921
661145;p1 * abs(x) ^ (-1.0 / (p2 + abs(p3 + x) ^ p4));-1013.2384638792784;[-1.7302245173940842, -2.40586258570395, -0.017892186956077034, 0.051284150873232376, 0.07915900803213895, -0.5024228473024372, -0.7397713386530679];8444422691;71191114;40815411.26401033;-1013.2384638792784
