generation,individual_index,expression,fitness,nodes
0,52,abs(1/((x0) + ((x0) * (x0))))**((-1.402988065008036) / ((x0) + (x0))),-0.19353479168853968,12
0,53,1/(((1/(x0)) - ((0.7260354499113016) - (x0))) + (-0.8895622284515495)),-0.3987714451866598,9
0,54,abs((x0) + (1/(1623.176032381052)))**(abs(x0)**(x0)),-3.0889538335339755e+79,8
0,55,1/(abs(-0.535216137668828)**((x0) - (x0))),-0.699839226519337,6
0,56,abs((2.5951560308911854) * (((x0) + (-0.19843742490897356)) / ((x0) - (0.18340649483315752))))**(0.6335838321450107),-0.06876938428587168,11
0,57,abs((0.7562232494215297) / ((x0) - (x0)))**((x0) - (x0)),-0.699839226519337,9
0,58,((3.1011036591474626) - (x0)) - (((x0) / ((0.2980798768268194) - (x0))) / (3.8887287550329166)),-1.3126959121692419,11
0,59,1/((-0.14395247706368755) + (x0)),-30.180501750945695,4
0,60,(1/(-1.1216656085187675)) - ((-4.316526018149009) + (x0)),-0.6990852659514588,6
0,61,(((-0.47297347255692807) / (-2.311467889783484)) / (0.7025859363788264)) * ((x0) + (4.506345549666127)),-0.1059170074966812,9
0,62,(abs(x0)**(x0)) - ((x0) - (x0)),-116.15846460014514,7
0,63,((x0) - (x0)) * ((((-0.7164380634898413) - (-0.28869595344558374)) + (x0)) - (x0)),-3.2958613259668508,11
0,64,abs(1/(1/(0.9980115509508606)))**(1/(x0)),-0.7030663495208042,6
0,65,(abs(x0)**(x0)) - (abs(1.969974796298588)**((1/(6.734293110852133)) + ((1.4844624984976988) * (x0)))),-39.11516698521687,12
0,66,(abs(0.005191824941191267)**(0.30706100118750784)) / ((abs((-0.23087599965689914) + (x0))**(x0)) + (-0.37093827257876366)),-2.654811408687408,11
0,67,((x0) * (x0)) + ((-1.022687379126128) + (-0.432689480453901)),-7.095049082153641,7
0,68,((0.372895952222724) / (1/(-0.3422853957275322))) / ((-0.1877856498612829) - ((0.3090430002262386) * (-0.3779339250900512))),-0.06301759103841978,10
0,69,((x0) + (x0)) / ((-12.462214876903591) - ((abs(x0)**(x0)) - (-12.979094869274478))),-3.6812779554388024,11
0,70,((1.736781588058341) - (-0.035737824110373545)) - (((-0.10205340443070704) / (1/(0.11518505497910252))) * (x0)),-0.06279212335449685,10
0,71,((x0) * ((0.13667667218785826) * (x0))) * ((x0) / (1.273801934526277)),-1.9216639297612355,9
0,72,((-1.4188537677533553) / ((abs(x0)**(x0)) / (-1.4870815055158464))) - (abs(0.11526986385853467)**(x0)),-1.2076360871843006,11
0,73,((-1.2170331098406342) * (x0)) + ((1.7581112832054366) + (1/((0.8054387794592167) / (x0)))),-0.06265251380260208,10
0,74,(1/(1/(0.5823465703525045))) - (((-0.004051368491222584) + (-1.323311976296274)) * (0.9158490777854276)),-0.06301759103812485,9
0,75,1/((x0) - (-0.3001902058355407)),-1.6725629776217383,4
0,76,1/(1/(1.7980110452455524)),-0.06301759103812461,3
0,77,abs(abs(-0.8399352341668341)**(x0))**((-0.8349612714030767) - (0.6993860212749494)),-0.21775454514040804,7
