n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;x / (x - p1 ^ x) - x;969.7944095949044;[-6.053829323046453e11, 3.525603173358102];2447;37;1.164500587;12.429877735992157
2;p1 * (x - abs(x) ^ -x) - x;783.8169285600943;[1.7510442731192601, -2.109184929233426];4274;72;2.053237873;4.448661097996618
4;x / p1 ^ (abs(x + 1.0 / x) ^ x);383.13346985865815;[-1.0135389705042523, 0.6972865705434824];6838;110;3.787696033;0.4862085692750438
5;1.0 / (p1 - p2 ^ (p3 + p4 * x));12.453220115808204;[1.7302921206316415, 1.2177699376283633, 0.7709738252706272, 0.026775982883338406, 0.2504396136780429];28918;396;14.602059031;0.06272000814011007
18;p1 / (p2 + (x + abs(x) ^ (1.0 / x)));7.077850223029964;[-89.4723292711535, -52.551215044438074, -0.24674829640647455];99623;1025;53.955518474;0.06088472544975163
60;p1 ^ (-1.0 / (p2 + abs(x) ^ (1.0 / x)));-8.993101074713373;[-28.84589394879239, -6.897023862221259, -0.23603354092918447];169348;1647;104.77501386299998;0.055711831742365894
141;p1 ^ -(p2 ^ (1.0 / (p3 + 1.0 / x)));-44.83482998912356;[-0.7827567108961923, 490.7159238926449, 6.21805238009669, -0.21378343857180232];324154;3194;208.94067001099992;0.0457033656461023
144;p1 + p2 ^ (abs(p3 ^ x) ^ -x);-192.4369421990834;[0.8572747542281375, -0.020395660815932876, 450692.8344985274, 0.14219837020313372];353351;3473;234.7025830579999;0.020220372965204337
171;p1 ^ (1.0 / (p2 * x + -1.0 / x));-283.89886134379765;[0.27286170890809147, -0.8406973619421845, 0.1104503097258985];405898;4057;265.9548360809999;0.01219927090869067
197;1.0 / (p1 + 1.0 / (1.0 / (p2 - x) - x));-304.5835334310766;[0.9530846928187616, 0.10103062905802283, -0.10431610432962678];509633;5036;325.26262368599987;0.010881849655583841
2051;p1 ^ (x - abs(1.0 / (p2 + x)) ^ p3);-316.7833901040414;[-3.339900614671263, -0.5413142322444668, -1.063096419281403, 0.10085909968281546];18881312;52256;10562.460162529005;0.010172558066205758
2976;p1 + x / abs(x) ^ (abs(x) ^ (1.0 / x));-374.24120500187905;[1.0398520679599739, 0.08605625823876724];30830762;74371;17081.977533831017;0.007405679589249061
7386;p1 * (x * (p2 - p3 ^ -x));-390.0741632486853;[-5.7999242110695155, -0.07741573987437239, 3.6308936985213958, 0.08237350320278215];97003775;191257;55440.05188241517;0.006785393657824796
8887;abs(p1 / (p2 + abs(1.0 / x) ^ x)) ^ x;-405.41201001996114;[-2.7711205139050974, -2.3395788647633173, 0.0789562622683501];119396509;232010;70483.72910621321;0.006234091292447959
10128;p1 ^ (1.0 / (p2 + x) - p3 ^ x);-408.6005185544225;[-8.936250906985906, 1.6811629826379164, 0.045093947757752835, -0.07826386302470853];158418215;263224;96570.2143448851;0.006125232753423839
14690;p1 - abs(p2 + 1.0 / (p3 - x)) ^ p4;-497.9339307018041;[2.2620522480871177, 0.7727828912048132, -0.30087985624089336, 0.676899309489513, -0.06114870389311681];208249967;384837;127265.53617689002;0.0037391637606722975
29999;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];358567984;781413;225133.6147402251;0.002698887484036575
37348;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];483136281;973707;307597.8460445764;0.0026988874840232616
