evals;expr;nll;coeff;mse;best_mse
1;39457;abs(x) ^ (abs(abs(abs(x) ^ x) ^ p1) ^ (1.0 / x));1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;19323;1.0 / (x + 1.0 / abs(x));636.9450861457403;1.976161903379222;1.976161903379222
6;8570;p1 * (x + abs(x) ^ -x) - x;189.8153804248152;0.16709824686234062;0.16709824686234062
17;4152;p1 + abs(x) ^ (1.0 / (1.0 - x));-3.6647154722204633;0.05737628920529953;0.05737628920529953
44;3767;1.0 / (p1 + p2 / (p3 - abs(x) ^ x));-24.500205398280038;0.05113749236365772;0.05113749236365772
125;2445;abs(p1 + -1.0 / (p2 + (x + x))) ^ p3;-89.34661096104846;0.03573928485498389;0.03573928485498389
127;2317;abs(p1 ^ x) ^ (abs(abs(x) ^ x) ^ p2);-103.3202676585455;0.03308394027871395;0.03308394027871395
134;351;x / (p1 + p2 ^ (p3 + x));-250.23171372916704;0.014693166603243551;0.014693166603243551
182;94;p1 ^ (1.0 / (x + -1.0 / (p2 - x)));-337.6427302810967;0.00906525283971616;0.00906525283971616
389;51;abs(p1 + p2 ^ (abs(1.0 / x) ^ x)) ^ x;-361.34123388775527;0.007952749965989532;0.007952749965989532
726;33;abs(p1 + 1.0 / (p2 + p3 ^ x)) ^ x;-380.8202883306028;0.007141327555462347;0.007141327555462347
1477;20;p1 + x * (p2 + abs(x) ^ -x);-398.321154003488;0.006483165055502198;0.006483165055502198
9187;8;p1 ^ (abs(3.0 * x) ^ (1.0 / x));-439.24189731780075;0.005171316875250844;0.005171316875250844
18218;6;p1 - abs(p2 + -1.0 / (p3 - x)) ^ p4;-497.9339307018077;0.0037391637606721626;0.0037391637606721626
19586;2;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;0.002698887484036575;0.002698887484036575
51269;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
