evals;expr;nll;coeff;mse;best_mse
1;70796;abs(x + abs(x) ^ (abs(x) ^ -x)) ^ p1;1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;17322;x * (x / (p1 + abs(x) ^ (1.0 / x)));561.4221691110192;1.3020016949663529;1.3020016949663529
8;4080;p1 ^ -(p2 ^ (p3 ^ x)) - x;-7.482030639999241;0.05617888636685332;0.05617888636685332
57;1212;p1 - abs(p2 ^ -(x * x)) ^ p3;-184.26221851951013;0.021154547157438964;0.021154547157438964
81;1005;1.0 / (p1 - x * p2 ^ (-2.0 * x));-191.30635464786198;0.020347071580296115;0.020347071580296115
167;972;p1 + abs(p2 + -1.0 / (p3 - x)) ^ p4;-191.64695556168664;0.020308819012885775;0.020308819012885775
202;389;abs(1.0 / (p1 - p2 ^ (abs(x) ^ x))) ^ x;-243.30476569710652;0.015266379006406094;0.015266379006406094
414;160;p1 + 1.0 / (x + p2 ^ (p3 + x));-298.4016093049809;0.011259931160123924;0.011259931160123924
659;14;p1 ^ (1.0 / (p2 - x) + p3 ^ x);-408.6005185543134;0.006125232753426734;0.006125232753426734
6642;4;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;0.0037391637606718135;0.0037391637606718135
9002;3;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;0.002850602307838145;0.002850602307838145
9011;2;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;0.002698887484036575;0.002698887484036575
77883;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
