evals;expr;nll;coeff;mse;best_mse
1;26501;x + -1.0 / (1.0 / x - abs(x) ^ x);1728.5871904295159;822.483463894098;822.483463894098
2;16300;x + abs(1.0 / x) ^ (1.0 / (x + -1.0 / x));488.53553891297713;0.8704145217471364;0.8704145217471364
9;13717;abs(-0.5 + x * x) ^ p1;421.65479738419015;0.6015217538004274;0.6015217538004274
13;2773;p1 + 1.0 / (1.0 / x + abs(x) ^ x);-75.31348458906177;0.03862043670991061;0.03862043670991061
19;354;x / (p1 + p2 * p3 ^ x);-250.23171372916227;0.014693166603243905;0.014693166603243905
472;182;p1 * (x + 1.0 / (p2 - p3 ^ x));-288.19502105051447;0.01191312221092415;0.01191312221092415
1255;73;p1 ^ (x * (p2 + abs(1.0 / x) ^ x));-346.80348200281696;0.008617860462950476;0.008617860462950476
2879;61;1.0 / (abs(p1 + x) ^ p2 - p3 ^ x);-354.5012624733473;0.008259034349369372;0.008259034349369372
2980;38;x * p1 ^ (x - p2 ^ x);-375.45849117932033;0.007356040996169266;0.007356040996169266
3738;8;p1 ^ (abs(3.0 * x) ^ (1.0 / x));-439.24189731780075;0.005171316875250844;0.005171316875250844
13057;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
