n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;x * abs(x) ^ (abs(x) ^ (x + -1.0 / x));1.7976931348623157e308;[0.0];103202;0;75.208755033;4.966003134978773e305
2;1.0 / (p1 + abs(x * p2 ^ x) ^ x);1.7976931348623157e308;[0.0, 0.0, 0.0];103648;0;75.660381834;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;p1 ^ (x - p2 ^ -(p3 ^ x));199.74219800727815;[-1.434216913491987, -3175.5514969341757, -0.31282812357641815, 0.4201409294085475];120872;219;90.61260800800001;0.17651859766575154
4;abs(p1 + abs(x) ^ x) ^ (abs(1.0 / x) ^ x);162.03497255698224;[0.801999252264807, -0.3785799026402405];122998;272;92.498443233;0.14332274247805205
17;1.0 / (p1 + p2 * 0.0 ^ x);-12.28469511686378;[0.5540763087013344, 1.1850540538132623, 0.23389706204042146];147992;604;106.17964969100001;0.05470783532842234
35;1.0 / (p1 + (x + p2 / p3 ^ x));-66.55164317822965;[-7.216249335075033, 7.935604891048215, -1.17522240043481, -0.2013354469259671];213432;1254;139.41876823;0.04053596271613279
55;p1 - abs(1.0 / (1.0 + x)) ^ p2;-104.3786585218683;[1.849031937645489, 4.732640574732736, -0.18135889152601828];235843;1665;154.06357499900002;0.03289104766687973
74;p1 ^ (1.0 / (p2 + abs(p3 ^ x) ^ p4));-185.12382232299498;[-1.0021655552745694, 0.0034883313518089373, 0.001291083183058412, 2.2705401877549636, -0.14510027422187818];338534;2114;234.10256674400006;0.02105408569353942
92;1.0 / (p1 + abs(p2 ^ (x * x)) ^ p3);-192.6742594921647;[0.5378904221050231, -14.014827652844993, -4.772005067002606, 0.14210516654907732];388026;2465;269.41552342800003;0.020193878491769054
205;abs(1.0 / (p1 * x + p2 ^ x)) ^ p3;-357.54498885643;[0.032997234643128134, 0.005440062660896501, 0.21858165259405798, -0.0901183175732269];1020802;4905;668.985235876;0.008121310282377055
914;x * p1 ^ (x - p2 ^ x);-375.45849117932033;[-0.16003911590907427, -1.3910443562365036, 0.08576736964381775];7942384;23456;4516.427282131002;0.007356040996169266
3638;abs(p1 / (p2 - abs(1.0 / x) ^ x)) ^ x;-405.41201001996126;[-2.7711205155212846, 2.3395788660774284, 0.0789562619104891];48256628;98679;30221.885847632024;0.006234091292447961
5652;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];60256277;148096;37984.74947503701;0.002850602307838145
57548;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];885263343;1515444;563672.8172724898;0.002698887484036575
73113;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];1099687031;1922528;699909.5674874095;0.0026988874840232616
