evals;expr;nll;coeff;mse;best_mse
1;16438;x + p1 ^ (1.0 / (p2 - abs(x) ^ x));498.2366855604835;0.9183394148562622;0.9183394148562622
12;14185;p1 * x + x / (p2 + 1.0 / x);432.5033825764624;0.6386775021098048;0.6386775021098048
15;11689;p1 / (x * (p2 + x) + 1.0 / x);355.2497000801453;0.41679050524191646;0.41679050524191646
22;3012;(p1 + x) / abs(p2 ^ -x) ^ x;-61.219498760323916;0.04174788994692865;0.04174788994692865
38;1393;abs(abs(1.0 / (p1 - p2 ^ x)) ^ p3) ^ p4;-176.61307352705396;0.022067707648801508;0.022067707648801508
50;534;p1 ^ (x / (p2 - p3 ^ -x));-217.35729275673305;0.01761955146185826;0.01761955146185826
275;440;x / (p1 + -1.0 / (p2 + p3 * x));-234.48143274177318;0.016029017217422267;0.016029017217422267
481;305;p1 - x / (p2 - p3 ^ x);-259.8109324142894;0.013935766553526002;0.013935766553526002
516;218;abs(p1 + 1.0 / (x + 1.0 / x)) ^ p2;-279.1392817839111;0.012524318170931354;0.012524318170931354
535;58;abs(1.0 / (p1 * x + p2 ^ x)) ^ p3;-357.54498885643;0.008121310282377055;0.008121310282377055
5196;3;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;0.002850602307838145;0.002850602307838145
42832;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
