evals;expr;nll;coeff;mse;best_mse
1;60492;p1 * (x / (abs(1.0 / x) ^ p2 - x));1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;27470;p1 + x / abs(0.5 / x) ^ x;2621.989114151418;114490.89833090948;114490.89833090948
3;25742;1.0 / (p1 - x * x) - abs(x) ^ x;1427.423724062907;155.7795432141324;155.7795432141324
4;17725;1.0 / (x + 1.0 / (-1.0 + p1 * x));574.366972591086;1.3985291775094482;1.3985291775094482
12;12425;abs(p1 ^ (x + x * x)) ^ x;377.91180495481603;0.47238234439614113;0.47238234439614113
17;6664;1.0 / (p1 + 1.0 / (p2 + (x + 1.0 / x)));13.63574167664476;0.06313111625586593;0.06313111625586593
27;85;p1 * x + -1.0 / (p2 - p3 ^ x);-345.0578066770486;0.008701378512075897;0.008701378512075897
2680;18;abs(p1 / (p2 + abs(1.0 / x) ^ x)) ^ x;-405.41201001996114;0.006234091292447959;0.006234091292447959
8155;10;p1 + 1.0 / (x + p2 / (p3 + x));-422.3668214626467;0.005676641848995082;0.005676641848995082
9163;2;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;0.002698887484036575;0.002698887484036575
17772;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
