n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 + 1.0 / (p2 * x + x ^ 3.0);1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;4.966003134978773e305
2;1.0 / x - p1 ^ (p2 * x - x);1.7976931348623157e308;[0.0, 0.0, 0.0];0;0;0;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;abs(1.0 / (p1 + 1.0 / (x + 1.0 / x))) ^ x;74.56026576763287;[-1.1249697022823133, -0.2973126604721155];4537;100;2.25647249;0.08839481859368588
5;p1 / (p2 + (x + x));12.467762086986196;[-403.2264848066135, -227.51970131103508, -0.2504496139087359];23520;311;8.546928681;0.06272504741739543
6;x / (p1 + 1.0 / (p2 + p3 ^ x));-253.4418977265241;[-0.8308830593575882, 0.0756984356134513, -0.6681978619332287, 0.12014520083032992];48363;575;21.983152578000002;0.014434868533522795
171;x * p1 ^ (p2 ^ x - x);-375.45849117932147;[-6.2484723957615715, -1.3910443557897874, -0.08576736548075456];838879;5395;479.7204535969997;0.007356040996169245
5485;abs(p1 + 1.0 / (p2 + p3 ^ x)) ^ x;-380.8202883306028;[-4.466499791974084, 0.3050528875888615, -0.11391360392303612, -0.08450640084632224];95490483;147763;57584.69327393618;0.007141327555462347
6711;x * (p1 + p2 ^ (p3 + x));-390.07416324868746;[0.449005416124551, -0.27541429242782645, -1.363221206059343, 0.08237350101447216];113263014;180098;68008.84068334317;0.00678539365782473
6848;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];113713252;183688;68308.59002136809;0.002850602307838145
8874;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];135315526;237665;82271.02075495706;0.0026988874840232616
