n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;(x + -1.0 / x) / abs(abs(x) ^ x) ^ x;1.7976931348623157e308;[0.0];0;0;0;4.966003134978773e305
2;p1 / (p2 + (p3 ^ (1.0 / x) - x));1.7976931348623157e308;[0.0, 0.0, 0.0, 0.0];571;0;0.462822378;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7;p1 ^ (p2 ^ -x + abs(x) ^ x);404.4626570574124;[1.0103865150366917, 0.34351725297509117, -0.7396053484755484];7409;24;6.745068133;0.547016244805193
25;x / (abs(1.0 / (p1 + x)) ^ p2 - x);-262.9995471440151;[0.3447963584237058, -1.3278687187556035, 0.11701459378221162];25238;180;17.876180853;0.013692414764495724
128;abs(p1 ^ (p2 ^ (abs(x) ^ -x))) ^ x;-265.1941888783493;[-1.2222361265039121, -3.5423119485423142, -0.11630733144796482];275103;2446;176.14286188499992;0.013527395428625338
230;1.0 / (abs(p1 + x) ^ p2 - p3 ^ x);-354.5012624733473;[-0.050519432057383414, -0.3089356505733295, 0.5132091215062041, 0.09087924326266619];877190;5445;568.1427468059999;0.008259034349369372
2133;x * (p1 + p2 ^ (p3 - x));-390.07416324868746;[0.44900541280063333, -3.6308936103813405, 1.363221208908576, -0.08237350075288163];32884499;59539;21308.745901496975;0.006785393657824732
6192;p1 ^ (abs(3.0 * x) ^ (1.0 / x));-439.24189731780075;[-1.27132627575855, 0.07191186883315245];74101761;168572;48702.45181570909;0.005171316875250844
12028;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;[2.262052263951353, -0.772782903719715, 0.30087982514618816, 0.6768993161986618, -0.061148708322969286];152060855;323125;98911.48018772117;0.0037391637606718603
21616;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];341923712;565333;215611.1473623975;0.002698887484036575
67978;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];1112945576;1779640;708837.8905743974;0.0026988874840232616
