n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;x / (-0.0 + (x + x));1.7976931348623157e308;[0.0];0;0;0;4.966003134978773e305
2;x + 1.0 / (x - abs(x) ^ (p1 / x));1.7976931348623157e308;[0.0, 0.0];0;0;0;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;p1 + p2 ^ -(x * x);12.217697115626533;[0.8217057867280927, -1.007456824756054, -0.25027674228602137];6862;91;3.272203243;0.06263844793152998
37;p1 / p2 ^ (p3 ^ -(x * x));-194.1738084940136;[1.8613487623163336, 2.5305240520936265, -5388.21544780446, -0.1415177277574879];164079;1216;98.23159624;0.02002726734780205
62;p1 ^ -(x / (p2 + x * x));-283.8988613437975;[0.21333401043259323, 1.1894886981291881, 0.11045030849468641];240320;1985;144.73795175499998;0.012199270908690682
579;p1 + 1.0 / (x + p2 ^ (p3 - x));-298.40053933330523;[1.256700963129783, 806.7099481567794, 0.6560204564102451, -0.10611313713298962];3108299;15841;1779.388850945;0.011259997722792563
1020;p1 + (x - abs(p2 + x) ^ p3);-319.5391626654621;[1.2582928471170678, -0.6514535085044882, 1.1299416622113172, 0.10009421172824545];7173308;28066;4101.311878074003;0.010018851278916677
1143;p1 + abs(x / abs(x) ^ x) ^ (1.0 / x);-351.9415372036047;[1.0925485997206683, 0.09152411952961152];7590797;31179;4352.592453932004;0.008376664484691949
1478;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];17953129;39814;11902.515089640003;0.002698887484036575
28196;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];468341143;745307;294190.0442250894;0.0026988874840232616
