n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;x * x + p1 ^ (0.5 / x);1.7976931348623157e308;[0.0, 0.0];206;0;0.124145999;4.966003134978773e305
2;1.0 / (1.0 + (x * x - x));600.9664409403525;[1.2727625098855713];471;15;0.204773671;1.6199244065693945
4;p1 * (-2.0 * x + abs(1.0 / x) ^ x);545.8379977231991;[-0.43381923124012234, 1.0929726967928408];3593;50;1.729692762;1.1945893082334085
6;x / (x + abs(p1 ^ x) ^ -x);459.7607365932794;[-41577.76382532924, 0.8616713462315164];13416;209;8.537739348999999;0.742477636891728
17;p1 + (p2 ^ (abs(1.0 / x) ^ x) - x);327.50389175168726;[2.989366440326713, 0.131444695719837, 0.5979598534794984];30859;431;22.844551778999996;0.35755598502045927
23;abs(1.0 / (p1 + p2 ^ -x)) ^ x;-168.59933588602541;[-1.1115067863163848, 1.6313115335105446, -0.15187726681562547];563618;777;199.68684384299996;0.02306670281724878
124;abs(p1 / (p2 + 1.0 / (p3 - x))) ^ p4;-250.75984430649268;[0.013456286995882541, -1.0702315574239176, 1.0206876027886993, -0.11345958341301972, -0.12103822951434201];2056732;3535;916.4375481839992;0.014650356655681727
321;p1 * (p2 ^ x - p3 ^ x);-295.14315776417817;[-2.3842806238526975, -0.04275604298056215, 0.8776178350601266, 0.10707227980035887];3254294;8083;1694.226574256998;0.01146447362432913
2314;x * abs(p1 + p2 ^ x) ^ p3;-353.58895594424087;[0.7262747365586557, -0.4944021651795832, 3.518523361195935, 0.09110853471327887];42885830;60226;28313.024085369027;0.008300768006345615
2487;x * p1 ^ (p2 ^ x - x);-375.45849117932147;[-6.2484723957615715, -1.3910443557897874, -0.08576736548075456];58075184;65203;39419.76961172102;0.007356040996169245
2564;p1 - abs(p2 + 1.0 / (p3 - x)) ^ p4;-497.9339307018041;[2.2620522480871177, 0.7727828912048132, -0.30087985624089336, 0.676899309489513, -0.06114870389311681];58238188;66930;39525.525904139016;0.0037391637606722975
17942;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];342511610;464716;222547.46455934545;0.0026988874840232616
