n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 + (x - abs(x) ^ (p2 * x));1.7976931348623157e308;[0.0, 0.0, 0.0];445;0;0.364219278;4.966003134978773e305
2;x + (x - p1 ^ (abs(1.0 / x) ^ x));673.865848129271;[-0.5112047489257653, -1.5567017507368148];2234;35;1.572434965;2.423320340440247
4;x + (x + -1.0 / (p1 + 1.0 / x));399.3401943909777;[-0.07469291558660501, -0.7292134190683913];7862;113;3.445197534;0.5317522052726688
15;p1 + p2 / (1.0 / x + p3 ^ x);-254.08409260486755;[0.6226560897717823, 3.3907125317405398, 1.5019833757991592, 0.11993224543348206];22535;260;11.08260417;0.01438374382125671
205;p1 + p2 / (x + 1.0 / x);-289.1673034917964;[0.6991099905717887, 2.7214354263567397, 0.10885448886882954];519749;4700;352.5937756460004;0.011849299752136251
242;x * p1 ^ (p2 - p3 ^ -x);-332.3100157094582;[0.03382024977216439, 0.4187926248202603, -1.6021392420703933, 0.09662458870581944];629139;5598;435.1260417510005;0.009336311380768684
1811;p1 ^ (x * (p2 + abs(x) ^ -x));-346.803482002817;[1.7678248316193323, 0.2603982288653326, 0.09283243200240829];45063902;49042;26769.17350157201;0.008617860462950475
1923;abs(p1 * x + p2 ^ -x) ^ p3;-357.4725720974436;[0.03473223303018679, 167.57894394038556, -0.22270477255701976, 0.09014399201867064];45473620;51792;27023.21288240602;0.008124560091504526
2758;1.0 / (p1 + (p2 ^ x - p3 ^ x));-375.28277382487926;[1.3857385362745733, 0.024184252658734248, 0.9148130282744928, 0.08580900856843394];53905066;74649;31846.161303187037;0.0073631858121666425
3005;p1 + 1.0 / (x + p2 / (p3 - x));-422.3668214626465;[1.3628838380461736, -0.3664555501118346, 0.33053386388523304, -0.07534349086874746];63242355;81088;37252.24137443502;0.005676641848995087
22630;p1 + 1.0 / (x + p2 / (p3 + x));-422.3668214626467;[1.362883835560016, 0.3664555492234203, -0.33053386275018265, -0.07534349244908463];353650756;592948;217367.4950813662;0.005676641848995082
38603;p1 ^ (abs(3.0 * x) ^ (1.0 / x));-439.24189731780075;[-1.27132627575855, 0.07191186883315245];625612736;1016286;396034.27342087246;0.005171316875250844
38652;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];625711220;1017300;396088.74524432654;0.002698887484036575
45462;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];727322525;1203395;464192.6642926206;0.0026988874840232616
