evals;expr;nll;coeff;mse;best_mse
1;3371;p1 ^ (p2 ^ (abs(x) ^ (0.5 / x)));-40.71516932518145;0.04675552814645264;0.04675552814645264
99;614;abs(p1 ^ (p2 * x)) ^ (p3 ^ x);-205.19387879294132;0.01884429746002136;0.01884429746002136
514;237;p1 / (1.0 / (p2 + p3 ^ x) - x);-272.31975550531627;0.013005198326509215;0.013005198326509215
600;147;x * abs(p1 + -1.0 / (p2 + x)) ^ p3;-308.1685841653752;0.01066843436321932;0.01066843436321932
851;56;abs(1.0 / (p1 * x - p2 ^ x)) ^ p3;-357.54498885643824;0.008121310282376698;0.008121310282376698
6655;14;p1 ^ (1.0 / (p2 - x) + p3 ^ x);-408.6005185543134;0.006125232753426734;0.006125232753426734
9302;11;p1 + -1.0 / (p2 / (p3 - x) - x);-422.3668214626465;0.005676641848995088;0.005676641848995088
12010;7;p1 - abs(p2 + 1.0 / (p3 - x)) ^ p4;-497.9339307018041;0.0037391637606722975;0.0037391637606722975
17847;3;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;0.002850602307838145;0.002850602307838145
26768;2;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;0.002698887484036575;0.002698887484036575
73152;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
