n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;1.0 / (abs(x + p1 ^ x) ^ x - x);540.7119330506804;[0.3737254340792682, 1.0776048457886072];2251;46;1.589857535;1.1612321642120507
5;x + 1.0 / (p1 - abs(x) ^ (x * x));439.9611169911992;[292.9393470700149, -0.8158079352545882];18381;281;9.214112202;0.6655425602032353
7;1.0 / (p1 - x / (p2 + p3 * x));-84.78675744127428;[3.315538934131742, 0.005445465200620872, 0.35721409235998985, 0.19144473026455797];48723;539;18.644853187000002;0.036651086044564546
32;p1 / (p2 - abs(1.0 / (p3 + x)) ^ p4);-190.4951606964343;[-1004.182905162503, -538.4979066914212, -1.9655153619576593, -10.77322115725555, -0.1429633916845946];172685;1346;76.952461215;0.0204384664043378
40;p1 + p2 / abs(p3 ^ -x) ^ x;-192.28444065798502;[1.8601113448866216, -1.1979872851893183, -0.00048417486099617136, -0.14225827426256624];207723;1741;103.10177163100002;0.020237416818592674
246;abs(1.0 / (p1 + p2 / (p3 - x))) ^ p4;-203.34978315848963;[130.37828614393428, -96.38011361933214, 0.8577109473602594, -0.10555698345140112, -0.13797560943226858];1356684;7150;832.697621598;0.019037271581067595
309;x / (p1 + p2 ^ (p3 * x));-249.78105840496642;[-0.8958755115807185, 0.7458523153026786, -1.1624998288460104, 0.12136636831239203];9055046;8740;4904.098033708003;0.014729795353546665
383;abs(p1 ^ (p2 - p3 ^ x)) ^ x;-267.27282327906937;[-0.16503296139109344, -0.06052320339777626, -0.3225853122579902, 0.11564139148852669];9334532;10768;5073.266359064002;0.013372933180281314
763;abs(p1 ^ (p2 + abs(1.0 / x) ^ x)) ^ x;-346.80348200281696;[1.7678248319601442, 0.2603982285276869, -0.0928324321757077];11528421;19092;6522.468920178001;0.008617860462950476
1289;abs(p1 / p2 ^ (abs(1.0 / x) ^ x)) ^ x;-346.8034820028169;[-1.159932553993063, 0.5656669047598517, 0.092832432963865];16833888;31623;9987.872656689005;0.008617860462950475
1837;abs(p1 * x + p2 ^ -x) ^ p3;-357.4725720974436;[0.03473223303018679, 167.57894394038556, -0.22270477255701976, 0.09014399201867064];35144572;46890;21861.408789336958;0.008124560091504526
3041;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;[2.262052263951353, -0.772782903719715, 0.30087982514618816, 0.6768993161986618, -0.061148708322969286];64893530;77634;40837.04023553392;0.0037391637606718603
22844;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];381832447;596496;233078.45515546357;0.002850602307838145
32298;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];540447324;846426;334176.30919935455;0.002698887484036575
69915;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];1115489983;1835215;712642.530740723;0.0026988874840232616
