evals;expr;nll;coeff;mse;best_mse
1;23264;1.0 / (x - abs(p1 ^ -x) ^ x);832.4655574038796;5.820464845932295;5.820464845932295
6;12025;x + p1 / (p2 - abs(x) ^ -x);368.4571686707183;0.44834057236515223;0.44834057236515223
12;6606;p1 + -1.0 / (p2 + abs(x) ^ -x);13.309966315176348;0.06301759103812461;0.06301759103812461
49;3533;p1 - abs(x + abs(x) ^ -x) ^ p2;-33.91909842795188;0.04854444892354338;0.04854444892354338
79;774;1.0 / (p1 + p2 ^ (p3 ^ (p4 * x)));-196.5801311990901;0.019762774884186502;0.019762774884186502
96;465;x * abs(p1 + abs(1.0 / x) ^ x) ^ p2;-231.87627863043912;0.016261393026270547;0.016261393026270547
698;216;p1 ^ (abs(x + x) ^ (x ^ -2.0));-280.85082205977875;0.012406446101281929;0.012406446101281929
827;174;p1 + p2 / (p3 + (-1.0 / x - x));-293.35191191186533;0.01157849374270469;0.01157849374270469
885;57;abs(p1 * x + p2 ^ x) ^ p3;-357.544988856435;0.008121310282376787;0.008121310282376787
2061;49;1.0 / (p1 + (p2 ^ x + p3 ^ x));-361.6203831251222;0.007940494203255415;0.007940494203255415
4271;13;p1 ^ (1.0 / (p2 + x) - p3 ^ x);-408.6005185544225;0.006125232753423839;0.006125232753423839
6066;7;p1 - abs(p2 + 1.0 / (p3 - x)) ^ p4;-497.9339307018041;0.0037391637606722975;0.0037391637606722975
13723;3;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;0.002850602307838145;0.002850602307838145
40207;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
