n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 + 0.0 ^ (x + x);61.02531130849256;[1.7924861877296359, -0.28640157644564573];1328;35;0.450137997;0.08202586306889291
20;p1 + p2 / (p3 + p4 ^ x);-193.57203320135113;[0.7439021837324946, 0.023076039684041233, 0.02068268901601348, 1.0356000795177172e-5, -0.1417531811316045];97534;824;54.478656578999995;0.020093963323185533
300;p1 - p2 ^ (p3 ^ (p4 ^ -x));-197.98777429368744;[2.8600085269309923, -2.370533893528174, 0.902361611663897, 0.00398233287496344, -0.14003454204188245];1122426;8555;740.4144342800003;0.019609675220732876
510;p1 ^ (1.0 / (p2 * x - p3 ^ x));-198.79312020265996;[0.8598856278745415, -0.1323538662539835, 0.06746885678249104, 0.13972336578822292];1999644;12901;1267.7917944160006;0.019522617265843534
528;abs(p1 ^ x + abs(x) ^ -x) ^ x;-259.810601821737;[1.0463531315507903, -0.1180499559422598];2033725;13241;1289.8493212040005;0.013935792006922914
744;abs(p1 * p2 ^ (abs(x) ^ -x)) ^ x;-346.80348200281696;[1.159932554019701, -1.7678248326417039, -0.09283243209573341];12408792;18986;7414.759629107;0.008617860462950471
1188;x * abs(p1 + p2 ^ -x) ^ p3;-353.5889559442263;[0.7262747158885489, -2.022644758367991, 3.5185234203183393, 0.09110854972670628];14857636;30482;9021.339174069006;0.008300768006346798
1998;abs(1.0 / (p1 * x - p2 ^ x)) ^ p3;-357.54498885643824;[-0.032997232598408345, -0.005440062433046102, 0.21858164472684438, 0.09011830851469542];20094297;51846;12185.502044917;0.008121310282376698
4268;p1 ^ (1.0 / (p2 + x) - p3 ^ x);-408.6005185544225;[-8.936250906985906, 1.6811629826379164, 0.045093947757752835, -0.07826386302470853];34035146;109008;20305.828829055026;0.006125232753423839
4626;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;[2.262052263951353, -0.772782903719715, 0.30087982514618816, 0.6768993161986618, -0.061148708322969286];46044421;116742;26805.131113758034;0.0037391637606718603
14488;p1 - abs(p2 + -1.0 / (p3 + x)) ^ p4;-497.93393070182753;[2.2620522470343785, 0.7727828926039556, 0.3008798424323267, 0.6768993471343056, -0.061148703359623045];176206006;379097;113711.24085504372;0.0037391637606718135
37665;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;[0.455524443322374, -0.19111053641766093, -0.17685213286850085, 1.2164067923256552, 0.05339102833633362];504515699;993218;318604.5203306722;0.002850602307838145
72030;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];1123320362;1890310;715839.8099686771;0.002698887484036575
79015;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];1247594388;2075496;797358.4834233783;0.0026988874840232616
