evals;expr;nll;coeff;mse;best_mse
1;65039;abs(x) ^ (abs(x + abs(x) ^ (1.0 / x)) ^ x);1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;8050;p1 * (x + abs(1.0 / x) ^ x);146.93439275323354;0.13185072479488397;0.13185072479488397
4;5749;p1 + p2 ^ (-2.0 * x);12.404077429559107;0.06270298155836107;0.06270298155836107
6;5257;p1 + x * (x / (p2 + -1.0 / x));12.145222694398536;0.06261337181820721;0.06261337181820721
7;3638;p1 + p2 ^ (p3 ^ -x - x);-30.321547562403993;0.049518969704812676;0.049518969704812676
35;746;p1 + -1.0 / (p2 - p3 ^ (p4 ^ x));-197.77057434192778;0.019633220950379598;0.019633220950379598
246;682;abs(1.0 / (p1 + abs(p2 + x) ^ p3)) ^ p4;-202.15850758886953;0.01916298114888895;0.01916298114888895
341;94;p1 ^ (1.0 / (x + -1.0 / (p2 - x)));-337.6427302810967;0.00906525283971616;0.00906525283971616
1170;53;p1 + p2 / (1.0 / (p3 - x) - x);-357.88377127232826;0.00810612363138225;0.00810612363138225
1574;15;abs(p1 / (p2 - abs(x) ^ -x)) ^ x;-405.41201001996126;0.006234091292447958;0.006234091292447958
2732;13;p1 ^ (1.0 / (p2 + x) - p3 ^ x);-408.6005185544225;0.006125232753423839;0.006125232753423839
3004;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
