n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;1.0 / (x - x / (p1 + x * x));1.7976931348623157e308;[0.0, 0.0];0;0;0;4.966003134978773e305
2;abs(abs(x * (p1 + x)) ^ (1.0 / x)) ^ x;1.7976931348623157e308;[0.0, 0.0];323;0;0.357214084;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;p1 ^ (abs(p2 * abs(1.0 / x) ^ x) ^ p3);11.497871589680273;[1.812196475408162, -1.4268578915524373, 0.02119108472214067, -0.24977956983748179];9047;104;9.203897131;0.06238983348453994
7;p1 - abs(1.0 / (p2 + -2.0 * x)) ^ x;-123.287654113083;[1.847657695204369, -36.2817688887125, -0.1721288100488807];19776;248;14.697536144999999;0.02962832781492171
23;p1 ^ (p2 - abs(p3 + x) ^ -x);-170.00419109849057;[5.604679190090287, 0.35999839570467124, 315.45046904246703, -0.1512890025827578];70769;698;49.335627327000005;0.02288836059000881
51;1.0 / (p1 - x * p2 ^ (-2.0 * x));-191.30635464786198;[0.9327643642357142, -1.5118985044534898, 0.1426431609015405];8231865;1658;4444.035452904001;0.020347071580296115
154;x / (p1 + 1.0 / (p2 + p3 * x));-234.4814327417984;[-2.6435143784009596, 0.36482670009708346, -0.04804053032933032, -0.12660575346686007];8492536;3574;4610.663159310998;0.016029017217420158
314;p1 / (p2 + (x + 1.0 / x));-260.30764860671724;[8.69919047662654, 2.307960036211123, 0.11788797744491106];11247732;7216;6338.471831025998;0.013897575219626923
949;abs(p1 + p2 ^ (p3 + x)) ^ x;-313.1299397109946;[1.1557878358812332, -0.2061705513577865, -0.9144760233269997, -0.10188216377242396];16487103;24576;9973.514817836993;0.010379975504224778
1500;x * abs(1.0 / (p1 - p2 ^ x)) ^ p3;-353.5889559441498;[-0.7262747342204754, 0.49440217108757595, -3.5185235423269767, -0.09110855547210182];21706962;38739;13025.788551370008;0.008300768006350259
1929;abs(p1 / (p2 - abs(1.0 / x) ^ x)) ^ x;-405.41201001996126;[-2.7711205155212846, 2.3395788660774284, 0.0789562619104891];23263142;50018;13989.193355140014;0.006234091292447961
16413;p1 ^ (abs(3.0 * x) ^ (1.0 / x));-439.24189731780075;[-1.27132627575855, 0.07191186883315245];299076920;426005;196371.72272827162;0.005171316875250844
18821;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];313668156;490677;205649.32939142585;0.002698887484036575
40687;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];711825093;1074540;456502.93653541716;0.0026988874840232616
