n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 - abs(x) ^ (abs(x) ^ (abs(1.0 / x) ^ p2));1.7976931348623157e308;[0.0, 0.0, 0.0];374;0;0.441136009;4.966003134978773e305
2;abs(x) ^ -(abs(x) ^ -(abs(1.0 / x) ^ x));1.7976931348623157e308;[0.0];374;0;0.441136009;496600313497877300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4;1.0 / (x - p1 ^ (-1.0 + x));1552.266863818165;[108.67681787712398, -17.621001464588108];698720;35;356.91438683900003;310.4996974130611
14;p1 ^ (p2 / (p3 + p4 ^ -x));-141.3605665845107;[-1.1598348174287265, 0.6468063848843925, 0.1537779578917583, -425.80862141500364, 0.16374623116249953];758063;296;397.73051849300003;0.026812832010993343
54;abs(1.0 / (p1 + p2 / (p3 - x))) ^ p4;-203.34978315848963;[130.37828614393428, -96.38011361933214, 0.8577109473602594, -0.10555698345140112, -0.13797560943226858];876763;1155;477.003246738;0.019037271581067595
66;abs(p1 ^ (p2 ^ x)) ^ x;-205.19387879294067;[-4.682827706778649, -0.4445299154770251, -0.1372745294688037];920853;1386;509.3957685330001;0.018844297460021395
236;p1 / (x + p2 ^ (1.0 / (p3 - x)));-290.5149558323761;[6.660442999589804, -0.29782436929997863, -0.4714606501325052, -0.10844999749357462];13033380;4841;9637.079248458003;0.011761402318672853
662;abs(p1 + p2 / (x + 1.0 / x)) ^ p3;-293.98872350025795;[-0.39092521358256976, -4.909079918817263, 0.6833602855058796, -0.10741428585864132];15534972;17060;11165.06892026;0.011537828751377818
2591;p1 + (x - abs(p2 + x) ^ p3);-319.5391626654621;[1.2582928471170678, -0.6514535085044882, 1.1299416622113172, 0.10009421172824545];34952623;68966;22810.636644627033;0.010018851278916677
2673;p1 ^ (1.0 / (p2 + x) - p3 ^ x);-408.6005185544225;[-8.936250906985906, 1.6811629826379164, 0.045093947757752835, -0.07826386302470853];35119885;70601;22935.004492593038;0.006125232753423839
5457;p1 + 1.0 / (x + p2 / (p3 - x));-422.3668214626465;[1.3628838380461736, -0.3664555501118346, 0.33053386388523304, -0.07534349086874746];51451728;141862;32941.57433082114;0.005676641848995087
6307;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];54414870;163761;34934.39008433913;0.0026988874840232616
