evals;expr;nll;coeff;mse;best_mse
1;16388;p1 * abs(x) ^ (abs(1.0 / x) ^ (-1.0 / x));494.8603118487983;0.9013675020344155;0.9013675020344155
7;15005;x - x / p1 ^ x;440.99216390579784;0.6693445699690169;0.6693445699690169
9;698;abs(p1 / (p2 + x)) ^ p3 - x;-200.98757568302068;0.019287352877867182;0.019287352877867182
270;156;p1 ^ (x + p2 / (x + 1.0 / x));-299.0165895177246;0.011221738429057264;0.011221738429057264
300;37;x * p1 ^ (p2 ^ -x - x);-375.4584911793213;0.007356040996169254;0.007356040996169254
511;18;abs(p1 / (p2 + abs(1.0 / x) ^ x)) ^ x;-405.41201001996114;0.006234091292447959;0.006234091292447959
6436;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
