evals;expr;nll;coeff;mse;best_mse
1;53035;abs(x) ^ (abs(1.0 / (p1 - abs(x) ^ p2)) ^ p3);1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;51832;abs(x) ^ (p1 + p2 ^ (abs(x) ^ p3));1.7976931348623157e308;1.7976931348623157e308;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;5380;p1 + -1.0 / (p2 - (x + abs(x) ^ x));12.226493047271038;0.06264149200276721;0.06264149200276721
9;2080;p1 ^ (-1.0 / (p2 + -1.0 / x)) - x;-125.3230175926041;0.02929702052703155;0.02929702052703155
24;1019;p1 + 1.0 / (p2 - abs(p3 ^ x) ^ x);-190.83820994026394;0.02039976607114349;0.02039976607114349
43;51;abs(p1 + p2 ^ (abs(1.0 / x) ^ x)) ^ x;-361.34123388775527;0.007952749965989532;0.007952749965989532
2474;15;abs(p1 / (p2 - abs(x) ^ -x)) ^ x;-405.41201001996126;0.006234091292447958;0.006234091292447958
4551;5;p1 - abs(p2 + 1.0 / (p3 + x)) ^ p4;-497.93393070182196;0.0037391637606718603;0.0037391637606718603
12278;3;1.0 / (p1 + abs(p2 + p3 ^ x) ^ p4);-547.044965684411;0.002850602307838145;0.002850602307838145
33707;1;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;0.0026988874840232616;0.0026988874840232616
