generation,individual_index,expression,fitness
0,0,((x0) / ((-0.22916625109445787) * (-0.3276270637294811))) * ((0.6588495611368699) * (x0)),-4328.239295463565
0,1,abs(((1.211842583215848) + (0.6758151742928591)) * ((x0) * (1.2735608155872096)))**(0.6391141264968219),658.967534866729
0,2,(((x0) - (-0.037337146051433207)) - (-0.24392915861632217)) / ((x0) / (x0)),-919.2372461467111
0,3,(((-0.6829346207975376) + (-0.25803303169961467)) / ((-0.7723762701767318) / (0.48445407608585855))) / (0.6386236198722488),-2932.230749879763
0,4,((-0.1347277338726542) - (x0)) * ((x0) - ((0.09071543896143103) + (-1.4154783780115545))),-1426.6291403866344
0,5,(((x0) + (x0)) + ((x0) / (x0))) - (x0),-1988.6839222519018
0,6,((abs(x0)**(0.9695028949702759)) + (1.2507625116094385)) - ((x0) / (x0)),118.07284286483014
0,7,((0.8857097359375883) + (1.9170181989136563)) / ((abs(x0)**(-0.8488758132734107)) - (-0.4427024192533262)),128.3906697949036
0,8,((abs(x0)**(x0)) - ((0.9290643503256246) - (x0))) / (x0),-3006.6655021437973
0,9,abs(abs(1.0643171902770405)**(x0))**(((-0.24943058565544635) + (0.11332449183480044)) / (x0)),-2627.5845410439624
0,10,(((x0) - (x0)) + ((0.6766976415013156) - (-0.32387982974650914))) - (x0),-2873.926247770666
0,11,((x0) * (x0)) - ((x0) - ((-0.489811705907208) + (x0))),-2272.8049383878224
0,12,((abs(0.32156200102152993)**(x0)) / ((x0) * (5.450800684298466))) + (x0),-3487.8496538610934
0,13,((x0) + (x0)) - ((x0) - (abs(x0)**(x0))),-3218.28014386836
0,14,abs(((-0.3528932031096859) + (x0)) + (-1.036860365100445))**((0.009205992812371342) / (-0.5279432194212956)),-2640.8964354514537
0,15,((abs(0.09536077570361841)**(1.0427028130672893)) / ((1.0359311406310445) * (x0))) / (x0),-6222.816195260453
0,16,(((0.00019105362869563695) / (x0)) / ((x0) * (0.7393657326398646))) - (x0),-4774.541398473108
0,17,(((x0) / (0.27983619814207283)) + ((x0) - (x0))) - (x0),-1102.199792067509
0,18,(((1.4127909660903895) * (x0)) + ((x0) / (x0))) + (-0.7918612929870582),616.0972277296651
0,19,((x0) + ((-1.1605089062996656) + (0.49310791169962476))) + (abs(x0)**(0.42845340468767806)),-1575.9910567433358
0,20,((x0) - (x0)) - (abs(0.8500082398587552)**((x0) / (x0))),-2604.653002560925
0,21,(((0.8476004516267479) - (-1.6456003261393481)) / ((-0.28430859009444764) / (x0))) * (x0),-4328.23971219754
0,22,(abs(x0)**((0.9424711039703852) + (x0))) / ((-0.11541408429286691) - (x0)),-1839.6388503311118
0,23,abs((x0) * ((x0) / (-0.00849802370389352)))**(abs(-0.0027758687284375905)**(x0)),-2867.376464630249
0,24,abs(abs(x0)**(0.8726984359552967))**((0.9961210668609539) * (abs(x0)**(0.25530433194681906))),-684.6195332660262
0,25,((0.00532712841020154) - (x0)) + ((0.7442575688721476) - (x0)),-3259.164727203546
0,26,(((0.15137051959186004) + (-0.5000826243127805)) - (x0)) * (abs(x0)**(x0)),-2282.457063433276
0,27,(abs(x0)**(x0)) * ((x0) - ((x0) * (-2.688818408569132))),-3033.311936667825
0,28,((0.012529818127407355) / ((-1.1070315301121838) * (x0))) + ((x0) * (-0.762436891306297)),-2377.4208306612236
0,29,((x0) - (0.8361009334558448)) - (((x0) * (0.8084128531718593)) * (0.3850206312116103)),-2768.7199957130742
0,30,((x0) / (x0)) - (abs((0.9907481341029608) / (x0))**(-1.2664068032046913)),-2497.6150742274167
0,31,((x0) * ((x0) * (0.41536668009053))) + ((-0.3052916336558498) / (-0.6993519991045992)),-1105.9195617362448
0,32,abs(abs((-51.099113522514514) / (48.043366568085915))**(x0))**((x0) + (x0)),-16327.206591584523
0,33,((abs(x0)**(x0)) + (abs(x0)**(x0))) * (-0.43948955319344973),-3535.0660440551796
0,34,(((x0) * (x0)) / (x0)) + ((x0) + (0.14706772332445925)),435.7112442837912
0,35,(((x0) + (0.6018130771305432)) + (-0.08594008388798847)) - ((0.017766064597768385) / (x0)),158.00269151199228
0,36,(((1.029750048826066) * (-1.0635146762528391)) * ((0.7273434296327176) - (x0))) / (-1.1412207955161802),-2293.195852295863
0,37,(((-0.7429879420481169) + (-0.9845942963752163)) * (abs(-0.10173640996897847)**(x0))) + (1.792308013852003),-939.0548815929371
0,38,(((x0) + (-0.4770345063138399)) + (abs(x0)**(0.8194528520767904))) + (-0.16947865670084153),-1625.4935841750753
0,39,((abs(0.4541572025439556)**(x0)) * ((x0) / (-0.08542479741049992))) + (0.6940961078800685),-4887.570230526063
0,40,abs((0.5162807135156259) + (0.1600218629165168))**((x0) / (x0)),-2683.726609136441
0,41,(((-1.0049559899639904) + (-0.4122005039266834)) / ((x0) - (-0.7631601346221459))) - (-0.6912386844464856),-3742.2962466840963
0,42,abs((abs(x0)**(-0.001482424732488153)) * ((x0) * (2.441418755964921)))**(0.6729245787685917),877.2483313247578
0,43,((abs(0.2350710284445388)**(0.7586527253638219)) * ((-0.65559366619063) - (x0))) - (x0),581.6784126037621
0,44,((abs(0.8318970064842363)**(-0.4492145134346288)) - ((x0) * (x0))) / (x0),-5051.35487646301
0,45,(abs(-0.6059295697907402)**(x0)) - ((x0) + (x0)),-2153.5089842845855
0,46,((x0) * (x0)) - (abs((-0.433639895859346) * (-0.2155818149629567))**(x0)),-2729.0369145069258
0,47,((x0) / (x0)) / ((x0) + ((x0) + (-0.33293835906863567))),-5194.214304798199
0,48,abs((x0) / (x0))**(((-0.7529705179256814) * (x0)) / (-0.07285688819665381)),-2629.7466588556367
0,49,abs(((-0.5000596524607888) * (-0.4711626708380206)) + (x0))**((x0) / (x0)),150.56063141085713
0,50,(abs((-0.19977355750770528) * ((-0.832461593831215) * (x0)))**(x0)) - (x0),-2592.9529745920727
0,51,((x0) / (2.348692135958565)) + ((-0.378746581809856) - (x0)),-651.238814843696
0,52,((-0.28269506944286465) / (1.066380595704233)) / ((x0) + ((x0) - (x0))),-4969.918738569098
0,53,(((-0.5107028014118196) / (x0)) - (-0.3249209798042865)) / ((-0.8964118825192806) - (0.8900699216685766)),-4978.10744305589
0,54,((-1.0200221059135042) - ((-0.16498403200351727) / (0.7037821894821934))) - ((x0) - (0.5193525284483002)),-131.21796860140051
0,55,(((x0) / (abs(x0)**(0.18922538841480885))) / (0.6756199441444821)) + (0.1804669428903546),704.634257322022
0,56,abs((x0) + ((abs(x0)**(x0)) / (0.42173302031000537)))**(0.08005752259939569),-2422.397828728609
0,57,abs((-0.86831580255925) / (((-0.5340031975031055) / (x0)) + (x0)))**(0.2143368288564353),-2713.3864414615414
0,58,((0.7918417088752254) / (-0.8198124815141006)) + (abs(x0)**(abs(0.5908723616495255)**(x0))),-5208.5966624001585
0,59,((x0) / (-0.45323440206564064)) + (abs(-1.1060857979316094)**(-0.3800387009206904)),-2181.580294767423
0,60,((x0) / (-0.7025863131513791)) / ((-0.5191795376576024) / (-0.9825091022786494)),-1004.9259142028754
0,61,((x0) * (x0)) * ((abs(x0)**(x0)) + (2.3152385187415256)),-5715.360940807929
0,62,(abs(x0)**(abs(abs(0.5069519268761256)**(x0))**(x0))) / (-0.28913861947052066),-876.2050383240911
0,63,((1.0151615197732229) / (x0)) * ((-0.7082913947322024) - (-0.9708671670011991)),-4969.834696069203
0,64,((-0.14802594149843193) / (x0)) / ((-0.809886824989955) * (-0.6747063170343078)),-4970.053759675584
0,65,abs(((0.5473200442890596) * (x0)) + ((-0.41274480191167234) + (-0.5637302082839957)))**(0.626373197656513),-2643.9643128249736
0,66,abs((-2.215618858982871) * (x0))**((-0.7829596051746739) * ((0.3070093940501875) + (-1.2437598957551914))),472.11882616206356
0,67,abs((x0) + ((x0) + ((x0) - (x0))))**(0.6334141902259108),622.9729138177936
0,68,((abs(x0)**((x0) / (x0))) + (x0)) + (x0),-916.4734880542339
0,69,abs((x0) + (0.30398848193277095))**(abs(-0.7483799355279386)**(x0)),-1735.4319551412605
0,70,(abs(0.13439876552549432)**(0.8318666117388335)) - ((x0) / (-0.6498259478007989)),648.1077461796107
0,71,((abs(abs(x0)**(-0.4510878766147218))**(1.3637718092149214)) - (x0)) * (x0),-1728.01920743683
0,72,((x0) + (((x0) / (-0.7602393023285391)) - (x0))) + (0.6741116082058232),-2076.337390677243
0,73,abs(((x0) + (abs(0.9164791661407153)**(x0))) * (0.37530099579567183))**(x0),-2706.2127241772832
0,74,((0.49164685405712333) * (((-0.5390129866057145) / (x0)) + (0.7723749910568508))) - (-0.3521920011736595),-4328.8055354765875
