generation,individual_index,expression,fitness,nodes
0,0,1/(1/((x0) / (0.3664444773922073))),-891.9733306767014,5
0,1,((x0) + (1/(x0))) / (((x0) + (x0)) / (x0)),-4567.068532329947,10
0,2,abs(((x0) - (-0.7638451400264168)) * (abs(0.6228555762935851)**(1.794350546849892)))**(x0),-2767.2058686197624,9
0,3,(abs((-0.3404596507942582) + (-0.865442119023575))**(1/(-1.9799192749050898))) - (1/(x0)),-5187.331881511418,9
0,4,((x0) / (x0)) / (1/((x0) + (x0))),-1188.8539803037975,8
0,5,1/((1/(x0)) - (0.0668355505692681)),-3123.914713050638,5
0,6,((-0.21275292461147988) * ((x0) - (1.062120113361855))) * (1/(x0)),-7762.778591427256,8
0,7,1/(1/((0.00860898658299867) + (-0.7914437874078355))),-2745.1525652165865,5
0,8,(1/(abs(x0)**(-0.343757329532029))) - (1/(7.742232195274389)),-1467.8230192864526,7
0,9,((x0) / (abs(-1.1939833003799625)**(x0))) * ((0.4727674266268108) - (1/(-0.3466300802531259))),-596.1245402684577,10
0,10,((-0.46319740098967904) - (1.1959781576024366)) / (abs(1/(x0))**((x0) + (0.5161699395719471))),-1909.3772395999247,10
0,11,(abs((x0) * (x0))**(x0)) / ((x0) + (x0)),-5418.927921017326,9
0,12,(abs(0.0068747757722180175)**(x0)) - (1/((x0) / (0.21760311485187808))),-4919.877067676861,8
0,13,((0.461091546131251) + (abs(-0.019818428092631783)**(0.9634364883140246))) + (1/(1/(0.44074413250835176))),-3030.2948978161644,9
0,14,((1/(x0)) - (x0)) - (((-0.8417731742938668) + (-1.0444480755094272)) / (x0)),-5700.169039612507,10
0,15,(abs(x0)**((0.32673134979387747) + (0.3106894390593633))) * ((0.3546251773747012) * (-4.9333506525725115)),794.9987056124932,9
0,16,1/((-1.5506876247770551) - ((-0.21343429918508408) * (x0))),-2305.869860352855,6
0,17,1/((x0) + (x0)),-5058.87565352936,4
0,18,1/(abs((0.49407962870513195) - (-0.3107043300923517))**(1/(-1.344791944482705))),-2861.6933482084714,7
0,19,(((0.4843960758960518) + (x0)) + (-0.295229657053149)) - ((-0.5202329195691859) / (1/(x0))),646.4250505588318,10
0,20,1/(abs((-0.05397946136806592) - (x0))**(x0)),-4637.2489687442485,6
0,21,(1/(0.5431863414700435)) - (abs((x0) / (x0))**((-0.3000513507123077) * (x0))),-2607.5444561962236,10
0,22,((x0) + (0.21984099258955983)) - ((x0) / (-3.842080907374355)),219.3664103444732,7
0,23,(abs((x0) / (4.372513290588743))**(x0)) / ((-0.13543825315625158) / (x0)),-589.2607898884485,9
0,24,((x0) / ((x0) / (-3.855875378033711))) / ((1/(x0)) * (1.4596886341033322)),-896.5406827260414,10
0,25,(((x0) * (-3.7991787699110304)) * (x0)) / (1/(3.6510167661451387)),-5169.988651171725,8
0,26,((abs(-5.147859612295856)**(0.876913887348142)) + ((0.14029894429062498) / (x0))) + (-5.881892262120994),-3239.060391885702,9
0,27,abs((x0) - (abs(-0.7202597060846406)**(x0)))**(1/(x0)),-3208.440298829804,8
0,28,((-0.4846843919607128) - ((0.3460407855444386) * (0.6247865716929877))) / ((0.2586723063201343) / (x0)),-1143.0412157749565,9
0,29,1/((x0) * (1.2393368334595065)),-5177.940313575943,4
0,30,(1/((x0) * (x0))) + ((-11.19762573349073) - (abs(13.654695326218297)**(-0.8291772230807837))),-6739.60095034655,10
0,31,(1/(x0)) - ((0.9800824851971808) / (1/(-1.111785453572924))),-5021.763020520432,7
0,32,(abs(0.0958788486742102)**(-0.07954804607842506)) / ((x0) + (1.957600582218847)),-5710.8007953145025,7
0,33,(((-0.4588016879977559) - (0.25488612657716964)) / (abs(x0)**(x0))) * (-0.9161852395786),-4885.345094065679,9
0,34,((x0) * (x0)) * ((x0) - ((-2.14016774762743) - (-3.4359212328680173))),-6979.548843743368,9
0,35,(1/(abs(-1.6435733631349663)**(x0))) + ((0.9146472990597504) * (x0)),-1901.1931065111219,8
0,36,(abs(0.8586585131790477)**((x0) + (x0))) - (1/(-1.2794434423184564)),-3277.5156790018427,8
0,37,((-0.16082416518154782) + ((-1.9229552516101331) * (x0))) / ((1/(x0)) * (x0)),461.3640306307403,10
0,38,(1/(x0)) * ((0.06612723660296917) / (x0)),-6580.418528268351,6
0,39,(1/((1.443344485855453) / (1.1078729518274644))) - ((x0) + (abs(-1.1480870000688441)**(x0))),43.55278170971312,10
0,40,1/(((1.5586731174452861) * (4.868392843648847)) / (1/(-0.1791684110556619))),-2626.5849757288397,7
0,41,((x0) + ((0.14221310084982433) + (x0))) * ((x0) + (-1.2183671886432064)),-1854.2923077770974,9
0,42,((-0.1429695959840429) * (-0.12449123796603717)) - ((-0.782895871899195) + (-0.04897843641069027)),-2613.0702771716587,7
0,43,1/((-1.3923138431362672) * (-0.8449129306025644)),-2604.653230709839,4
0,44,(((x0) / (x0)) / (abs(x0)**(x0))) / (x0),-6642.276823561145,9
0,45,(((x0) * (x0)) * (abs(x0)**(-0.8183838054874641))) + (0.9647075704339436),-1894.4482926563767,9
0,46,((x0) / (x0)) - ((x0) * (x0)),-2941.2804949729366,7
0,47,((abs(x0)**(x0)) + (3.01749814566174)) + (1/((x0) / (-0.2778144531894446))),-5058.124918990037,10
0,48,abs((x0) / ((x0) / (x0)))**((-0.8573391144286086) / (-1.2529210566299618)),-1860.9224470201673,9
0,49,(1/((x0) + (0.8319210203191127))) + ((-0.7637617510193213) + (x0)),-1089.9960639706242,8
0,50,((x0) + ((1/(x0)) / (-1.5002569694267684))) * ((-0.6555696608941243) * (x0)),-2159.6292006996055,10
0,51,((x0) + (((-0.43381380341526005) - (-0.6911659070659248)) - (x0))) + (x0),242.85390501310982,9
0,52,abs((x0) - (abs((x0) * (x0))**(0.002058628849602496)))**(x0),-3629.853782006274,9
0,53,(1/(x0)) + ((-0.11625434585961678) - (-1.164269881851044)),-5021.877765467612,6
0,54,((abs(x0)**(0.6673144975723431)) * (-0.30331400307531703)) / ((0.161842966785008) + (0.00603839211648648)),829.4862441184396,9
0,55,((-0.8092664248051858) + (-0.7987477771117963)) * ((-0.4791166707746617) * (1.1574412003083037)),-2661.7023023530646,7
0,56,abs(1/((-0.748482256327799) / ((x0) / (-0.5598043830630159))))**((-0.07160697918046292) - (-0.728336700903569)),592.4640154226239,10
0,57,1/((((-0.7031845094915332) / (x0)) + (0.3401658960822336)) - (0.33876303564342386)),-2106.0740549192715,8
0,58,(1/((-0.6950984643932389) + (x0))) + (((x0) - (x0)) + (0.31726754498852994)),-3570.5757896987616,10
0,59,((x0) + (x0)) * (1/(x0)),-3167.5006822134574,6
0,60,((x0) / (-0.658317275758739)) + ((0.2682184193378592) / (-1.4448716759049722)),640.3813217349683,7
0,61,((x0) * (-0.5755851425711052)) * (1/(-0.20386589941653205)),-899.6928534427916,6
0,62,(1/(x0)) / (1/((x0) / (1.863020970228307))),-2851.187210681188,7
0,63,1/(abs(-0.7982344027580408)**(x0)),-2056.750019096038,4
0,64,1/(1/(0.847343963457442)),-2814.100234525796,3
0,65,((-0.4620688760815266) * ((x0) + ((0.7600000936619687) * (x0)))) - (1/(x0)),-4883.050262263057,10
0,66,(1/((x0) / (x0))) - (abs(abs(x0)**(-0.9882612099559689))**(-1.3558363843153212)),-2400.3758308313277,10
0,67,((-0.5302465588499955) + (x0)) - (abs(-0.4574690266088093)**(1.3844480481667414)),-2411.4684065197616,7
0,68,((1/(0.9350442117358333)) - (0.7382564752459567)) / (1/(1/(abs(1.3660396953997433)**(-2.7883622952275844)))),-3005.925792161517,10
0,69,1/(abs(0.7518031051760511)**(x0)),-2269.736886508247,4
0,70,((-0.49356676815948286) + ((x0) * (x0))) - ((x0) - (x0)),-2549.5547999683477,9
0,71,1/(1/(-0.8494311860050491)),-2608.7411946872076,3
0,72,((0.47780501135325165) + (1/((0.4987507194310191) / (x0)))) + (-0.9287682527795252),-1895.8959009888604,8
0,73,1/(abs(((-0.8200995731076669) * (x0)) + (x0))**(x0)),-3385.2888931135244,8
0,74,abs(1/(-3.442922732175065))**(((x0) / (-16.71884567639794)) / (-10.402211894539224)),-3366.0484681124317,8
0,75,((x0) * ((abs(1.2879933386211855)**(-7.985704728844188)) - (x0))) + (-0.4790604901788981),-1943.7912242909877,9
0,76,((abs(0.5754796726372667)**(-0.5572020352708795)) / ((1/(x0)) * (-0.6208856499555679))) + (0.40508964392490715),-1521.1213661638546,10
0,77,1/((1/(x0)) + (1/(x0))),-3750.6943280903774,6
0,78,((x0) - (abs(0.3679219528900495)**(0.025352788735477937))) * ((x0) + (-0.3648923925485353)),-4016.519770240642,9
0,79,(1/((0.21880015864146643) + ((-2.553278441485432) / (-1.6710437337417798)))) - (x0),-2441.860673936143,8
0,80,1/(((x0) - (0.7868437828751031)) + (x0)),-4550.345870567866,6
0,81,((x0) / (0.6443664397424406)) - (1/(1/((x0) / (x0)))),-2617.8722656060672,9
0,82,(1/(x0)) + ((-0.7282691902411665) / (x0)),-4970.86082648379,6
0,83,abs(((-0.8532564525385147) - ((0.6818648159413223) / (0.6128953763988163))) + (x0))**(x0),-3700.526437018466,9
0,84,(1/(abs(x0)**((-6.091387555394413) / (2.9565181476940383)))) / (x0),-5480.342939318898,8
0,85,abs((1/(x0)) * (0.4053899935965922))**((-0.2209973624689619) - (0.44874379048966)),903.046008311651,8
0,86,((x0) / (x0)) / (abs(1/((x0) + (x0)))**(0.641468523073852)),697.9132339840876,10
0,87,((x0) * (((x0) * (x0)) * (1/(x0)))) + (x0),-2820.3823622602163,10
0,88,1/(1/(abs(x0)**((0.3518817942378974) + (x0)))),-1935.1278852081068,7
0,89,1/((1.4061687430714958) * (x0)),-5128.8159479311325,4
0,90,(1/(x0)) / (1/(x0)),-2629.9965725782513,5
0,91,((1/(x0)) + (x0)) + ((x0) * (-0.12382267740539908)),-4882.224459386541,8
0,92,1/((-0.08425024332785017) + (1.4283495448246448)),-3356.3173712793323,4
0,93,(((x0) + (1.3830757277761427)) - ((x0) / (x0))) * (0.7400543132280886),-529.7087646368545,9
0,94,1/(1/((x0) - (0.9309661207995794))),-2434.8263786155076,5
0,95,abs(abs(-1.104100211086676)**((-1.87446870796596) / ((1.7595781531075174) + (0.3147104880232436))))**(1.3849457045590787),-2608.617452996773,9
0,96,(((x0) - (x0)) / (0.749661239325276)) - ((x0) - (-0.25814419823749335)),244.0221196854118,9
0,97,1/(1/((abs(x0)**(0.7353122400835755)) * (2.0083069758209766))),701.7446947135553,7
0,98,1/(((abs(x0)**(x0)) / ((-0.0808758054753029) - (x0))) / (-1.626694717928402)),-2068.4361037268964,10
0,99,1/((1/(1/(x0))) / ((1.049434028884217) * ((x0) - (0.016580702697840666)))),-2537.7748507841407,10
1,0,((abs(x0)**(0.9223576150077598)) * (-6.282942133991209)) / ((x0) + (1.9556663989324963)),-342.5019965601871,9
1,1,(1/(x0)) / (-1.401991770448772),-5127.864265024198,4
1,2,((x0) * ((abs(1.5363721616641453)**(-12.722708932162385)) - (x0))) + (-0.3694533608968609),-1401.068559352192,9
1,3,(1/((x0) + (8.222960708334112))) + ((x0) + (abs(0.007080420349933752)**(x0))),-1759.9310418262914,10
1,4,abs((1/(x0)) * (0.4053899935965922))**((-0.2209973624689619) - (0.44874379048966)),903.046008311651,8
1,5,1/(abs(x0)**(-0.5001149415535049)),-752.3662688441016,4
1,6,1/(((abs(x0)**(x0)) / ((-0.06602530961429612) - (x0))) / (-1.7703418840498848)),-1673.444662303501,10
1,7,((x0) * (x0)) * (abs(x0)**(-1.2237816987307117)),-1653.6555462990002,7
1,8,(abs(x0)**((0.2437423433649699) + (0.4833535927241077))) * ((0.33207480522004607) * (-6.6165768343248)),-166.05277752741827,9
1,9,(((0.4088224269129801) + (0.1437976467172994)) + (-0.37080330603637)) - ((-1.590210880163994) / (1/(x0))),400.05159743019664,10
1,10,((0.9676600110650598) - (x0)) / (1/(0.7433587960924588)),-2462.7785636861654,6
1,11,((0.18307896807564317) - (x0)) - ((2.168784719373548) / (-3.405488699576882)),-2399.4887354927273,7
1,12,((x0) / (-0.670375152608648)) + ((0.3823359565125437) + (-0.5819978263072609)),331.26270665839616,7
1,13,(x0) / (x0),-2629.746658856628,3
1,14,(1/(abs(x0)**((x0) + (-1.4153063853231826)))) - (1/(-1.8391946814663187)),-2438.3564964213365,9
1,15,(x0) / (-0.3674271743753077),-1121.6566608160801,3
1,16,((x0) / (abs(1.1855713834772117)**(x0))) * ((0.5772302086673085) - (1/(-0.3868995490602855))),-887.7044703762725,10
