dummy,evals,expr,fitness,len
0,73,((1.1021855 - (-0.26401132)) + (log_v_k_nu + (-1.1899424))),-0.6314543,7
0,51,(1 / ((abs((-0.82475388)) ^ (-0.30043086)) - (1 / 1.9857512))),-0.06317944,7
0,79,((1 / (log_v_k_nu / 0.21308777)) * ((1 / 1.1047072) / (-0.75929958))),-3.4028235e+38,9
0,74,((1 / (1 / 0.41037768)) / (abs(log_v_k_nu) ^ log_v_k_nu)),-2.535926,7
0,81,(((1 / log_v_k_nu) / ((-0.67519975) * (-1.2106236))) - (0.08694081 + log_v_k_nu)),-3.4028235e+38,10
0,54,(abs((abs(log_v_k_nu) ^ log_v_k_nu)) ^ 0.22959788),-0.46067065,5
0,64,(1 / ((1 / (-0.0061881007)) * (0.99663901 - log_v_k_nu))),-3.2735248,7
0,85,((1 / log_v_k_nu) + (1.5272658 * log_v_k_nu)),-3.4028235e+38,6
0,80,(1 / (-1953.4375)),-3.298542,2
0,86,(1 / ((1 / log_v_k_nu) - (abs(log_v_k_nu) ^ 0.70297742))),-1134.7865,7
0,27,((1 / ((-0.9290151) + 0.93543136)) / (84.873322 + log_v_k_nu)),-0.06413904,8
0,87,(((log_v_k_nu / 0.34902239) + (1 / log_v_k_nu)) - ((-0.51436526) / (-0.31783763))),-3.4028235e+38,10
0,72,((1 / 0.56796736) / (abs(0.98710638) ^ log_v_k_nu)),-0.06282341,6
0,89,((1 / log_v_k_nu) + (-0.48723271)),-3.4028235e+38,4
0,69,((abs((-1.0242591)) ^ (-0.68268645)) - (1 / (-1.2268591))),-0.06317976,6
0,92,(1 / log_v_k_nu),-3.4028235e+38,2
0,77,(abs((0.065976106 / 0.15106733)) ^ (1 / (-1.4118143))),-0.06317933,6
0,94,(1 / ((1 / (1 / (-0.18818627))) / (log_v_k_nu + log_v_k_nu))),-430.38553,8
0,90,(170.12927 + (-168.33101)),-0.063179314,3
0,91,(1 / 0.55611181),-0.06317927,2
0,88,((-426.32755) / (-237.0858)),-0.06317927,3
0,98,(1 / ((1 / (log_v_k_nu * log_v_k_nu)) / ((1 / (-0.48399961)) * (-0.88201731)))),-39.335358,10
0,96,((abs(log_v_k_nu) ^ 0.55470592) / log_v_k_nu),-3.4028235e+38,5
0,84,((abs((1 / 0.08599817)) ^ (-0.3219437)) * (log_v_k_nu + log_v_k_nu)),-0.63508445,8
0,93,(abs((1 / (abs((-0.82648867)) ^ 1.3247868))) ^ (1 / log_v_k_nu)),-3.4028235e+38,7
0,97,(1 / (0.044485472 - log_v_k_nu)),-16.580002,4
0,100,((1 / (1 / 1.4953386)) / (1 / (1 / 0.83157545))),-0.06317927,7
0,83,(1 / (((abs((-1.2979666)) ^ 1.2634231) + 0.078965008) * (1 / 2.6420343))),-0.06317926,9
0,82,(((-3.7156439) * (-0.76704067)) - (1 / 0.95070547)),-0.06317927,6
0,76,((log_v_k_nu + 51.69474) / (1 / 0.033678975)),-0.06283692,6
0,99,((1 / ((-3.3702846) * 3.1889925)) * (((-68.494965) - log_v_k_nu) / 3.627727)),-0.06279031,10
0,78,(1 / ((1 / (60.691582 + log_v_k_nu)) * (abs((-3.1021616)) ^ 3.1331682))),-0.06280581,9
0,95,(((log_v_k_nu - 1.943946) + (3.5173352 / (-0.0018047059))) / (1 / (-0.00092246127))),-0.06320798,10
0,37,(((1 / 7.4860935) / (-1.2023997)) - (abs(0.01173361) ^ 2.4687011)),-3.7086513,8
0,101,(1 / (1 / 1.7981995)),-0.06317927,3
0,102,(log_v_k_nu * 0.90783048),-0.63508445,3
0,104,(log_v_k_nu - (-0.40775105)),-0.6850449,3
0,106,(1 / log_v_k_nu),-3.4028235e+38,2
0,103,(1 / (1 / 1.7981995)),-0.06317927,3
0,112,(1 / (log_v_k_nu * log_v_k_nu)),-3.4028235e+38,4
0,117,log_v_k_nu,-0.66251993,1
0,110,(log_v_k_nu - (-0.40775105)),-0.6850449,3
0,113,((1 / log_v_k_nu) / 0.55189604),-3.4028235e+38,4
0,111,(log_v_k_nu * 0.65861851),-0.8356578,3
0,118,((log_v_k_nu * (-0.33321747)) / ((log_v_k_nu * log_v_k_nu) / (1 / log_v_k_nu))),-3.4028235e+38,10
0,116,((log_v_k_nu + 51.69474) / (1 / 0.033678975)),-0.06283692,6
0,122,1.7981995,-0.06317927,1
0,121,(log_v_k_nu - (-0.40775105)),-0.6850449,3
0,114,(1 / ((1 / (-0.0061881007)) * (abs(log_v_k_nu) ^ 0.49051151))),-3.4028235e+38,7
0,123,(((1 / log_v_k_nu) - log_v_k_nu) + (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,8
0,124,(1 / 0.55611175),-0.0631793,2
0,125,(((1 / log_v_k_nu) + (1.5272658 * log_v_k_nu)) + (-0.48723271)),-3.4028235e+38,8
0,127,1.7724539,-0.063842125,1
0,108,(1 / (60.691582 + log_v_k_nu)),-3.2392433,4
0,131,((1 / (1 / 1.4953386)) / (1 / ((1 / log_v_k_nu) + 1.4748533))),-3.4028235e+38,9
0,105,(abs((1 / 0.34069008)) ^ 0.54529715),-0.063179776,4
0,132,(1 / (1 / 1.7981997)),-0.0631793,3
0,109,(abs((1 / 0.34069008)) ^ 0.54529715),-0.063179776,4
0,133,((1 / log_v_k_nu) + 1.7724539),-3.4028235e+38,4
0,120,(1 / (-1995.1599)),-3.2985022,2
0,135,(abs((log_v_k_nu / 0.46844706)) ^ log_v_k_nu),-15075.36,5
0,134,(1 / 0.55610752),-0.06317931,2
0,137,((log_v_k_nu * 0.025488807) - (1 / (-0.5691762))),-0.062790275,6
0,130,((1 / 0.55610609) - (abs(8.3963604) ^ (-8.5461178))),-0.063179314,6
0,126,((1 / 3.1232343) * 5.6161966),-0.0631793,4
0,129,(1 / ((-39.182453) / ((-68.833267) - log_v_k_nu))),-0.06279029,6
0,138,(1 / ((1 / (68.926949 + log_v_k_nu)) * (1 / 0.025488973))),-0.062790275,8
0,143,(1 / log_v_k_nu),-3.4028235e+38,2
0,144,log_v_k_nu,-0.66251993,1
0,146,(1 / log_v_k_nu),-3.4028235e+38,2
0,148,(log_v_k_nu - log_v_k_nu),-3.2967005,3
0,149,(log_v_k_nu + log_v_k_nu),-4.4873505,3
0,145,(((1 / log_v_k_nu) * 0.89163792) * 0.89163792),-3.4028235e+38,6
0,140,((0.39298072 * 4.9174528) - (1 / 7.4479785)),-0.06317927,6
0,151,((log_v_k_nu * (-0.33321747)) / (1 / log_v_k_nu)),-9.039112,6
0,150,(log_v_k_nu + 0.17625459),-0.6314542,3
0,153,log_v_k_nu,-0.66251993,1
0,147,(1 / 0.55610752),-0.06317931,2
0,107,((abs((0.20728692 + (-0.20675373))) ^ (log_v_k_nu + log_v_k_nu)) + (1 / 0.54331571)),-0.09268505,10
0,154,((((-0.16844253) / log_v_k_nu) * (1 / (-0.15245208))) + (0.26903802 / 0.51731724)),-3.4028235e+38,10
0,157,(abs(log_v_k_nu) ^ log_v_k_nu),-103.16772,3
0,156,(1 / (-2020.5184)),-3.2984812,2
0,158,(abs(log_v_k_nu) ^ (-0.058945213)),-3.4028235e+38,3
0,159,(abs((log_v_k_nu / log_v_k_nu)) ^ (1 / (-1.4118143))),-3.4028235e+38,6
0,155,((1 / 0.39766669) - (1 / 1.3957334)),-0.06317927,5
0,152,(((1 / 7.4860935) / (-1.2023997)) - (1 / (-1553.8455))),-3.7061293,7
0,141,(1 / (abs((abs(log_v_k_nu) ^ log_v_k_nu)) ^ (-0.22979067))),-0.4606711,6
0,162,1.7982025,-0.0631793,1
0,163,(1 / 0.55610609),-0.063179314,2
0,165,(1 / log_v_k_nu),-3.4028235e+38,2
