dummy,evals,expr,fitness,length
0,1,1 / ((-1638.4844)),-3.298897,2
0,2,((((-0.50294155) * log_v_k_nu) + ((-2.0271964) * log_v_k_nu)) - 1 / ((0.55949861 * log_v_k_nu))),-3.4028235e+38,6
0,3,(1 / ((-0.87042737)) / 1 / ((1.0738928 * log_v_k_nu))),-15.446829,5
0,4,(1.7568581 - ((-0.025488615) * log_v_k_nu)),-0.06279026,3
0,5,(80.369873 - 78.57164),-0.0631793,3
0,6,(((0.1275539 * log_v_k_nu) * ((-0.92937458) * log_v_k_nu)) * (-0.48302704)),-2.6937995,5
0,7,(((0.01910761 * log_v_k_nu) + 1.3170211) * 1 / (0.74964583)),-0.062790275,6
0,8,(abs((((-2.8513143) * log_v_k_nu) * 0.50676429)) ^ 1 / ((0.97238129 * log_v_k_nu))),-0.2662139,6
0,9,(abs((-1.6288807)) ^ (0.55162579 * log_v_k_nu)),-0.21662095,3
0,10,(1 / ((0.78769767 * log_v_k_nu)) / (0.36328429 * log_v_k_nu)),-3.4028235e+38,4
0,11,(1 / (2.1103976) - (-1.3243549)),-0.06317929,4
0,12,1 / ((1 / (0.19403107) - 4.597703)),-0.063179284,5
0,13,((abs((0.3305214 * log_v_k_nu)) ^ (0.3567462 * log_v_k_nu)) - 1 / (0.47521713)),-9.994363,6
0,14,1 / ((((-1.5657399) * log_v_k_nu) * 0.9378776)),-3.4028235e+38,4
0,15,((-2.6843524) / (-1.4928)),-0.06317927,3
0,16,(1 / (((-0.13640365) * log_v_k_nu)) / ((-0.65482289) * log_v_k_nu)),-3.4028235e+38,4
0,17,1 / ((-1.9339266)),-5.4237113,2
0,18,1 / ((-1845.7163)),-3.2986495,2
0,19,(((-1.463237) / 0.32676166) / 1 / ((-0.40156361))),-0.06317933,6
0,20,(1 / (0.97623652) + 0.77469617),-0.06318002,4
0,21,1 / ((abs(((-1.2696022) / (1.4201279 * log_v_k_nu))) ^ (-0.12357861))),-3.4028235e+38,6
0,22,(abs((1.6043285 / (1.0607666 * log_v_k_nu))) ^ 1 / (0.058560181)),-3.4028235e+38,6
0,23,((0.68551046 - ((-0.51799679) * log_v_k_nu)) - 1 / (((-0.53085512) * log_v_k_nu))),-3.4028235e+38,6
0,24,(abs(1 / (1.5259864)) ^ ((-1.3383406) + ((-0.030781481) * log_v_k_nu))),-0.06282341,6
0,25,1 / (0.55611145),-0.06317934,2
0,26,1 / (1 / (((-0.36346504) * log_v_k_nu))),-5.8545847,3
0,27,1 / (1 / (((-0.82083637) * log_v_k_nu))),-10.285778,3
0,28,(abs((((-0.93012822) * log_v_k_nu) - ((-0.53213298) * log_v_k_nu))) ^ 1 / ((0.046705678 * log_v_k_nu))),-3.2007904,6
0,29,(1 / (1.0982311) * ((-0.43663827) * log_v_k_nu)),-6.1385,4
0,30,1 / ((0.4617725 * 1.204296)),-0.06317928,4
0,31,1 / ((1 / (0.6548115) * (0.77153438 * log_v_k_nu))),-3.4028235e+38,5
0,32,(1 / ((0.42627919 * log_v_k_nu)) * 0.81263793),-3.4028235e+38,4
0,33,((3.1382232 + (0.045529991 * log_v_k_nu)) * 0.55982566),-0.062790275,5
0,34,1 / ((-2110.1091)),-3.2984047,2
0,35,(abs((abs(0.021054229) ^ (-1.1092935))) ^ 1 / ((-0.12615706))),-3.2967005,6
0,36,(((-0.85899395) - ((-0.46960106) * log_v_k_nu)) * ((-0.18739048) * log_v_k_nu)),-3.3792546,5
0,37,(((0.20663932 * log_v_k_nu) * (1.7054088 * log_v_k_nu)) / (-0.016245604)),-8332.037,5
