dummy,evals,expr,fitness,length
0,1,(1 / (((-1.9017829) * log_v_k_nu)) * (-1.1755677)),-3.4028235e+38,4
0,2,(1 / (((-0.93800622) * log_v_k_nu)) - 1 / ((-0.54819512))),-3.4028235e+38,5
0,3,1 / (1 / (1.7981999)),-0.06317933,3
0,4,1 / ((1 / ((1.2095261 * log_v_k_nu)) - (-0.57320082))),-0.96617305,5
0,5,(1.4646523 * 1.2277321),-0.06317934,3
0,6,(((-3.1525095) / (-1.7944018)) - ((-0.025488747) * log_v_k_nu)),-0.06279028,5
0,7,(1 / (((-0.58663285) * log_v_k_nu)) / 1 / ((-0.6382913))),-3.4028235e+38,5
0,8,((((-0.25939339) * log_v_k_nu) - (1.3642154 * log_v_k_nu)) + 1 / ((0.070703074 * log_v_k_nu))),-3.4028235e+38,6
0,9,(abs(((-0.51219624) * (0.71046847 * log_v_k_nu))) ^ 1 / (1.7426486)),-1.2673019,6
0,10,(0.36255074 / (0.70786113 * log_v_k_nu)),-3.4028235e+38,3
0,11,((((-0.54325128) * log_v_k_nu) - ((-1.9312193) * log_v_k_nu)) * 1 / ((-1.0459347))),-16.764917,6
0,12,((((-0.98550302) * log_v_k_nu) + 1.4847676) * (1.8848809 * log_v_k_nu)),-18.205061,5
0,13,1 / (((((-0.51750392) * log_v_k_nu) / ((-0.52282786) * log_v_k_nu)) * 1.88304)),-3.4028235e+38,6
0,14,((((-0.2292126) * log_v_k_nu) - 1.3392066) * 1 / (((-1.1403497) * log_v_k_nu))),-3.4028235e+38,6
0,15,(1.7568579 - ((-0.02548945) * log_v_k_nu)),-0.062790275,3
0,16,(87.336517 - 85.538277),-0.06317928,3
0,17,((0.48262483 + (0.50669575 * log_v_k_nu)) / 1 / ((1.5153594 * log_v_k_nu))),-10.077005,6
0,18,(((0.025488835 * log_v_k_nu) - (-1.996205)) + 1 / ((-4.1780343))),-0.06279027,6
0,19,(1 / (((-0.84953481) * log_v_k_nu)) + (-0.67535853)),-3.4028235e+38,4
0,20,(abs((abs(0.16581015) ^ 0.26788881)) ^ ((-0.55931091) * log_v_k_nu)),-0.21662088,5
0,21,1 / ((0.20726103 * log_v_k_nu)),-3.4028235e+38,2
0,22,1 / (1 / ((1 / (((-0.28799158) * log_v_k_nu)) * ((-0.23571253) * log_v_k_nu)))),-3.4028235e+38,6
0,23,(1 / (0.56919473) - ((-0.02548879) * log_v_k_nu)),-0.062790275,4
0,24,1 / (0.55611181),-0.06317927,2
0,25,(1 / (((-0.20411906) * log_v_k_nu)) - (1.2228016 - (0.19409472 * log_v_k_nu))),-3.4028235e+38,6
0,26,1 / ((1 / (1.7631137) + ((-0.0067923288) * log_v_k_nu))),-0.062851116,5
0,27,1 / ((-1.9539444)),-5.399209,2
0,28,((abs((-0.17270699)) ^ (-2.5961962)) / 1 / ((0.71931678 * log_v_k_nu))),-14846.645,6
0,29,(1 / (((-0.7471146) * log_v_k_nu)) + ((-0.96898544) * log_v_k_nu)),-3.4028235e+38,4
0,30,(1 / ((-22.824984)) * (abs((-10.403902)) ^ ((-14.755732) * log_v_k_nu))),-3.2970252,6
0,31,(235.51851 + (-233.72025)),-0.063179314,3
0,32,1 / (((-1.3528836) * log_v_k_nu)),-3.4028235e+38,2
0,33,1 / (1 / (((-0.51984745) * log_v_k_nu))),-7.2176695,3
0,34,(abs((abs(((-1.2942947) * log_v_k_nu)) ^ 0.18041857)) ^ 1 / ((1.9236243 * log_v_k_nu))),-0.6686866,6
0,35,((1.374789 / ((-0.90357798) * log_v_k_nu)) * 1 / (2.1309342)),-3.4028235e+38,6
0,36,(((-0.013685818) - ((-0.025488883) * log_v_k_nu)) - (-1.7705441)),-0.06279028,5
0,37,((0.43156984 + (-1.3543782)) * (-1.946882)),-0.06318187,5
0,38,((abs(((-0.34304032) * log_v_k_nu)) ^ 0.96114373) / 1 / ((-0.81415802))),-5.223075,6
0,39,(abs((-0.61343032)) ^ (-1.2007358)),-0.06317927,3
0,40,1 / ((abs(1 / ((0.56407553 * log_v_k_nu))) ^ 0.38489759)),-0.83020157,5
0,41,(((-0.82252169) * ((-0.9242745) * log_v_k_nu)) * (0.54535884 * log_v_k_nu)),-1.4749994,5
0,42,(1 / (1.2994347) / ((-0.48212108) * log_v_k_nu)),-3.4028235e+38,4
0,43,1 / ((2.484107 * log_v_k_nu)),-3.4028235e+38,2
0,44,(1 / (((-0.022151867) * log_v_k_nu)) * ((-0.48321488) * log_v_k_nu)),-3.4028235e+38,4
0,45,((abs((-1.9958242)) ^ 1.6670221) * ((-0.23915824) * log_v_k_nu)),-9.584302,5
0,46,1 / (((-0.91162264) * log_v_k_nu)),-3.4028235e+38,2
0,47,1 / (0.55611181),-0.06317927,2
0,48,(((-0.37781748) + 1.6103759) + 1 / (1.7679056)),-0.06317927,6
0,49,(((-1.5055751) * (-0.68932354)) * 1 / (0.57717168)),-0.06317932,6
0,50,(((0.73795927 * log_v_k_nu) * ((-0.8859579) * log_v_k_nu)) / 1.5454153),-11.239922,5
0,51,1 / (1 / (1.7981993)),-0.06317929,3
0,52,((((-2.0595419) * log_v_k_nu) / 0.37770069) / (0.934398 * log_v_k_nu)),-3.4028235e+38,5
0,53,1 / (0.5561074),-0.063179284,2
0,54,1 / (((-0.0670816) * log_v_k_nu)),-3.4028235e+38,2
0,55,(1.756858 - ((-0.025488816) * log_v_k_nu)),-0.06279026,3
0,56,1 / ((-1526.4285)),-3.2990577,2
0,57,1 / ((0.34166768 * log_v_k_nu)),-3.4028235e+38,2
0,58,1 / (((-1.3016412) * log_v_k_nu)),-3.4028235e+38,2
0,59,(((1.2509862 * log_v_k_nu) / ((-0.32659593) * log_v_k_nu)) - 1 / ((-0.10679743))),-3.4028235e+38,6
0,60,(((0.034191102 * log_v_k_nu) - (-2.3566654)) * 1 / (1.3414091)),-0.062790275,6
0,61,((((-1.7705494) * log_v_k_nu) * (-0.04743192)) - (0.58475804 * log_v_k_nu)),-7.0429916,5
0,62,(1 / ((1.9664613 * log_v_k_nu)) + (1.9523059 * log_v_k_nu)),-3.4028235e+38,4
0,63,(((-1.1933448) * log_v_k_nu) - ((-2.1011755) * log_v_k_nu)),-0.6350844,3
0,64,1 / ((0.74824107 * log_v_k_nu)),-3.4028235e+38,2
0,65,1 / ((-2.1263721)),-5.2091966,2
0,66,1 / ((-1415.7869)),-3.2992399,2
0,67,(((0.025488913 * log_v_k_nu) - (-2.5393996)) + (-0.78254116)),-0.06279029,5
0,68,(1.7568581 + (0.025488704 * log_v_k_nu)),-0.06279027,3
0,69,(((-0.84346229) * (0.088539816 * log_v_k_nu)) * (0.69017935 * log_v_k_nu)),-3.9356804,5
0,70,1 / ((1.9388398 * log_v_k_nu)),-3.4028235e+38,2
0,71,(abs((((-0.51868349) * log_v_k_nu) / (-0.53654343))) ^ 0.59936589),-0.47369435,5
0,72,(((0.87979513 * log_v_k_nu) + (2.3621094 * log_v_k_nu)) / 1 / ((0.73122722 * log_v_k_nu))),-72.48959,6
0,73,1 / ((-1578.001)),-3.2989795,2
0,74,(abs((((-2.3099122) * log_v_k_nu) + (0.0090033617 * log_v_k_nu))) ^ 1 / ((0.20918319 * log_v_k_nu))),-1418.4227,6
0,75,((((-0.16282542) * log_v_k_nu) + (0.021597128 * log_v_k_nu)) + (1.0490588 * log_v_k_nu)),-0.6350844,5
0,76,(((2.4356239 * log_v_k_nu) / 0.49907276) + 1 / (1.6029497)),-59.62014,6
0,77,(abs((55.136894 + (-25.481956))) ^ 1 / (5.776546)),-0.06317931,6
0,78,1 / (1 / (((-0.52252197) * log_v_k_nu))),-7.2423553,3
0,79,((0.43844882 * ((-1.0083225) * log_v_k_nu)) / 1 / ((-0.79515088))),-1.6345038,6
0,80,(1 / (((-0.70381427) * log_v_k_nu)) - (0.13355322 * log_v_k_nu)),-3.4028235e+38,4
0,81,1 / (1 / (((-0.17739056) * log_v_k_nu))),-4.4384875,3
0,82,1 / ((-1641.7568)),-3.2988918,2
0,83,1 / ((abs(0.3187007) ^ (0.23542801 * log_v_k_nu))),-0.21662089,4
0,84,(abs(((-0.68626171) / ((-0.072579011) * log_v_k_nu))) ^ 1 / (0.54319465)),-3.4028235e+38,6
0,85,(abs((abs((-0.2086522)) ^ 0.027665611)) ^ 1 / (((-0.10529039) * log_v_k_nu))),-3.4028235e+38,6
0,86,(1.756858 - ((-0.025488794) * log_v_k_nu)),-0.06279026,3
0,87,(abs(1 / ((-0.18865973))) ^ (0.19028713 * log_v_k_nu)),-0.24782826,4
0,88,(abs(1 / (0.80299032)) ^ (1.2270429 * log_v_k_nu)),-0.21662088,4
0,89,1 / ((1.1592834 * log_v_k_nu)),-3.4028235e+38,2
