dummy,evals,expr,fitness,len
0,1,(1 / log_v_k_nu),-3.4028235e+38,2
0,3,((1 / (abs(log_v_k_nu) ^ log_v_k_nu)) - (abs((1 / log_v_k_nu)) ^ log_v_k_nu)),-3.2967005,9
0,2,(1 / 0.55611175),-0.0631793,2
0,6,(1.3405001 * 1.3414392),-0.06317927,3
0,10,((log_v_k_nu * log_v_k_nu) - ((-1.9116464) / log_v_k_nu)),-3.4028235e+38,7
0,9,((1 / (-3.5487094)) - (-2.0799923)),-0.06317927,4
0,11,((1.1361302 + log_v_k_nu) + (-0.72709846)),-0.6856395,5
0,12,(((log_v_k_nu - (-1.1061354)) * (1 / log_v_k_nu)) * (abs(1.201071) ^ (-0.76163125))),-3.4028235e+38,10
0,19,(1 / log_v_k_nu),-3.4028235e+38,2
0,13,(1 / (((log_v_k_nu / log_v_k_nu) / (-0.62772971)) - (0.072678536 / (-0.93234426)))),-3.4028235e+38,10
0,7,((abs((1 / log_v_k_nu)) ^ (log_v_k_nu * log_v_k_nu)) + (1 / (1 / 1.3457301))),-0.25672355,10
0,21,((log_v_k_nu / (-1.4751668)) * log_v_k_nu),-18.990469,5
0,23,(log_v_k_nu + log_v_k_nu),-4.4873505,3
0,20,((0.12162354 + 1.4263872) / (log_v_k_nu / (-1.1295445))),-3.4028235e+38,7
0,25,(log_v_k_nu - log_v_k_nu),-3.2967005,3
0,24,(1 / (abs((1 / log_v_k_nu)) ^ log_v_k_nu)),-103.16772,5
0,18,((0.96575838 + log_v_k_nu) + (-1.0645087)),-0.70708185,5
0,29,(1 / (1 / log_v_k_nu)),-0.66252,3
0,17,((((-1.3139551) + log_v_k_nu) * log_v_k_nu) + (log_v_k_nu - log_v_k_nu)),-3.377924,9
0,15,((abs((abs(0.38933817) ^ log_v_k_nu)) ^ (1 / log_v_k_nu)) * (log_v_k_nu * log_v_k_nu)),-1.4171288,10
0,28,(1 / (1 / (abs((2.0613012 * (-1.2877991))) ^ (1 / log_v_k_nu)))),-3.4028235e+38,8
0,32,((0.025488853 * log_v_k_nu) - (-1.7568583)),-0.06279028,5
0,26,(1 / ((1 / 3.1019897) - (-0.23373717))),-0.063179284,5
0,4,(abs((1 / 0.76400399)) ^ log_v_k_nu),-0.21662085,4
0,33,((1 / (-1.6224282)) - ((-0.79261494) - log_v_k_nu)),-0.6314542,6
0,34,(1 / 0.55611175),-0.0631793,2
0,38,((1 / log_v_k_nu) / log_v_k_nu),-3.4028235e+38,4
0,39,(log_v_k_nu - log_v_k_nu),-3.2967005,3
0,36,((1 / 0.29238504) - log_v_k_nu),-0.6925051,4
0,40,(((0.76163512 / log_v_k_nu) * log_v_k_nu) - (log_v_k_nu / log_v_k_nu)),-3.4028235e+38,9
0,41,((1 / log_v_k_nu) / 0.11505102),-3.4028235e+38,4
0,43,(1 / log_v_k_nu),-3.4028235e+38,2
0,5,((1 / (-3487.896)) + (1 / (-10429.121))),-3.298077,5
0,42,(1 / (abs((1 / log_v_k_nu)) ^ (1 / 1.3905735))),-0.46169215,6
0,46,((((-0.17538017) * log_v_k_nu) - (1 / log_v_k_nu)) - (1 / (-2.145364))),-3.4028235e+38,9
0,30,(1 / ((abs((1 / 0.13656138)) ^ 0.75430882) * ((-0.46160516) + (-0.98813534)))),-3.872823,9
0,35,(1 / (abs(((-0.68056929) * (-1.1226456))) ^ log_v_k_nu)),-0.21662095,6
0,48,((1 / log_v_k_nu) + (-1.2729241)),-3.4028235e+38,4
0,45,(((log_v_k_nu + log_v_k_nu) - (1 / (-1.0840553))) - (log_v_k_nu * log_v_k_nu)),-2.0274749,10
0,37,(((abs(log_v_k_nu) ^ log_v_k_nu) + (1 / 0.58431089)) + (1 / (-0.53488666))),-102.031044,9
0,49,(1 / (1 / 1.7981995)),-0.06317927,3
0,51,(1 / (1 / 1.7981995)),-0.06317927,3
0,52,((1.7163718 / log_v_k_nu) * ((-0.6059593) * 0.08431229)),-3.4028235e+38,7
0,31,((abs(1.0130923) ^ log_v_k_nu) * 1.7605778),-0.062823415,5
0,53,(((log_v_k_nu / log_v_k_nu) / (1.3602078 + log_v_k_nu)) + (1 / log_v_k_nu)),-3.4028235e+38,10
0,55,((((-0.049524479) - log_v_k_nu) - (1 / log_v_k_nu)) + (1.3234745 / log_v_k_nu)),-3.4028235e+38,10
0,57,((1 / log_v_k_nu) + (-0.40080404)),-3.4028235e+38,4
0,50,(1 / (((-0.818371) * (-1.3229115)) - (1 / log_v_k_nu))),-253.85808,7
0,60,(1 / log_v_k_nu),-3.4028235e+38,2
0,58,((log_v_k_nu - (-0.36682373)) + (1 / log_v_k_nu)),-3.4028235e+38,6
0,61,((log_v_k_nu - log_v_k_nu) - (log_v_k_nu + log_v_k_nu)),-27.942093,7
0,56,((abs(0.40426326) ^ log_v_k_nu) / log_v_k_nu),-3.4028235e+38,5
0,63,(1 / log_v_k_nu),-3.4028235e+38,2
0,59,(abs(((1 / log_v_k_nu) / (1 / log_v_k_nu))) ^ (0.063975058 - log_v_k_nu)),-3.4028235e+38,9
0,65,(((1 / 0.41241914) * 1.1864617) * (log_v_k_nu / log_v_k_nu)),-3.4028235e+38,8
0,14,((log_v_k_nu - (-52.994564)) * (0.58824128 + (-0.55536091))),-0.06282869,7
0,62,((1 / (-1.6089619)) - (-2.4197183)),-0.06317927,4
0,66,(abs((log_v_k_nu / (-1.4841093))) ^ log_v_k_nu),-6.8204966,5
0,67,(((1 / log_v_k_nu) - (-1.0573429)) - (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,8
0,68,((5.0420899 - log_v_k_nu) - log_v_k_nu),-2.5194316,5
0,47,(abs((log_v_k_nu + (-0.62838823))) ^ (log_v_k_nu - 0.84305114)),-3.9869254,7
0,69,((log_v_k_nu + 1.756858) + (log_v_k_nu / (-1.0261505))),-0.062790275,7
0,73,(abs((1 / log_v_k_nu)) ^ (-0.83461046)),-0.5073628,4
0,74,(((1 / log_v_k_nu) / log_v_k_nu) / ((-1.244012) + log_v_k_nu)),-3.4028235e+38,8
0,27,(abs(((1 / 45.068123) - 0.022187611)) ^ (1 / (-23.197222))),-0.063382566,7
0,75,((1 / log_v_k_nu) / (-0.40370387)),-3.4028235e+38,4
0,76,(1 / ((abs((1 / log_v_k_nu)) ^ log_v_k_nu) * (1 / log_v_k_nu))),-1123.095,8
0,8,(((log_v_k_nu + (-3.9923036)) / (-354.63858)) - (175.87105 / (-98.158485))),-0.06327018,9
0,22,((log_v_k_nu + 47.844448) / (2.3839626 / 0.086629108)),-0.06286121,7
0,78,(1 / (14.281108 + (-13.724997))),-0.06317934,4
0,82,(1 / log_v_k_nu),-3.4028235e+38,2
0,71,(log_v_k_nu / (-2450.5767)),-3.299094,3
0,54,((abs((-0.64115685)) ^ (-0.62713164)) / 0.73534095),-0.06318054,5
0,72,(abs((5.3720345 * 6.6278148)) ^ 0.16425171),-0.0631793,5
0,81,(0.89117378 * 2.0177872),-0.0631793,3
0,87,(log_v_k_nu + log_v_k_nu),-4.4873505,3
0,83,(1 / ((1 / ((-0.26992369) * log_v_k_nu)) / ((1 / log_v_k_nu) - 0.28556991))),-3.4028235e+38,10
0,77,(((-0.88643837) / (-0.49207348)) / (1 / 0.99820387)),-0.06317927,6
0,89,(1 / ((1 / log_v_k_nu) / 0.91215426)),-0.6351449,5
0,91,(1 / log_v_k_nu),-3.4028235e+38,2
0,86,((abs((-0.97211534)) ^ (-0.86957717)) / log_v_k_nu),-3.4028235e+38,5
0,92,((abs(0.22361925) ^ log_v_k_nu) - (log_v_k_nu / log_v_k_nu)),-3.4028235e+38,7
0,79,(1 / (1 / ((1 / (-1.5949403)) + log_v_k_nu))),-1.2766443,6
0,95,(((1.1071893 + 0.48337099) / log_v_k_nu) * (0.92426544 - 0.76204485)),-3.4028235e+38,9
0,88,(abs(1.3089701) ^ log_v_k_nu),-0.21662089,3
0,44,(1 / ((96.578857 + log_v_k_nu) / (1 / 0.0056528561))),-0.06399012,7
0,96,((1 / (abs((-0.16485791)) ^ 0.17566448)) - ((log_v_k_nu / 1.2856196) * log_v_k_nu)),-12.690992,10
0,90,(((1 / (-1.0986849)) - (-1.9841323)) * (1.6447141 / 0.9823302)),-0.06317934,8
0,98,(((-0.37477657) / log_v_k_nu) * (log_v_k_nu / 0.2051369)),-3.4028235e+38,7
0,93,(1 / (-1696.1047)),-3.298821,2
0,97,((((-2.514811) / (-3.6355076)) - (1 / 2.8052335)) * (log_v_k_nu * log_v_k_nu)),-1.3669174,10
0,85,(abs(((1 / 1.1789029) - (-0.91812736))) ^ (abs((-1.0191478)) ^ log_v_k_nu)),-0.062868185,8
0,94,((abs((-1.309177)) ^ log_v_k_nu) - (1 / 1168.8444)),-0.21699217,6
0,16,(((1 / 1.8769948) * log_v_k_nu) / (1 / 0.02088647)),-3.2318513,7
0,70,((abs((log_v_k_nu + 10.682573)) ^ (0.82075667 + (-0.58543628))) - (1 / 154.04269)),-0.06261385,10
0,84,(((abs(log_v_k_nu) ^ log_v_k_nu) * (log_v_k_nu - (-49.546612))) / (1 / 0.0015131257)),-2.5409706,10
0,99,((abs((1 / 0.4440957)) ^ 0.90167654) / (abs(0.71571147) ^ (-0.43386561))),-0.06317927,8
0,80,(abs(((log_v_k_nu / (-8.8561035e-05)) + 0.00011654335)) ^ (1 / 16.322809)),-0.049169123,8
0,64,((log_v_k_nu * 0.74225754) / (abs((-0.70427865)) ^ 0.90878731)),-0.6762688,7
0,100,((68.489769 + log_v_k_nu) / 38.988403),-0.06279029,5
0,102,(0.90783024 * log_v_k_nu),-0.6350846,3
0,103,((1 / (-3.5487094)) - (-2.0799923)),-0.06317927,4
0,106,(((1 / log_v_k_nu) - (1 / (-1.0840553))) - (log_v_k_nu * log_v_k_nu)),-3.4028235e+38,9
0,110,(log_v_k_nu + log_v_k_nu),-4.4873505,3
0,113,(1 / (1 / log_v_k_nu)),-0.66252,3
0,101,((log_v_k_nu + log_v_k_nu) - (1 / (-1.0840553))),-8.005476,6
0,109,(1 / ((-1.0261505) / (-1.8452229))),-0.06317929,4
0,108,(abs((1 / log_v_k_nu)) ^ (-0.83461046)),-0.5073628,4
0,111,(abs((1 / log_v_k_nu)) ^ 3.1415927),-3.4028235e+38,4
0,119,(1 / log_v_k_nu),-3.4028235e+38,2
0,105,(1 / 0.55611181),-0.06317927,2
0,122,(1.3405001 * 1.3414392),-0.06317927,3
0,121,((log_v_k_nu - (-52.994564)) * (0.58824128 + (-0.55536091))),-0.06282869,7
0,116,(abs(((log_v_k_nu / (-8.8561035e-05)) + 0.00011654335)) ^ (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,9
0,112,((1 / (-2.5877416)) - (1 / (-0.45774186))),-0.0631793,5
0,114,((log_v_k_nu - (-1.0573429)) - (abs(log_v_k_nu) ^ log_v_k_nu)),-100.37075,7
0,127,log_v_k_nu,-0.66251993,1
0,126,((log_v_k_nu * log_v_k_nu) - ((1 / log_v_k_nu) / 0.91215426)),-3.4028235e+38,8
0,104,(log_v_k_nu / (-3881.3965)),-3.2982116,3
0,130,(((1.1361302 + log_v_k_nu) * log_v_k_nu) - ((-1.9116464) / log_v_k_nu)),-3.4028235e+38,9
0,117,(1 / (1 / (abs(((-1.3451921) * (-0.97307634))) ^ log_v_k_nu))),-0.21662088,7
0,132,(1 / log_v_k_nu),-3.4028235e+38,2
0,115,(abs((-0.85274482)) ^ (-3.6836441)),-0.06317927,3
0,123,(((68.928467 + log_v_k_nu) / 38.988403) / 1.0062971),-0.06279027,7
0,131,(1 / ((1 / ((1 / 3.1019897) - 2.9292955)) * ((-0.46160516) + (-0.98813534)))),-0.063179314,10
0,133,1.7981997,-0.06317927,1
0,128,(abs(1.3089931) ^ log_v_k_nu),-0.2166209,3
0,135,(0.90783024 * log_v_k_nu),-0.6350846,3
0,129,(abs(log_v_k_nu) ^ 0.16425171),-0.6049172,3
0,136,((abs(1.0130923) ^ log_v_k_nu) * 1.7605778),-0.062823415,5
0,139,((1 / 0.55631292) - (log_v_k_nu / (-2450.5767))),-0.06316694,6
0,125,(abs(((2.3218622 + log_v_k_nu) + 8.2354374)) ^ 0.23483126),-0.06261198,7
0,138,(((1 / 1.1789029) - (-0.91812736)) / (2.3839626 / 2.4269166)),-0.063179314,8
0,144,((0.025488853 * log_v_k_nu) - (-1.7568583)),-0.06279028,5
0,143,(abs((1 / log_v_k_nu)) ^ 0.16425171),-3.4028235e+38,4
0,147,(log_v_k_nu - log_v_k_nu),-3.2967005,3
0,148,(3.4201443 - log_v_k_nu),-0.69250524,3
0,134,((log_v_k_nu - 22055.664) * (1 / (-12274.98))),-0.06318415,6
0,118,(1 / (abs(((-0.78844976) * (-0.96894813))) ^ log_v_k_nu)),-0.21662089,6
0,145,(abs(((log_v_k_nu / (-8.8561035e-05)) + 0.00011654335)) ^ (1 / 16.322809)),-0.049169123,8
0,141,((1.1689888 * 5.1911659) / 3.3747172),-0.06317927,5
0,150,((0.025488714 * log_v_k_nu) - (-1.7568582)),-0.062790275,5
0,151,(1 / (14.281108 + (-13.724997))),-0.06317934,4
0,153,(1 / ((1 / 3.1019897) - (-0.23373717))),-0.063179284,5
0,155,((1 / log_v_k_nu) - (((-1.2432859) / log_v_k_nu) + (-1.0115445))),-3.4028235e+38,8
0,152,(((log_v_k_nu + (-3.9923036)) / (-354.63858)) - (175.87105 / (-98.158485))),-0.06327018,9
0,140,((1 / (1 / ((1 / (-1175.4304)) + log_v_k_nu))) / 1.101161),-0.635588,8
0,156,(((log_v_k_nu + log_v_k_nu) - (1 / (-2.7329698))) - 1.8115928),-2.3973303,8
0,158,(abs((1 / log_v_k_nu)) ^ (-0.83461046)),-0.5073628,4
0,161,(log_v_k_nu * log_v_k_nu),-8.953596,3
