dummy,evals,expr,fitness,len
0,1,((1 / log_v_k_nu) + (-0.73545951)),-3.4028235e+38,4
0,2,(abs((log_v_k_nu + log_v_k_nu)) ^ (abs(log_v_k_nu) ^ 0.017828561)),-4.852476,7
0,5,(abs(((log_v_k_nu / log_v_k_nu) / (1 / log_v_k_nu))) ^ (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,10
0,10,((1 / log_v_k_nu) + log_v_k_nu),-3.4028235e+38,4
0,3,(abs(((log_v_k_nu - 1.6774756) + (1 / log_v_k_nu))) ^ (abs(log_v_k_nu) ^ 1.7948345)),-5255.4214,10
0,6,(1.944593 / 1.0814111),-0.06317927,3
0,12,(1 / (1 / (1 / ((0.2032658 * 0.19032261) * (1 / log_v_k_nu))))),-2009.6023,9
0,7,(1 / (log_v_k_nu + (-0.20238765))),-137.22438,4
0,15,(1 / ((1 / (1 / log_v_k_nu)) / (log_v_k_nu / log_v_k_nu))),-3.4028235e+38,8
0,11,(((1 / log_v_k_nu) - 1.0736722) + ((-0.34326515) * log_v_k_nu)),-3.4028235e+38,8
0,13,(1 / 0.55611056),-0.06317929,2
0,16,(((log_v_k_nu + (-1.2514555)) - (1 / log_v_k_nu)) / (1 / (-0.16885541))),-3.4028235e+38,9
0,20,((((-0.0077169877) / (-0.92584389)) / 0.80471325) / (0.16359706 * log_v_k_nu)),-3.4028235e+38,9
0,14,((1 / (1 / log_v_k_nu)) * ((1 / 0.92771906) * 0.84221137)),-0.6350846,8
0,21,(((1 / log_v_k_nu) * log_v_k_nu) * ((-0.48994941) - log_v_k_nu)),-3.4028235e+38,8
0,22,(abs((log_v_k_nu + log_v_k_nu)) ^ (log_v_k_nu + (-0.14793283))),-3.4028235e+38,7
0,25,(1 / (((1 / (-1.3775295)) * log_v_k_nu) / ((-0.86983389) * log_v_k_nu))),-3.4028235e+38,9
0,28,(1 / log_v_k_nu),-3.4028235e+38,2
0,26,(abs((abs(log_v_k_nu) ^ 0.76406264)) ^ (log_v_k_nu / 0.61887228)),-637.22894,7
0,24,((1 / 5.672235) + log_v_k_nu),-0.6314543,4
0,31,(((-0.29450229) + 0.98357052) / (log_v_k_nu * log_v_k_nu)),-3.4028235e+38,7
0,9,(abs((1 / (-0.76395196))) ^ log_v_k_nu),-0.2166209,4
0,19,(abs((1.6360897 * 1.665466)) ^ (abs((-1.3949338)) ^ (-0.062439226))),-0.821902,7
0,33,((1 / log_v_k_nu) + (1 / log_v_k_nu)),-3.4028235e+38,5
0,27,(abs((abs((-1.6461349)) ^ log_v_k_nu)) ^ (abs(log_v_k_nu) ^ (-1.350181))),-0.22625373,7
0,32,((log_v_k_nu + 1.3390647) + (1 / (-1.0188913))),-0.66434246,6
0,35,(((1 / log_v_k_nu) - log_v_k_nu) - (abs(log_v_k_nu) ^ (-0.94180429))),-3.4028235e+38,8
0,36,(1 / (abs(((log_v_k_nu + log_v_k_nu) / (-0.64493585))) ^ (1 / log_v_k_nu))),-3.4028235e+38,9
0,38,((1 / log_v_k_nu) / log_v_k_nu),-3.4028235e+38,4
0,8,(((abs((-1.0214663)) ^ log_v_k_nu) + (1.8895123 + 2.5449364)) - (1 / 0.27237284)),-0.06284432,10
0,37,(((1 / log_v_k_nu) - log_v_k_nu) / (abs((-0.18088096)) ^ log_v_k_nu)),-3.4028235e+38,8
0,42,(1 / (1 / log_v_k_nu)),-0.66252,3
0,43,(1 / log_v_k_nu),-3.4028235e+38,2
0,39,(((1 / log_v_k_nu) - (-0.99284863)) + (1 / (-1.288903))),-3.4028235e+38,7
0,4,(abs((abs((-0.98511869)) ^ log_v_k_nu)) ^ (1 / log_v_k_nu)),-0.72434866,6
0,17,(1 / (abs((abs(log_v_k_nu) ^ (-0.21933693))) ^ (1 / 0.50242907))),-0.4844548,7
0,40,(0.64537036 * log_v_k_nu),-0.85754967,3
0,23,(abs((0.94371229 - (-0.40756896))) ^ (1.8064513 + 0.14255019)),-0.06317928,7
0,30,((1 / (abs((-0.38655102)) ^ (-0.8309859))) * (log_v_k_nu + log_v_k_nu)),-0.63508457,8
0,50,(1 / log_v_k_nu),-3.4028235e+38,2
0,45,(((1 / log_v_k_nu) + (1 / (-0.41186655))) + (0.97452199 * 0.090283699)),-3.4028235e+38,9
0,49,(((1 / log_v_k_nu) + 1.2345309) * (log_v_k_nu - (-0.2825096))),-3.4028235e+38,8
0,44,(abs((1 / (1.670516 + log_v_k_nu))) ^ ((1 / log_v_k_nu) / (-2.2318919))),-3.4028235e+38,9
0,54,(1 / log_v_k_nu),-3.4028235e+38,2
0,53,(1 / ((1 / log_v_k_nu) * (1 / (-2.2281137)))),-32.39451,6
0,46,((-0.090444095) + log_v_k_nu),-0.7025824,3
0,52,(((1 / log_v_k_nu) / 0.071231999) * (abs(log_v_k_nu) ^ 0.83857822)),-3.4028235e+38,8
0,55,(abs((1 / log_v_k_nu)) ^ 1.210559),-3.4028235e+38,4
0,18,((log_v_k_nu / (-702.44531)) + (1 / 0.55548131)),-0.06322404,6
0,51,(abs(1.7522054) ^ 1.0461968),-0.06317927,3
0,56,((((-0.10317862) - (-2.5529659)) * (1 / log_v_k_nu)) / ((-0.15486231) + log_v_k_nu)),-3.4028235e+38,10
0,59,(log_v_k_nu * 0.90783012),-0.6350846,3
0,58,(1 / (0.86790091 + log_v_k_nu)),-1.9408269,4
0,61,(abs(log_v_k_nu) ^ 0.18868409),-0.5918334,3
