dummy,evals,expr,fitness,len
0,11,(1 / log_v_k_nu),-3.4028235e+38,2
0,12,((log_v_k_nu + log_v_k_nu) / log_v_k_nu),-3.4028235e+38,5
0,9,((abs(log_v_k_nu) ^ log_v_k_nu) / (1 / log_v_k_nu)),-1123.0951,6
0,8,((1 / (-1.0836247)) / (-0.51268792)),-0.063182496,4
0,15,(1 / ((1 / log_v_k_nu) - (log_v_k_nu - log_v_k_nu))),-0.66252,7
0,13,(1 / (1 / ((log_v_k_nu * log_v_k_nu) * (1 / log_v_k_nu)))),-3.4028235e+38,8
0,6,(1 / ((log_v_k_nu - log_v_k_nu) - (1 / (-1.7981998)))),-0.0631793,7
0,17,(3.4201443 - log_v_k_nu),-0.69250524,3
0,3,((abs((abs(log_v_k_nu) ^ log_v_k_nu)) ^ 1.1246132) + (1 / log_v_k_nu)),-3.4028235e+38,8
0,14,((log_v_k_nu - log_v_k_nu) * (1 / log_v_k_nu)),-3.4028235e+38,6
0,16,((1 / (-0.17938004)) - (-7.3729553)),-0.06317929,4
0,2,(1 / ((1 / log_v_k_nu) / (abs(0.22479957) ^ log_v_k_nu))),-2.803596,7
0,23,((1 / log_v_k_nu) + log_v_k_nu),-3.4028235e+38,4
0,19,((1 / (log_v_k_nu * 2.6227424)) - (abs(0.99022293) ^ log_v_k_nu)),-3.4028235e+38,8
0,24,(1 / log_v_k_nu),-3.4028235e+38,2
0,20,((log_v_k_nu + 0.81373268) + (1 / (-1.5686815))),-0.6314542,6
0,28,(1 / (1 / (1 / log_v_k_nu))),-3.4028235e+38,4
0,26,(((log_v_k_nu - log_v_k_nu) - (1 / (-0.22774214))) * (log_v_k_nu / log_v_k_nu)),-3.4028235e+38,10
0,29,((1 / log_v_k_nu) / (1 / (-1.982942))),-3.4028235e+38,5
0,30,((1 / (1 / log_v_k_nu)) + ((1 / log_v_k_nu) / 0.70036203)),-3.4028235e+38,8
0,31,(((1 / log_v_k_nu) + 1.2954911) * ((-0.81829953) * 1.4293311)),-3.4028235e+38,8
0,4,(1 / (abs((-0.76395261)) ^ log_v_k_nu)),-0.21662088,4
0,27,((abs((log_v_k_nu - log_v_k_nu)) ^ log_v_k_nu) + (26.365768 + (-24.573097))),-0.082242206,9
0,21,(abs((abs((abs(log_v_k_nu) ^ (-0.7102589))) ^ (1 / log_v_k_nu))) ^ ((-0.68725371) + 1.6571741)),-3.4028235e+38,10
0,25,((1 / (1 / log_v_k_nu)) - (0.54836881 / (-3.1112339))),-0.6314543,7
0,1,(abs((((-0.2894288) - (-0.92559481)) * 0.85228842)) ^ (1 / (-1.042045))),-0.063180625,8
0,37,(((-0.092169464) * log_v_k_nu) + log_v_k_nu),-0.6350844,5
0,35,(1 / ((((-0.76062703) + (-1.3866233)) + 0.86834764) * (log_v_k_nu / log_v_k_nu))),-3.4028235e+38,10
0,39,(1 / log_v_k_nu),-3.4028235e+38,2
0,40,(1 / log_v_k_nu),-3.4028235e+38,2
0,22,((1 / log_v_k_nu) / (-0.0027159946)),-3.4028235e+38,4
0,42,(abs((log_v_k_nu / log_v_k_nu)) ^ (log_v_k_nu * log_v_k_nu)),-0.70030165,7
