dummy,evals,expr,fitness
0,19,(((abs(((0.85441476 * log_v_k_nu) * 0.16900142)) ^ (1.6514952 * 0.72551733)) - ((3.0735948 / (-0.93614233)) + 1 / ((-0.57357645)))) * (abs(((0.96048808 - (0.68327695 * log_v_k_nu)) + (abs(0.59741557) ^ ((-0.50301999) * log_v_k_nu)))) ^ (1 / (0.15822281) - (-1.7255176)))),-66712.56
0,20,(abs(((((0.35960639 * log_v_k_nu) + (1.0487868 * log_v_k_nu)) / 1 / ((0.28873584 * log_v_k_nu))) - (abs(((-0.56176531) * log_v_k_nu)) ^ (-0.042420149)))) ^ (((-0.22809866) - ((-0.035405524) * log_v_k_nu)) * (abs(((-1.8963733) * log_v_k_nu)) ^ (1.1617345 * log_v_k_nu)))),-1374278.6
0,21,1 / ((((abs(1 / (((-0.36621237) * log_v_k_nu))) ^ ((-0.086416423) * log_v_k_nu)) / (abs((0.50472945 * log_v_k_nu)) ^ 1.5868605)) / (1 / (((-0.96971285) * log_v_k_nu)) * ((0.73542839 * log_v_k_nu) / (-0.83259749))))),-3.4028235e+38
0,22,(1 / (((0.49141476 - (1.3892013 * log_v_k_nu)) - (((-1.4142325) * log_v_k_nu) / 0.40411898))) / ((((0.39882457 * log_v_k_nu) * 0.53887433) - ((-1.472248) / (1.9484966 * log_v_k_nu))) / (0.81343788 + ((-0.9914667) * log_v_k_nu)))),-4.055124
0,23,(abs((1 / ((0.83067179 * log_v_k_nu)) + (((-0.59656054) * log_v_k_nu) / ((-0.56846613) * log_v_k_nu)))) ^ (abs(1.1409497) ^ ((-0.68184638) * log_v_k_nu))),-3.4028235e+38
0,24,(((abs((abs(1 / ((1.1071148 * log_v_k_nu))) ^ ((0.32476828 * log_v_k_nu) / (1.7146856 * log_v_k_nu)))) ^ (abs(((-1.7726839) * ((-0.63044786) * log_v_k_nu))) ^ ((-0.43263334) + (-0.16405971)))) * (abs((((-1.1256386) / ((-0.88287872) * log_v_k_nu)) + 1 / (0.45650321))) ^ (abs(1 / ((1.0236539 * log_v_k_nu))) ^ ((-1.3446286) + (1.3689684 * log_v_k_nu))))) + 1 / ((((0.54400784 * log_v_k_nu) + 0.43057173) / (((-0.88648421) * log_v_k_nu) * (-0.5963372))))),-3.4028235e+38
0,25,((abs(((((-0.094891414) * log_v_k_nu) / (-1.4534607)) * (-0.29289302))) ^ ((-2.9324992) * ((-0.70153546) * log_v_k_nu))) / 1 / (1 / ((0.92144495 * log_v_k_nu)))),-3.4028235e+38
0,26,(((((abs(0.3052502) ^ (0.870049 * log_v_k_nu)) + (0.73486787 / 0.37624791)) + (1 / ((0.12922119 * log_v_k_nu)) + ((0.36717653 * log_v_k_nu) + ((-0.6129247) * log_v_k_nu)))) / (abs(((0.021218371 * 0.3643249) + ((-1.0439075) * log_v_k_nu))) ^ (abs((0.79815429 * log_v_k_nu)) ^ (0.37403145 * log_v_k_nu)))) + (((abs((-2.1888077)) ^ (-0.28449443)) + (((-1.2069714) * log_v_k_nu) - ((-0.48448122) * log_v_k_nu))) - (((1.1960138 * log_v_k_nu) / 0.3175101) - (0.19730687 + ((-0.88827574) * log_v_k_nu))))),-3.4028235e+38
0,27,(((((0.76988572 * log_v_k_nu) * (-1.5067465)) + (((-1.3820192) * log_v_k_nu) * ((-0.056948978) * log_v_k_nu))) + 1 / (((0.080799289 * log_v_k_nu) / (-0.34731412)))) - ((((0.31472853 * log_v_k_nu) * (-0.25469044)) * 0.65672559) + 1 / ((0.56362367 * log_v_k_nu)))),-3.4028235e+38
0,28,(((((-0.69016999) / ((-0.29954267) * log_v_k_nu)) * (1.6581347 - ((-1.3848075) * log_v_k_nu))) * (((1.2445016 * log_v_k_nu) / (-0.73653799)) - ((1.2222126 * log_v_k_nu) - ((-0.22022134) * log_v_k_nu)))) * ((abs((((-0.25736967) * log_v_k_nu) - ((-2.3641989) * log_v_k_nu))) ^ (0.8215186 * log_v_k_nu)) - 1 / (0.68277687))),-3.4028235e+38
0,29,(((1.6575978 + (-0.074769825)) * (abs((-1.7485298)) ^ 0.34521058)) / (1 / ((0.49275252 * log_v_k_nu)) + 1 / (0.22626224))),-2.242161
0,30,((((1 / (((-0.60828835) * log_v_k_nu)) - 1.2669779) * (0.86070549 - 0.47098881)) / ((((-0.19235684) * log_v_k_nu) - ((-1.5543404) * log_v_k_nu)) + ((-0.46659577) - (-1.1994412)))) + 1 / (1 / (1 / ((0.02192881 * log_v_k_nu))))),-3.4028235e+38
0,31,(abs((abs(1 / ((0.10584224 * log_v_k_nu))) ^ ((-0.56430948) * (-0.68649423)))) ^ (abs((0.030285798 * log_v_k_nu)) ^ (-0.23054884))),-3.4028235e+38
0,32,(1 / ((1 / (0.90041721) * ((-1.3671185) * (-0.98459321)))) + (abs((abs(((-0.77664) + (0.22244135 * log_v_k_nu))) ^ ((1.7145703 * log_v_k_nu) / ((-0.049348123) * log_v_k_nu)))) ^ ((-0.34524453) * (0.59747297 * log_v_k_nu)))),-1.2989185
0,33,1 / ((((abs(1 / (((-0.91331375) * log_v_k_nu))) ^ ((-1.7080789) * log_v_k_nu)) / (0.91974699 / 1.2998854)) / (abs((((-0.50409037) * log_v_k_nu) * 0.89838153)) ^ (((-0.53001994) * log_v_k_nu) + ((-0.36590376) * log_v_k_nu))))),-1.8698493
0,34,1 / (((abs((((-0.95080346) * log_v_k_nu) * (0.38338619 * log_v_k_nu))) ^ ((-1.560625) * log_v_k_nu)) / ((0.20608871 * log_v_k_nu) + (0.19917606 * log_v_k_nu)))),-134814.94
0,35,(((abs(((((-1.6597209) * log_v_k_nu) / (0.21338639 * log_v_k_nu)) * ((0.27924201 * log_v_k_nu) * (0.14369926 * log_v_k_nu)))) ^ ((1.1077868 / (-0.39236894)) - 1 / (1.1518787))) + 1 / ((abs((abs(0.28236824) ^ 0.67542887)) ^ 1 / ((0.57677758 * log_v_k_nu))))) / ((((0.37523723 + 2.1365323) * 1 / ((1.7644686 * log_v_k_nu))) * 1 / ((((-0.59852743) * log_v_k_nu) + (0.57905763 * log_v_k_nu)))) - 1 / ((((0.62602621 * log_v_k_nu) - (0.23294428 * log_v_k_nu)) / (0.15073341 - (0.020752111 * log_v_k_nu)))))),-3.4028235e+38
0,36,(1 / ((((1.1610316 * log_v_k_nu) * ((-1.4138906) * log_v_k_nu)) - 1 / ((-0.015188091)))) * (abs((0.077998877 + (0.40566674 * log_v_k_nu))) ^ 1 / ((1.0578903 * log_v_k_nu)))),-3.2520423
0,37,(77.75251 + (-75.954277)),-0.0631793
0,38,(1 / (0.57022858) - ((-0.003177519) - (0.025488766 * log_v_k_nu))),-0.062790275
0,39,(1 / (((((-0.72098023) * log_v_k_nu) - (0.85243624 * log_v_k_nu)) - (abs(((-0.31947967) * log_v_k_nu)) ^ 1.0597279))) - (((abs(0.022111975) ^ (0.082431868 * log_v_k_nu)) + 1 / (0.85720158)) * (abs((2.5877907 * log_v_k_nu)) ^ 1.3203777))),-3.4028235e+38
0,40,((((2.8162251 - (1.1312604 * log_v_k_nu)) / ((-1.4722753) - (-1.4312943))) * ((((-1.6595002) * log_v_k_nu) + ((-0.227718) * log_v_k_nu)) / (0.82732302 + (0.31172925 * log_v_k_nu)))) / 1 / (1 / ((0.78218472 * log_v_k_nu)))),-3.4028235e+38
0,41,(abs((abs((abs(1 / (1 / (((-1.103521) * log_v_k_nu)))) ^ 1 / (((0.54312581 * log_v_k_nu) + (-0.20103168))))) ^ (1 / (1 / ((0.2055176 * log_v_k_nu))) / 1 / ((0.060388613 * log_v_k_nu))))) ^ (((0.36757454 / ((-1.0878885) * log_v_k_nu)) + (abs((0.79958075 * log_v_k_nu)) ^ (0.08841604 * log_v_k_nu))) / (((-0.02199473) / ((-0.31967482) * log_v_k_nu)) * ((-0.028790098) * ((-0.16170745) * log_v_k_nu))))),-3.4028235e+38
0,42,(((((-0.44883195) - 0.19024514) / (abs(0.77981788) ^ ((-0.8218447) * log_v_k_nu))) * 1 / (1 / ((-1.4149014)))) - (((1.6100818 - (0.70379329 * log_v_k_nu)) / ((0.61554724 * log_v_k_nu) + (0.89640862 * log_v_k_nu))) - 1 / ((0.18414681 * log_v_k_nu)))),-3.4028235e+38
0,43,(abs(1 / ((((abs(((-0.19263907) * log_v_k_nu)) ^ ((-0.070276983) * log_v_k_nu)) - 1 / ((-1.6051401))) * ((-0.58085215) * 0.84873736)))) ^ ((abs((0.55443811 * (0.61055046 * log_v_k_nu))) ^ ((-0.89934957) / (0.15594697 * log_v_k_nu))) * (abs((0.79999036 + (-0.04851969))) ^ ((-0.64127362) + 1.0333862)))),-3.4028235e+38
0,44,((((-0.78839904) * log_v_k_nu) + ((-0.33880946) * log_v_k_nu)) - ((-1.7568583) + ((-1.1526973) * log_v_k_nu))),-0.06279029
0,45,((((((0.49295637 * log_v_k_nu) * ((-1.3822833) * log_v_k_nu)) - (((-1.0095625) * log_v_k_nu) / 0.78631628)) - (((1.8207035 * log_v_k_nu) / 0.80575234) + ((-0.53927064) * log_v_k_nu))) * ((((-2.9112391) * log_v_k_nu) - 0.15315104) + (0.61719459 + 0.49308437))) + ((((-2.4476132) * 0.58949935) * ((-0.030632293) * (0.65721095 * log_v_k_nu))) - 1 / ((abs(1.1490583) ^ ((-0.46975732) * log_v_k_nu))))),-453.5438
0,46,(abs(((1 / ((((-0.19594796) * log_v_k_nu) + 0.97663194)) * (((-0.87817359) * 0.82817221) - (0.83452427 * log_v_k_nu))) - ((abs(1.1422794) ^ 0.88152963) - 1 / (1.2850364)))) ^ 1 / ((1 / ((0.11677899 * log_v_k_nu)) + ((0.14915824 * log_v_k_nu) * ((-0.20142622) * log_v_k_nu))))),-0.39701945
0,47,(((abs((abs(1 / (((-0.60550255) * log_v_k_nu))) ^ ((-1.3699863) / (-0.44659859)))) ^ (1 / (((-0.39583728) * log_v_k_nu)) + ((-0.7922309) / 1.6061194))) * (1 / (1 / ((-1.7975339))) + ((abs(0.80495536) ^ (-1.2196286)) - ((-1.0458764) / ((-1.2559851) * log_v_k_nu))))) / (1 / (((abs((-0.34429446)) ^ 0.8265937) - (0.64303195 * 0.45570603))) / (1 / ((0.61850411 - (0.032052241 * log_v_k_nu))) / 1 / ((((-1.5158426) * log_v_k_nu) * (2.0312488 * log_v_k_nu)))))),-3.4028235e+38
0,48,(1 / ((abs(((((-0.11713104) + (1.2842128 * log_v_k_nu)) / (0.2802527 * (-0.50599682))) / (1 / ((0.96960086 * log_v_k_nu)) / 0.81828415))) ^ (1 / ((-0.11313659)) - ((-2.2914469) / 0.97784281)))) * (((abs((abs((-0.23036022)) ^ (-0.17593908))) ^ ((-0.13079195) * (0.011691441 * log_v_k_nu))) / ((((-0.49398503) * log_v_k_nu) + (1.8653458 * log_v_k_nu)) + (((-0.4045338) * log_v_k_nu) * (-2.049336)))) + 1 / (((0.54592091 + (1.47023 * log_v_k_nu)) + 1 / (((-0.96378875) * log_v_k_nu)))))),-3.4028235e+38
0,49,(abs(1 / ((((-0.70178866) * log_v_k_nu) - (0.20553197 * log_v_k_nu)))) ^ (abs(1 / ((-1.1514198))) ^ ((-0.43181124) * log_v_k_nu))),-3.4028235e+38
0,50,((((-0.40477046) * ((-0.60497034) * log_v_k_nu)) / (1.0286798 * (-0.78633612))) - (abs((0.98662138 * log_v_k_nu)) ^ (-1.2485876))),-3.4028235e+38
0,51,(((((-0.48842815) * log_v_k_nu) + ((-0.6374656) * log_v_k_nu)) / 1 / ((1.2548991 * log_v_k_nu))) * 1 / (1 / ((-0.72896856)))),-9.652573
0,52,((((1 / ((-1.5337027)) / (0.58067328 * log_v_k_nu)) / (((-0.042663489) * log_v_k_nu) * 1.1842216)) * 1 / (((1.7692677 * log_v_k_nu) / 1.9910674))) * (((abs((0.78014678 * log_v_k_nu)) ^ (-0.98029095)) - (abs(1.298422) ^ ((-1.6605914) * log_v_k_nu))) * 1 / (1 / ((-0.31696042))))),-3.4028235e+38
0,53,(abs((abs(1 / (((-0.7393477) * log_v_k_nu))) ^ ((-1.3463967) - ((-0.72345781) * log_v_k_nu)))) ^ (((1.285633 * log_v_k_nu) + 0.2691032) + 1 / ((-1.0423501)))),-3.4028235e+38
