dummy,evals,expr,fitness
0,1,((((((-0.074379347) * log_v_k_nu) * (0.53507888 * log_v_k_nu)) * ((1.0744259 * log_v_k_nu) * (-1.6282918))) - (abs(((0.10019432 * log_v_k_nu) - 2.2381442)) ^ ((-0.63937902) - ((-2.0378051) * log_v_k_nu)))) + (((((-0.39176926) * log_v_k_nu) - 0.30037957) + (1.4297894 + (0.08400555 * log_v_k_nu))) + (abs((1.7394212 * log_v_k_nu)) ^ (-0.009555622)))),-3.4028235e+38
0,2,((((((-0.4838506) * log_v_k_nu) * 1.4537221) * ((-1.3999001) + (0.78198385 * log_v_k_nu))) * (abs((0.059866596 * log_v_k_nu)) ^ (1.3428643 * log_v_k_nu))) * (abs((1.6362693 + (0.5573591 * log_v_k_nu))) ^ ((-0.2273591) / (2.4096115 * log_v_k_nu)))),-3.2769918
0,3,1 / (1 / (1.7981995)),-0.06317927
0,4,((abs(((abs((abs(1 / (((-0.19531021) * log_v_k_nu))) ^ (-1.777247))) ^ 1 / ((-0.024013644))) - ((((-1.6215826) * log_v_k_nu) / (-0.025619842)) * ((0.01062365 * log_v_k_nu) - (-0.014231568))))) ^ ((abs((((-0.49020985) * log_v_k_nu) / 0.26549628)) ^ (((-0.23263243) * log_v_k_nu) - 1.6531216)) + 1 / (((0.013149656 * log_v_k_nu) * (-0.70634866))))) * 1 / ((abs(((((-1.039737) * log_v_k_nu) + (-0.70599306)) / 1 / (0.97554618))) ^ (abs((((-2.149116) * log_v_k_nu) + (0.0093002887 * log_v_k_nu))) ^ ((-3.4293988) - (-0.29909801)))))),-3.4028235e+38
0,5,1 / ((((abs(((0.32363826 * log_v_k_nu) * (0.32108077 * log_v_k_nu))) ^ (0.93171054 / 0.80961597)) + (1 / ((0.17425951 * log_v_k_nu)) + (0.19551626 * log_v_k_nu))) + 1 / (1 / ((-1.1256391))))),-2.294538
0,6,(((((-1.2016037) - (-0.90232104)) * ((0.95122635 * log_v_k_nu) / ((-0.69887221) * log_v_k_nu))) + ((1.3074641 / 0.037255038) + ((0.4042379 * log_v_k_nu) / ((-1.6912912) * log_v_k_nu)))) + ((abs((0.18118079 * log_v_k_nu)) ^ (0.43564811 * log_v_k_nu)) * ((-0.083643124) - ((-0.14799695) * log_v_k_nu)))),-3.4028235e+38
0,7,(abs(((((1 / ((2.2218728 * log_v_k_nu)) + 1.1966407) - (0.1574028 / ((-0.61825019) * log_v_k_nu))) * ((0.327604 - 0.9040367) * (((-0.21181706) * log_v_k_nu) - ((-0.22482833) * log_v_k_nu)))) + (abs(((0.049977608 / 0.32433182) + 1 / ((-0.27130178)))) ^ (((-1.7797816) / (0.15140334 * log_v_k_nu)) + (((-0.1628311) * log_v_k_nu) * (-1.5498445)))))) ^ 1 / ((((abs((0.40073609 * log_v_k_nu)) ^ 0.29102963) - ((0.25291151 * log_v_k_nu) * (0.24875946 * log_v_k_nu))) * 1 / (((0.32912323 * log_v_k_nu) * ((-0.84747893) * log_v_k_nu)))))),-3.4028235e+38
0,8,((((((0.8178786 * log_v_k_nu) / (-0.30313194)) * ((0.43434644 * log_v_k_nu) + (0.31942561 * log_v_k_nu))) + ((abs((0.3166129 * log_v_k_nu)) ^ 0.0453301) / (0.74309158 / (-0.33532396)))) - ((((-1.5539335) - ((-0.87201005) * log_v_k_nu)) / (((-1.2682158) * log_v_k_nu) + (0.21410123 * log_v_k_nu))) / 1 / ((abs(((-1.847807) * log_v_k_nu)) ^ ((-1.3595952) * log_v_k_nu))))) + (((((0.45940498 * log_v_k_nu) / 0.37873259) - ((-1.286523) * (0.72469556 * log_v_k_nu))) - ((2.6769106 - (1.8377556 * log_v_k_nu)) - 1 / (((-1.2113938) * log_v_k_nu)))) * 1 / (((0.45279807 * log_v_k_nu) - 1.1054709)))),-3.4028235e+38
0,9,1 / ((-1073.7933)),-3.3000515
0,10,1 / (((((0.73289025 / (-0.57751966)) / (0.040016409 + ((-2.2693942) * log_v_k_nu))) * (abs(((1.2415155 * log_v_k_nu) / 0.046320155)) ^ 1 / ((-0.14545959)))) / ((abs(((-0.57371294) + (1.1527916 * log_v_k_nu))) ^ (-0.070520185)) + ((1.5951834 * log_v_k_nu) - ((-0.042400736) * log_v_k_nu))))),-2.949061e+28
0,11,(((((0.44984818 - (-0.9948135)) - 1 / (0.78175044)) + 1 / ((abs((-2.2651038)) ^ (-0.68012136)))) * (1 / ((abs((0.59209079 * log_v_k_nu)) ^ (2.7933438 * log_v_k_nu))) + (((-1.0650489) + ((-0.75403887) * log_v_k_nu)) + (0.69238544 / ((-0.014623227) * log_v_k_nu))))) * (((abs((abs(1.6322429) ^ (-0.20414312))) ^ (-0.1868608)) * (abs(((-0.028384555) * log_v_k_nu)) ^ ((-1.3377576) * log_v_k_nu))) / (((-1.6697587) * (0.27267751 * log_v_k_nu)) / (1.3091811 / (-0.097918466))))),-3.4028235e+38
